,NVDA,NVDA,NVDA,NVDA,NVDA
asOfDate,2020-01-31 00:00:00,2021-01-31 00:00:00,2022-01-31 00:00:00,2023-01-31 00:00:00,2023-01-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,782000000.0,10896000000.0,847000000.0,1990000000.0,1990000000.0
CapitalExpenditure,-489000000.0,-1128000000.0,-976000000.0,-1833000000.0,-1833000000.0
CapitalExpenditureReported,-489000000.0,-1128000000.0,,,
CashDividendsPaid,-390000000.0,-395000000.0,-399000000.0,-398000000.0,-398000000.0
CashFlowFromContinuingFinancingActivities,-792000000.0,3804000000.0,1865000000.0,-11617000000.0,-11617000000.0
CashFlowFromContinuingInvestingActivities,6145000000.0,-19675000000.0,-9830000000.0,7375000000.0,7375000000.0
CashFlowFromContinuingOperatingActivities,4761000000.0,5822000000.0,9108000000.0,5641000000.0,5641000000.0
ChangeInAccountPayable,194000000.0,363000000.0,568000000.0,-551000000.0,-551000000.0
ChangeInAccruedExpense,54000000.0,239000000.0,581000000.0,1341000000.0,1341000000.0
ChangeInCashSupplementalAsReported,10114000000.0,-10049000000.0,1143000000.0,1399000000.0,1399000000.0
ChangeInInventory,597000000.0,-524000000.0,-774000000.0,-2554000000.0,-2554000000.0
ChangeInOtherCurrentLiabilities,28000000.0,163000000.0,192000000.0,252000000.0,252000000.0
ChangeInOtherWorkingCapital,28000000.0,163000000.0,,,
ChangeInPayable,194000000.0,363000000.0,568000000.0,-551000000.0,-551000000.0
ChangeInPayablesAndAccruedExpense,248000000.0,602000000.0,1149000000.0,790000000.0,790000000.0
ChangeInPrepaidAssets,77000000.0,-394000000.0,-1715000000.0,-1517000000.0,-1517000000.0
ChangeInReceivables,-233000000.0,-550000000.0,-2215000000.0,822000000.0,822000000.0
ChangeInWorkingCapital,717000000.0,-703000000.0,-3363000000.0,-2207000000.0,-2207000000.0
ChangesInAccountReceivables,-233000000.0,-550000000.0,-2215000000.0,822000000.0,822000000.0
ChangesInCash,10114000000.0,-10049000000.0,1143000000.0,1399000000.0,1399000000.0
CommonStockDividendPaid,-390000000.0,-395000000.0,-399000000.0,-398000000.0,-398000000.0
CommonStockPayments,0.0,0.0,,-10039000000.0,-10039000000.0
DeferredIncomeTax,18000000.0,-282000000.0,-406000000.0,-2164000000.0,-2164000000.0
DeferredTax,18000000.0,-282000000.0,-406000000.0,-2164000000.0,-2164000000.0
DepreciationAmortizationDepletion,381000000.0,1098000000.0,1174000000.0,1544000000.0,1544000000.0
DepreciationAndAmortization,381000000.0,1098000000.0,1174000000.0,1544000000.0,1544000000.0
EndCashPosition,10896000000.0,847000000.0,1990000000.0,3389000000.0,3389000000.0
FinancingCashFlow,-792000000.0,3804000000.0,1865000000.0,-11617000000.0,-11617000000.0
FreeCashFlow,4272000000.0,4694000000.0,8132000000.0,3808000000.0,3808000000.0
GainLossOnInvestmentSecurities,,,-100000000.0,45000000.0,45000000.0
IncomeTaxPaidSupplementalData,176000000.0,249000000.0,396000000.0,1404000000.0,1404000000.0
InterestPaidSupplementalData,54000000.0,138000000.0,246000000.0,254000000.0,254000000.0
InvestingCashFlow,6145000000.0,-19675000000.0,-9830000000.0,7375000000.0,7375000000.0
IssuanceOfDebt,,4968000000.0,4977000000.0,0.0,0.0
LongTermDebtIssuance,,4968000000.0,4977000000.0,0.0,0.0
LongTermDebtPayments,0.0,0.0,-1000000000.0,0.0,0.0
NetBusinessPurchaseAndSale,,-8524000000.0,-263000000.0,-49000000.0,-49000000.0
NetCommonStockIssuance,0.0,0.0,,-10039000000.0,-10039000000.0
NetIncome,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetIncomeFromContinuingOperations,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetInvestmentPurchaseAndSale,6634000000.0,-10023000000.0,-8591000000.0,9257000000.0,9257000000.0
NetIssuancePaymentsOfDebt,0.0,4968000000.0,3977000000.0,0.0,0.0
NetLongTermDebtIssuance,0.0,4968000000.0,3977000000.0,0.0,0.0
NetOtherFinancingCharges,-551000000.0,-963000000.0,-1994000000.0,-1535000000.0,-1535000000.0
NetPPEPurchaseAndSale,-489000000.0,-1128000000.0,-976000000.0,-1833000000.0,-1833000000.0
OperatingCashFlow,4761000000.0,5822000000.0,9108000000.0,5641000000.0,5641000000.0
OperatingGainsLosses,,,-100000000.0,45000000.0,45000000.0
OtherNonCashItems,5000000.0,-20000000.0,47000000.0,1346000000.0,1346000000.0
ProceedsFromStockOptionExercised,149000000.0,194000000.0,281000000.0,355000000.0,355000000.0
PurchaseOfBusiness,,-8524000000.0,-263000000.0,-49000000.0,-49000000.0
PurchaseOfInvestment,-1475000000.0,-19342000000.0,-24811000000.0,-11974000000.0,-11974000000.0
PurchaseOfPPE,-489000000.0,-1128000000.0,-976000000.0,-1833000000.0,-1833000000.0
RepaymentOfDebt,0.0,0.0,-1000000000.0,0.0,0.0
RepurchaseOfCapitalStock,0.0,0.0,,-10039000000.0,-10039000000.0
SaleOfInvestment,8109000000.0,9319000000.0,16220000000.0,21231000000.0,21231000000.0
SaleOfPPE,0.0,,,,
StockBasedCompensation,844000000.0,1397000000.0,2004000000.0,2709000000.0,2709000000.0
