,ORCL,ORCL,ORCL,ORCL,ORCL
asOfDate,2019-05-31 00:00:00,2020-05-31 00:00:00,2021-05-31 00:00:00,2022-05-31 00:00:00,2022-11-30 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationCashFlow,1689000000.0,1586000000.0,1379000000.0,1150000000.0,2373000000.0
AmortizationOfIntangibles,1689000000.0,1586000000.0,1379000000.0,1150000000.0,2373000000.0
BeginningCashPosition,21620000000.0,20514000000.0,37239000000.0,30098000000.0,17938000000.0
CapitalExpenditure,-1660000000.0,-1564000000.0,-2135000000.0,-4511000000.0,-6678000000.0
CapitalExpenditureReported,-1660000000.0,-1564000000.0,-2135000000.0,-4511000000.0,-6678000000.0
CashDividendsPaid,-2932000000.0,-3070000000.0,-3063000000.0,-3457000000.0,-3432000000.0
CashFlowFromContinuingFinancingActivities,-42056000000.0,-6132000000.0,-10378000000.0,-29126000000.0,4850000000.0
CashFlowFromContinuingInvestingActivities,26557000000.0,9843000000.0,-13098000000.0,11220000000.0,-30823000000.0
CashFlowFromContinuingOperatingActivities,14551000000.0,13139000000.0,15887000000.0,9539000000.0,15073000000.0
ChangeInAccountPayable,-102000000.0,-496000000.0,-23000000.0,-733000000.0,-600000000.0
ChangeInCashSupplementalAsReported,-1106000000.0,16725000000.0,-7141000000.0,-8715000000.0,-11125000000.0
ChangeInIncomeTaxPayable,,-444000000.0,-1485000000.0,-398000000.0,124000000.0
ChangeInOtherWorkingCapital,-147000000.0,-222000000.0,405000000.0,7000000.0,907000000.0
ChangeInPayable,-102000000.0,-940000000.0,-1508000000.0,-1131000000.0,-476000000.0
ChangeInPayablesAndAccruedExpense,-102000000.0,-940000000.0,-1508000000.0,-1131000000.0,-476000000.0
ChangeInPrepaidAssets,261000000.0,665000000.0,622000000.0,11000000.0,-131000000.0
ChangeInReceivables,-272000000.0,-690000000.0,141000000.0,-874000000.0,-1147000000.0
ChangeInTaxPayable,,-444000000.0,-1485000000.0,-398000000.0,124000000.0
ChangeInWorkingCapital,-260000000.0,-1187000000.0,-340000000.0,-1987000000.0,-847000000.0
ChangesInAccountReceivables,-272000000.0,-690000000.0,141000000.0,-874000000.0,-1147000000.0
ChangesInCash,-948000000.0,16850000000.0,-7589000000.0,-8367000000.0,-10900000000.0
CommonStockDividendPaid,-2932000000.0,-3070000000.0,,-3457000000.0,-3432000000.0
CommonStockIssuance,2155000000.0,1588000000.0,1786000000.0,482000000.0,838000000.0
CommonStockPayments,-36643000000.0,-19905000000.0,-21600000000.0,-17341000000.0,-3345000000.0
