,PM,PM,PM,PM,PM
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AssetImpairmentCharge,371000000.0,-14000000.0,-22000000.0,-93000000.0,-93000000.0
BeginningCashPosition,6620000000.0,6865000000.0,7285000000.0,4500000000.0,4500000000.0
CapitalExpenditure,-852000000.0,-602000000.0,-748000000.0,-1077000000.0,-1077000000.0
CapitalExpenditureReported,-852000000.0,-602000000.0,-748000000.0,-1077000000.0,-1077000000.0
CashDividendsPaid,-7161000000.0,-7364000000.0,-7580000000.0,-7812000000.0,-7812000000.0
CashFlowFromContinuingFinancingActivities,-8061000000.0,-8496000000.0,-11977000000.0,3806000000.0,3806000000.0
CashFlowFromContinuingInvestingActivities,-1811000000.0,-1154000000.0,-2358000000.0,-15679000000.0,-15679000000.0
CashFlowFromContinuingOperatingActivities,10090000000.0,9812000000.0,11967000000.0,10803000000.0,10803000000.0
ChangeInAccountPayable,451000000.0,406000000.0,653000000.0,719000000.0,719000000.0
ChangeInAccruedExpense,1108000000.0,121000000.0,,,
ChangeInCashSupplementalAsReported,245000000.0,420000000.0,-2785000000.0,-1283000000.0,-1283000000.0
ChangeInIncomeTaxPayable,75000000.0,-260000000.0,,,
ChangeInInventory,-548000000.0,-165000000.0,549000000.0,-1287000000.0,-1287000000.0
ChangeInOtherWorkingCapital,1183000000.0,-139000000.0,363000000.0,1601000000.0,1601000000.0
ChangeInPayable,451000000.0,406000000.0,653000000.0,719000000.0,719000000.0
ChangeInPayablesAndAccruedExpense,451000000.0,406000000.0,653000000.0,719000000.0,719000000.0
ChangeInReceivables,-331000000.0,26000000.0,-198000000.0,-871000000.0,-871000000.0
ChangeInTaxPayable,75000000.0,-260000000.0,,,
ChangeInWorkingCapital,755000000.0,128000000.0,1367000000.0,162000000.0,162000000.0
ChangesInAccountReceivables,-331000000.0,,,,
ChangesInCash,218000000.0,162000000.0,-2368000000.0,-1070000000.0,-1070000000.0
CommonStockDividendPaid,-7161000000.0,-7364000000.0,,,
CommonStockPayments,,,-775000000.0,-209000000.0,-209000000.0
DeferredIncomeTax,-141000000.0,-143000000.0,-17000000.0,-234000000.0,-234000000.0
DeferredTax,-141000000.0,-143000000.0,-17000000.0,-234000000.0,-234000000.0
DepreciationAmortizationDepletion,964000000.0,981000000.0,998000000.0,1189000000.0,1189000000.0
DepreciationAndAmortization,964000000.0,981000000.0,998000000.0,1189000000.0,1189000000.0
EffectOfExchangeRateChanges,27000000.0,258000000.0,-417000000.0,-213000000.0,-213000000.0
EndCashPosition,6865000000.0,7285000000.0,4500000000.0,3217000000.0,3217000000.0
FinancingCashFlow,-8061000000.0,-8496000000.0,-11977000000.0,3806000000.0,3806000000.0
FreeCashFlow,9238000000.0,9210000000.0,11219000000.0,9726000000.0,9726000000.0
IncomeTaxPaidSupplementalData,2430000000.0,2785000000.0,2936000000.0,2751000000.0,2751000000.0
InterestPaidSupplementalData,800000000.0,728000000.0,716000000.0,717000000.0,717000000.0
InvestingCashFlow,-1811000000.0,-1154000000.0,-2358000000.0,-15679000000.0,-15679000000.0
IssuanceOfDebt,4808000000.0,3758000000.0,0.0,21695000000.0,21695000000.0
LongTermDebtIssuance,4808000000.0,3713000000.0,0.0,19885000000.0,19885000000.0
LongTermDebtPayments,-4987000000.0,-3999000000.0,-3042000000.0,-6724000000.0,-6724000000.0
NetBusinessPurchaseAndSale,-1377000000.0,-47000000.0,-2145000000.0,-13996000000.0,-13996000000.0
NetCommonStockIssuance,,,-775000000.0,-209000000.0,-209000000.0
NetIncome,7185000000.0,8056000000.0,9109000000.0,9048000000.0,9048000000.0
NetIncomeFromContinuingOperations,7728000000.0,8592000000.0,9710000000.0,9527000000.0,9527000000.0
NetInvestmentPurchaseAndSale,386000000.0,-551000000.0,466000000.0,284000000.0,284000000.0
NetIssuancePaymentsOfDebt,-543000000.0,-356000000.0,-3042000000.0,14176000000.0,14176000000.0
NetLongTermDebtIssuance,-179000000.0,-286000000.0,-3042000000.0,13161000000.0,13161000000.0
NetOtherFinancingCharges,-357000000.0,-776000000.0,-580000000.0,-2349000000.0,-2349000000.0
NetOtherInvestingChanges,32000000.0,46000000.0,69000000.0,-890000000.0,-890000000.0
NetShortTermDebtIssuance,-364000000.0,-70000000.0,0.0,1015000000.0,1015000000.0
OperatingCashFlow,10090000000.0,9812000000.0,11967000000.0,10803000000.0,10803000000.0
OtherNonCashItems,413000000.0,268000000.0,-69000000.0,252000000.0,252000000.0
PurchaseOfBusiness,-1377000000.0,0.0,-2111000000.0,-13976000000.0,-13976000000.0
RepaymentOfDebt,-5351000000.0,-4114000000.0,-3042000000.0,-7519000000.0,-7519000000.0
RepurchaseOfCapitalStock,,,-775000000.0,-209000000.0,-209000000.0
ShortTermDebtIssuance,989000000.0,45000000.0,,1810000000.0,1810000000.0
ShortTermDebtPayments,-364000000.0,-115000000.0,0.0,-795000000.0,-795000000.0
