,RACE,RACE,RACE,RACE,RACE,RACE
asOfDate,2019-12-31 00:00:00,2020-06-30 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,TTM,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR,EUR,EUR
BeginningCashPosition,793664000.0,,897946000.0,1362406000.0,1344146000.0,1344146000.0
CapitalExpenditure,-705612000.0,,-708996000.0,-737143000.0,-804619000.0,-804619000.0
CashDividendsPaid,-192664000.0,,-208100000.0,-160101000.0,-249522000.0,-249522000.0
CashFlowFromContinuingFinancingActivities,-501529000.0,,339683000.0,-579672000.0,-553560000.0,-553560000.0
CashFlowFromContinuingInvestingActivities,-701073000.0,,-708027000.0,-732738000.0,-805408000.0,-805408000.0
CashFlowFromContinuingOperatingActivities,1306093000.0,,838211000.0,1282726000.0,1403340000.0,1403340000.0
ChangeInAccountPayable,53940000.0,,8594000.0,72568000.0,103981000.0,103981000.0
ChangeInCashSupplementalAsReported,104282000.0,,464460000.0,-18260000.0,44755000.0,44755000.0
ChangeInInventory,-40627000.0,,-67797000.0,-81309000.0,-153890000.0,-153890000.0
ChangeInOtherWorkingCapital,145547000.0,,-137313000.0,-29840000.0,140008000.0,140008000.0
ChangeInPayable,53940000.0,,8594000.0,72568000.0,103981000.0,103981000.0
ChangeInPayablesAndAccruedExpense,53940000.0,,8594000.0,72568000.0,103981000.0,103981000.0
ChangeInReceivables,-99071000.0,,-24899000.0,-120975000.0,-236290000.0,-236290000.0
ChangeInWorkingCapital,59789000.0,,-221415000.0,-159556000.0,-146191000.0,-146191000.0
ChangesInAccountReceivables,-22377000.0,,44477000.0,1771000.0,-48400000.0,-48400000.0
ChangesInCash,103491000.0,,469867000.0,-29684000.0,44372000.0,44372000.0
CommonStockDividendPaid,-192664000.0,,-208100000.0,-160101000.0,-249522000.0,-249522000.0
CommonStockPayments,-386749000.0,,-129793000.0,-230899000.0,-396522000.0,-396522000.0
DepreciationAmortizationDepletion,351946000.0,,426637000.0,455989000.0,546225000.0,546225000.0
DepreciationAndAmortization,351946000.0,,426637000.0,455989000.0,546225000.0,546225000.0
EarningsLossesFromEquityInvestments,-3522000.0,,-4647000.0,-6896000.0,-6175000.0,-6175000.0
EffectOfExchangeRateChanges,791000.0,,-5407000.0,11424000.0,383000.0,383000.0
EndCashPosition,897946000.0,,1362406000.0,1344146000.0,1388901000.0,1388901000.0
FinancingCashFlow,-501529000.0,,339683000.0,-579672000.0,-553560000.0,-553560000.0
FreeCashFlow,600481000.0,,129215000.0,545583000.0,598721000.0,598721000.0
GainLossOnInvestmentSecurities,-3522000.0,,-4647000.0,-6896000.0,,
GainLossOnSaleOfPPE,424000.0,,124000.0,,,
InterestPaidCFO,-42600000.0,,-54427000.0,-29202000.0,-37351000.0,-37351000.0
InterestReceivedCFO,3274000.0,,2109000.0,1679000.0,5158000.0,5158000.0
InvestingCashFlow,-701073000.0,,-708027000.0,-732738000.0,-805408000.0,-805408000.0
IssuanceOfDebt,402811000.0,,702280000.0,342324000.0,157341000.0,157341000.0
LongTermDebtIssuance,402811000.0,,702280000.0,342324000.0,157341000.0,157341000.0
LongTermDebtPayments,-318911000.0,,-1740000.0,-529642000.0,-62591000.0,-62591000.0
NetBusinessPurchaseAndSale,,,,,-1367000.0,-1367000.0
NetCommonStockIssuance,-386749000.0,,-129793000.0,-230899000.0,-396522000.0,-396522000.0
NetIncome,695818000.0,,607817000.0,830767000.0,932614000.0,932614000.0
NetIncomeFromContinuingOperations,875364000.0,,667035000.0,1042231000.0,1177766000.0,1177766000.0
NetIntangiblesPurchaseAndSale,-353458000.0,,-351978000.0,-384827000.0,-456894000.0,-456894000.0
NetInvestmentPurchaseAndSale,0.0,-100000.0,,,,
NetIssuancePaymentsOfDebt,80004000.0,,680505000.0,-187318000.0,94750000.0,94750000.0
NetLongTermDebtIssuance,80004000.0,,680505000.0,-187318000.0,94750000.0,94750000.0
NetOtherFinancingCharges,-2120000.0,,-2929000.0,-1354000.0,-2266000.0,-2266000.0
NetPPEPurchaseAndSale,-347615000.0,,-356049000.0,-347911000.0,-347147000.0,-347147000.0
OperatingCashFlow,1306093000.0,,838211000.0,1282726000.0,1403340000.0,1403340000.0
OperatingGainsLosses,-3098000.0,,-4523000.0,-6896000.0,-6175000.0,-6175000.0
OtherNonCashItems,80645000.0,,88041000.0,57198000.0,96269000.0,96269000.0
ProvisionandWriteOffofAssets,14253000.0,,25805000.0,30284000.0,72331000.0,72331000.0
PurchaseOfBusiness,,,,,-1367000.0,-1367000.0
PurchaseOfIntangibles,-353458000.0,,-351978000.0,-384827000.0,-456894000.0,-456894000.0
PurchaseOfPPE,-352154000.0,,-357018000.0,-352316000.0,-347725000.0,-347725000.0
RepaymentOfDebt,-318911000.0,,-1740000.0,-529642000.0,-62591000.0,-62591000.0
RepurchaseOfCapitalStock,-386749000.0,,-129793000.0,-230899000.0,-396522000.0,-396522000.0
SaleOfInvestment,0.0,,,,,
SaleOfPPE,4539000.0,,969000.0,4405000.0,578000.0,578000.0
TaxesRefundPaid,-33480000.0,,-91051000.0,-109001000.0,-304692000.0,-304692000.0
