,STLA,STLA,STLA,STLA,STLA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR,EUR
BeginningCashPosition,12450000000.0,15014000000.0,22893000000.0,49629000000.0,49629000000.0
CapitalExpenditure,-8385000000.0,-8600000000.0,-10113000000.0,-9014000000.0,-9014000000.0
CapitalExpenditureReported,-8385000000.0,-8600000000.0,,,
CashDividendsPaid,-3056000000.0,0.0,-4204000000.0,-3353000000.0,-3353000000.0
CashFlowFromContinuingFinancingActivities,-6152000000.0,9087000000.0,-1366000000.0,-13167000000.0,-13167000000.0
CashFlowFromContinuingInvestingActivities,-8178000000.0,-7915000000.0,11789000000.0,-10531000000.0,-10531000000.0
CashFlowFromContinuingOperatingActivities,10770000000.0,9183000000.0,18646000000.0,19959000000.0,19959000000.0
CashFromDiscontinuedFinancingActivities,325000000.0,0.0,0.0,0.0,0.0
CashFromDiscontinuedInvestingActivities,5193000000.0,0.0,-3115000000.0,0.0,0.0
CashFromDiscontinuedOperatingActivities,-308000000.0,0.0,0.0,0.0,0.0
ChangeInAccountPayable,2020000000.0,565000000.0,-1273000000.0,4165000000.0,4165000000.0
ChangeInCashSupplementalAsReported,1862000000.0,8842000000.0,26736000000.0,-3196000000.0,-3196000000.0
ChangeInInventory,1017000000.0,983000000.0,2201000000.0,-5606000000.0,-5606000000.0
ChangeInOtherCurrentAssets,-65000000.0,-249000000.0,,,
ChangeInOtherWorkingCapital,-1268000000.0,645000000.0,38000000.0,-1054000000.0,-1054000000.0
ChangeInPayable,2020000000.0,565000000.0,-1273000000.0,4165000000.0,4165000000.0
ChangeInPayablesAndAccruedExpense,2020000000.0,565000000.0,-1273000000.0,4165000000.0,4165000000.0
ChangeInReceivables,100000000.0,366000000.0,246000000.0,-1986000000.0,-1986000000.0
ChangeInWorkingCapital,1869000000.0,2559000000.0,1212000000.0,-4481000000.0,-4481000000.0
ChangesInAccountReceivables,100000000.0,366000000.0,246000000.0,-1986000000.0,-1986000000.0
ChangesInCash,1650000000.0,10355000000.0,25972000000.0,-3804000000.0,-3804000000.0
CommonStockDividendPaid,-3056000000.0,0.0,-4204000000.0,,
CommonStockIssuance,,,243000000.0,40000000.0,40000000.0
CommonStockPayments,,,0.0,-923000000.0,-923000000.0
DeferredIncomeTax,864000000.0,894000000.0,-654000000.0,-711000000.0,-711000000.0
DeferredTax,864000000.0,894000000.0,-654000000.0,-711000000.0,-711000000.0
DepreciationAmortizationDepletion,5445000000.0,5143000000.0,5871000000.0,6797000000.0,6797000000.0
DepreciationAndAmortization,5445000000.0,5143000000.0,5871000000.0,6797000000.0,6797000000.0
DividendPaidCFO,,,-185000000.0,,
DividendReceivedCFO,156000000.0,73000000.0,,-47000000.0,-47000000.0
EffectOfExchangeRateChanges,212000000.0,-1513000000.0,764000000.0,608000000.0,608000000.0
EndCashPosition,15014000000.0,23846000000.0,49629000000.0,46433000000.0,46433000000.0
FinancingCashFlow,-5827000000.0,9087000000.0,-1366000000.0,-13167000000.0,-13167000000.0
FreeCashFlow,2077000000.0,583000000.0,8533000000.0,10945000000.0,10945000000.0
GainLossOnInvestmentSecurities,-15000000.0,-22000000.0,,,
GainLossOnSaleOfPPE,19000000.0,3000000.0,,,
InvestingCashFlow,-2985000000.0,-7915000000.0,8674000000.0,-10531000000.0,-10531000000.0
IssuanceOfCapitalStock,,,243000000.0,40000000.0,40000000.0
IssuanceOfDebt,329000000.0,18715000000.0,,,
LongTermDebtIssuance,329000000.0,18715000000.0,,,
LongTermDebtPayments,-2643000000.0,-9671000000.0,,,
NetBusinessPurchaseAndSale,-2000000.0,-63000000.0,21949000000.0,-431000000.0,-431000000.0
NetCommonStockIssuance,,,243000000.0,-883000000.0,-883000000.0
NetIncome,6622000000.0,29000000.0,14200000000.0,16799000000.0,16799000000.0
NetIncomeFromContinuingOperations,2700000000.0,24000000.0,13218000000.0,16779000000.0,16779000000.0
NetInvestmentPurchaseAndSale,-235000000.0,278000000.0,,,
NetIssuancePaymentsOfDebt,-3096000000.0,9087000000.0,3260000000.0,-6880000000.0,-6880000000.0
NetLongTermDebtIssuance,-2314000000.0,9044000000.0,4106000000.0,-6480000000.0,-6480000000.0
NetOtherFinancingCharges,,,-665000000.0,-2051000000.0,-2051000000.0
NetOtherInvestingChanges,391000000.0,393000000.0,-342000000.0,-1631000000.0,-1631000000.0
NetPPEPurchaseAndSale,-8332000000.0,-8523000000.0,-9818000000.0,-8469000000.0,-8469000000.0
NetShortTermDebtIssuance,-782000000.0,43000000.0,-846000000.0,-400000000.0,-400000000.0
OperatingCashFlow,10462000000.0,9183000000.0,18646000000.0,19959000000.0,19959000000.0
OperatingGainsLosses,4000000.0,-19000000.0,-121000000.0,-192000000.0,-192000000.0
OtherCashAdjustmentInsideChangeinCash,,,18000000.0,-65000000.0,-65000000.0
OtherCashAdjustmentOutsideChangeinCash,702000000.0,-10000000.0,,,
OtherNonCashItems,-268000000.0,509000000.0,457000000.0,1814000000.0,1814000000.0
ProvisionandWriteOffofAssets,,,-1152000000.0,,
PurchaseOfBusiness,-2000000.0,-63000000.0,-726000000.0,-666000000.0,-666000000.0
PurchaseOfPPE,-8385000000.0,-8600000000.0,-10113000000.0,-9014000000.0,-9014000000.0
RepaymentOfDebt,-2643000000.0,-9671000000.0,,,
RepurchaseOfCapitalStock,,,0.0,-923000000.0,-923000000.0
SaleOfBusiness,5348000000.0,0.0,22675000000.0,235000000.0,235000000.0
SaleOfInvestment,,278000000.0,,,
SaleOfPPE,53000000.0,77000000.0,295000000.0,545000000.0,545000000.0
