,T,T,T,T,T
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationCashFlow,9587000000.0,8603000000.0,11006000000.0,,
AmortizationOfIntangibles,9587000000.0,8603000000.0,11006000000.0,,
AssetImpairmentCharge,1458000000.0,18880000000.0,,27498000000.0,27498000000.0
BeginningCashPosition,5400000000.0,12295000000.0,9870000000.0,21316000000.0,21316000000.0
CapitalExpenditure,-19435000000.0,-15675000000.0,-16527000000.0,-19626000000.0,-19626000000.0
CapitalExpenditureReported,,-15675000000.0,-16527000000.0,-19626000000.0,-19626000000.0
CashDividendsPaid,-14888000000.0,-14956000000.0,-15068000000.0,-9859000000.0,-9859000000.0
CashFlowFromContinuingFinancingActivities,-25083000000.0,-32007000000.0,1578000000.0,-59564000000.0,-59564000000.0
CashFlowFromContinuingInvestingActivities,-16690000000.0,-13548000000.0,-32089000000.0,-26899000000.0,-26899000000.0
CashFlowFromContinuingOperatingActivities,48668000000.0,43130000000.0,41957000000.0,35812000000.0,35812000000.0
CashFromDiscontinuedFinancingActivities,,,,35823000000.0,35823000000.0
CashFromDiscontinuedInvestingActivities,,,,1094000000.0,1094000000.0
CashFromDiscontinuedOperatingActivities,,,,-3789000000.0,-3789000000.0
ChangeInCashSupplementalAsReported,6895000000.0,-2425000000.0,11446000000.0,-17523000000.0,-17523000000.0
ChangeInOtherCurrentAssets,-12852000000.0,-13070000000.0,-16472000000.0,-674000000.0,-674000000.0
ChangeInOtherWorkingCapital,-910000000.0,376000000.0,52000000.0,-947000000.0,-947000000.0
ChangeInPayablesAndAccruedExpense,-1524000000.0,-1410000000.0,1636000000.0,-1109000000.0,-1109000000.0
ChangeInReceivables,3360000000.0,787000000.0,-899000000.0,881000000.0,881000000.0
ChangeInWorkingCapital,-11926000000.0,-13317000000.0,-15683000000.0,-1849000000.0,-1849000000.0
ChangesInAccountReceivables,2812000000.0,2216000000.0,-634000000.0,727000000.0,727000000.0
ChangesInCash,6895000000.0,-2425000000.0,11446000000.0,-17523000000.0,-17523000000.0
CommonStockDividendPaid,-14888000000.0,-14956000000.0,,,
CommonStockIssuance,631000000.0,105000000.0,96000000.0,28000000.0,28000000.0
CommonStockPayments,-2417000000.0,-5498000000.0,-202000000.0,-890000000.0,-890000000.0
DeferredIncomeTax,1806000000.0,1675000000.0,5246000000.0,2975000000.0,2975000000.0
DeferredTax,1806000000.0,1675000000.0,5246000000.0,2975000000.0,2975000000.0
Depreciation,28217000000.0,28516000000.0,22862000000.0,,
DepreciationAmortizationDepletion,28217000000.0,28516000000.0,22862000000.0,18021000000.0,18021000000.0
DepreciationAndAmortization,28217000000.0,28516000000.0,22862000000.0,18021000000.0,18021000000.0
DividendsReceivedCFI,,,1323000000.0,2649000000.0,2649000000.0
EarningsLossesFromEquityInvestments,295000000.0,38000000.0,184000000.0,,
EndCashPosition,12295000000.0,9870000000.0,21316000000.0,3793000000.0,3793000000.0
FinancingCashFlow,-25083000000.0,-32007000000.0,1578000000.0,-23741000000.0,-23741000000.0
FreeCashFlow,29233000000.0,27455000000.0,25430000000.0,12397000000.0,12397000000.0
GainLossOnInvestmentSecurities,-1218000000.0,-742000000.0,-927000000.0,381000000.0,381000000.0
IncomeTaxPaidSupplementalData,,,,592000000.0,592000000.0
InterestPaidSupplementalData,,,,7772000000.0,7772000000.0
InterestReceivedCFI,-200000000.0,-123000000.0,,,
InvestingCashFlow,-16690000000.0,-13548000000.0,-32089000000.0,-25805000000.0,-25805000000.0
IssuanceOfCapitalStock,9671000000.0,5953000000.0,96000000.0,28000000.0,28000000.0
IssuanceOfDebt,21051000000.0,41428000000.0,34444000000.0,6934000000.0,6934000000.0
LongTermDebtIssuance,17039000000.0,31988000000.0,11272000000.0,2979000000.0,2979000000.0
LongTermDebtPayments,-27592000000.0,-39964000000.0,-3142000000.0,-26329000000.0,-26329000000.0
NetBusinessPurchaseAndSale,2510000000.0,1790000000.0,-16713000000.0,-10001000000.0,-10001000000.0
NetCommonStockIssuance,-1786000000.0,-5393000000.0,-106000000.0,-862000000.0,-862000000.0
NetIncome,13903000000.0,-5176000000.0,20081000000.0,-8524000000.0,-8524000000.0
NetIncomeFromContinuingOperations,14975000000.0,-3821000000.0,21479000000.0,-6874000000.0,-6874000000.0
NetInvestmentPurchaseAndSale,435000000.0,497000000.0,,,
NetIssuancePaymentsOfDebt,-13721000000.0,-8020000000.0,23792000000.0,-38259000000.0,-38259000000.0
NetLongTermDebtIssuance,-10553000000.0,-7976000000.0,8130000000.0,-23350000000.0,-23350000000.0
NetOtherFinancingCharges,-3728000000.0,-7536000000.0,-7040000000.0,-7919000000.0,-7919000000.0
NetOtherInvestingChanges,4684000000.0,-160000000.0,-172000000.0,79000000.0,79000000.0
NetPPEPurchaseAndSale,-19435000000.0,-15675000000.0,,,
NetPreferredStockIssuance,9040000000.0,3898000000.0,0.0,-2665000000.0,-2665000000.0
NetShortTermDebtIssuance,-3168000000.0,-44000000.0,15662000000.0,-14909000000.0,-14909000000.0
OperatingCashFlow,48668000000.0,43130000000.0,41957000000.0,32023000000.0,32023000000.0
OperatingGainsLosses,3704000000.0,19353000000.0,-3827000000.0,-4855000000.0,-4855000000.0
OtherNonCashItems,9317000000.0,8752000000.0,10640000000.0,-969000000.0,-969000000.0
PensionAndEmployeeBenefitExpense,3169000000.0,1177000000.0,-7988000000.0,-5236000000.0,-5236000000.0
PreferredStockDividendPaid,,-1950000000.0,,,
PreferredStockIssuance,9040000000.0,5848000000.0,0.0,0.0,0.0
PreferredStockPayments,,-1950000000.0,0.0,-2665000000.0,-2665000000.0
ProvisionandWriteOffofAssets,2575000000.0,1972000000.0,1240000000.0,1865000000.0,1865000000.0
PurchaseOfBusiness,-2174000000.0,-1851000000.0,-25453000000.0,-10200000000.0,-10200000000.0
PurchaseOfPPE,-19435000000.0,-15675000000.0,,,
RepaymentOfDebt,-34772000000.0,-49448000000.0,-10652000000.0,-45193000000.0,-45193000000.0
RepurchaseOfCapitalStock,-2417000000.0,-7448000000.0,-202000000.0,-3555000000.0,-3555000000.0
SaleOfBusiness,4684000000.0,3641000000.0,8740000000.0,199000000.0,199000000.0
ShortTermDebtIssuance,4012000000.0,9440000000.0,23172000000.0,3955000000.0,3955000000.0
ShortTermDebtPayments,-7180000000.0,-9484000000.0,-7510000000.0,-18864000000.0,-18864000000.0
