,TM,TM,TM,TM,TM
asOfDate,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,JPY,JPY,JPY,JPY,JPY
BeginningCashPosition,3219639000000.0,3706515000000.0,4098450000000.0,5100857000000.0,5770225000000.0
CapitalExpenditure,-3738887000000.0,-3595131000000.0,-3767945000000.0,-3830244000000.0,-3657293000000.0
CashDividendsPaid,-644806000000.0,-629987000000.0,-625514000000.0,-709872000000.0,-727980000000.0
CashFlowFromContinuingFinancingActivities,-540839000000.0,397138000000.0,2739174000000.0,-2466516000000.0,-711478000000.0
CashFlowFromContinuingInvestingActivities,-2697241000000.0,-3150861000000.0,-4684175000000.0,-577494000000.0,-2265327000000.0
CashFlowFromContinuingOperatingActivities,3766597000000.0,3590643000000.0,2727161000000.0,3722617000000.0,2907034000000.0
ChangeInAccountPayable,94887000000.0,-76410000000.0,,,
ChangeInCashSupplementalAsReported,486876000000.0,705675000000.0,1002406000000.0,1012798000000.0,251864000000.0
ChangeInIncomeTaxPayable,-141329000000.0,-101739000000.0,,,
ChangeInInventory,-166902000000.0,-114096000000.0,-242769000000.0,-725285000000.0,
ChangeInOtherCurrentAssets,-102472000000.0,-447598000000.0,-163473000000.0,71314000000.0,
ChangeInOtherCurrentLiabilities,351122000000.0,40402000000.0,337478000000.0,470965000000.0,
ChangeInOtherWorkingCapital,159750000000.0,136806000000.0,-140319000000.0,-5478000000.0,
ChangeInPayable,-46442000000.0,-178149000000.0,384142000000.0,152399000000.0,
ChangeInPayablesAndAccruedExpense,-46442000000.0,-178149000000.0,384142000000.0,152399000000.0,
ChangeInReceivables,-246845000000.0,248895000000.0,-1238621000000.0,-1094582000000.0,
ChangeInTaxPayable,-141329000000.0,-101739000000.0,,,
ChangeInWorkingCapital,-51789000000.0,-313740000000.0,-1063562000000.0,-1130667000000.0,-1280724000000.0
ChangesInAccountReceivables,-246845000000.0,248895000000.0,5027000000.0,118652000000.0,
ChangesInCash,528517000000.0,836920000000.0,782162000000.0,678603000000.0,-69778000000.0
CommonStockDividendPaid,-644806000000.0,-629987000000.0,-625514000000.0,-709872000000.0,
CommonStockPayments,-549637000000.0,-476129000000.0,,,
DeferredIncomeTax,-86594000000.0,192147000000.0,649976000000.0,1115918000000.0,1167417000000.0
DeferredTax,-86594000000.0,192147000000.0,649976000000.0,1115918000000.0,1167417000000.0
Depreciation,1792375000000.0,1605383000000.0,,,
DepreciationAmortizationDepletion,1792375000000.0,1605383000000.0,1644290000000.0,1821880000000.0,2014106000000.0
DepreciationAndAmortization,1792375000000.0,1605383000000.0,1644290000000.0,1821880000000.0,2014106000000.0
DividendReceivedCFO,,,294520000000.0,347387000000.0,461412000000.0
EarningsLossesFromEquityInvestments,-360066000000.0,-271152000000.0,-351029000000.0,-560346000000.0,-619538000000.0
EffectOfExchangeRateChanges,-41641000000.0,-131245000000.0,220245000000.0,334195000000.0,321642000000.0
EndCashPosition,3706515000000.0,4412190000000.0,5100857000000.0,6113655000000.0,5700447000000.0
FinancingCashFlow,-540839000000.0,397138000000.0,2739174000000.0,-2466516000000.0,-711479000000.0
