,TSLA,TSLA,TSLA,TSLA,TSLA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AssetImpairmentCharge,193000000.0,202000000.0,140000000.0,177000000.0,177000000.0
BeginningCashPosition,4277000000.0,6783000000.0,19901000000.0,18144000000.0,18144000000.0
CapitalExpenditure,-1437000000.0,-3242000000.0,-8014000000.0,-7172000000.0,-7172000000.0
CapitalExpenditureReported,-1327000000.0,,,,
CashFlowFromContinuingFinancingActivities,1529000000.0,9973000000.0,-5203000000.0,-3527000000.0,-3527000000.0
CashFlowFromContinuingInvestingActivities,-1436000000.0,-3132000000.0,-7868000000.0,-11973000000.0,-11973000000.0
CashFlowFromContinuingOperatingActivities,2405000000.0,5943000000.0,11497000000.0,14724000000.0,14724000000.0
ChangeInCashSupplementalAsReported,2506000000.0,13118000000.0,-1757000000.0,-1220000000.0,-1220000000.0
ChangeInInventory,-429000000.0,-422000000.0,-1709000000.0,-6465000000.0,-6465000000.0
ChangeInOtherCurrentAssets,-649000000.0,-1416000000.0,-3405000000.0,-4121000000.0,-4121000000.0
ChangeInOtherCurrentLiabilities,-41000000.0,495000000.0,476000000.0,1904000000.0,1904000000.0
ChangeInOtherWorkingCapital,743000000.0,328000000.0,979000000.0,1286000000.0,1286000000.0
ChangeInPayablesAndAccruedExpense,682000000.0,2102000000.0,4578000000.0,6029000000.0,6029000000.0
ChangeInPrepaidAssets,-288000000.0,-251000000.0,-271000000.0,-1417000000.0,-1417000000.0
ChangeInReceivables,-367000000.0,-652000000.0,-130000000.0,-1124000000.0,-1124000000.0
ChangeInWorkingCapital,-349000000.0,184000000.0,518000000.0,-3908000000.0,-3908000000.0
ChangesInAccountReceivables,-367000000.0,-652000000.0,-130000000.0,-1124000000.0,-1124000000.0
ChangesInCash,2498000000.0,12784000000.0,-1574000000.0,-776000000.0,-776000000.0
CommonStockIssuance,848000000.0,12269000000.0,0.0,0.0,0.0
Depreciation,,,2911000000.0,3747000000.0,3747000000.0
DepreciationAmortizationDepletion,2154000000.0,2322000000.0,2911000000.0,3747000000.0,3747000000.0
DepreciationAndAmortization,2154000000.0,2322000000.0,2911000000.0,3747000000.0,3747000000.0
EffectOfExchangeRateChanges,8000000.0,334000000.0,-183000000.0,-444000000.0,-444000000.0
EndCashPosition,6783000000.0,19901000000.0,18144000000.0,16924000000.0,16924000000.0
FinancingCashFlow,1529000000.0,9973000000.0,-5203000000.0,-3527000000.0,-3527000000.0
FreeCashFlow,968000000.0,2701000000.0,3483000000.0,7552000000.0,7552000000.0
GainLossOnSaleOfPPE,146000000.0,117000000.0,-27000000.0,140000000.0,140000000.0
IncomeTaxPaidSupplementalData,54000000.0,115000000.0,561000000.0,1203000000.0,1203000000.0
InterestPaidSupplementalData,455000000.0,444000000.0,266000000.0,152000000.0,152000000.0
InvestingCashFlow,-1436000000.0,-3132000000.0,-7868000000.0,-11973000000.0,-11973000000.0
IssuanceOfCapitalStock,848000000.0,12269000000.0,0.0,0.0,0.0
IssuanceOfDebt,10669000000.0,9713000000.0,8883000000.0,0.0,0.0
LongTermDebtIssuance,10669000000.0,9713000000.0,8883000000.0,0.0,0.0
LongTermDebtPayments,-9871000000.0,-12201000000.0,-14615000000.0,-3866000000.0,-3866000000.0
NetBusinessPurchaseAndSale,-45000000.0,-13000000.0,0.0,0.0,0.0
NetCommonStockIssuance,848000000.0,12269000000.0,0.0,0.0,0.0
NetForeignCurrencyExchangeGainLoss,-48000000.0,114000000.0,-55000000.0,81000000.0,81000000.0
NetIncome,-862000000.0,690000000.0,5519000000.0,12583000000.0,12583000000.0
NetIncomeFromContinuingOperations,-775000000.0,862000000.0,5644000000.0,12587000000.0,12587000000.0
NetIntangiblesPurchaseAndSale,-5000000.0,-10000000.0,-1228000000.0,927000000.0,927000000.0
NetInvestmentPurchaseAndSale,,,-132000000.0,-5813000000.0,-5813000000.0
NetIssuancePaymentsOfDebt,798000000.0,-2488000000.0,-5732000000.0,-3866000000.0,-3866000000.0
NetLongTermDebtIssuance,798000000.0,-2488000000.0,-5732000000.0,-3866000000.0,-3866000000.0
NetOtherFinancingCharges,-554000000.0,-225000000.0,-178000000.0,-202000000.0,-202000000.0
NetOtherInvestingChanges,46000000.0,123000000.0,6000000.0,76000000.0,76000000.0
NetPPEPurchaseAndSale,-1432000000.0,-3232000000.0,-6514000000.0,-7163000000.0,-7163000000.0
OperatingCashFlow,2405000000.0,5943000000.0,11497000000.0,14724000000.0,14724000000.0
OperatingGainsLosses,98000000.0,231000000.0,-82000000.0,221000000.0,221000000.0
OtherNonCashItems,186000000.0,408000000.0,245000000.0,340000000.0,340000000.0
ProceedsFromStockOptionExercised,437000000.0,417000000.0,707000000.0,541000000.0,541000000.0
PurchaseOfBusiness,-45000000.0,-13000000.0,0.0,0.0,0.0
PurchaseOfIntangibles,-5000000.0,-10000000.0,-1500000000.0,-9000000.0,-9000000.0
PurchaseOfInvestment,,,-132000000.0,-5835000000.0,-5835000000.0
PurchaseOfPPE,-1432000000.0,-3232000000.0,-6514000000.0,-7163000000.0,-7163000000.0
RepaymentOfDebt,-9871000000.0,-12201000000.0,-14615000000.0,-3866000000.0,-3866000000.0
SaleOfBusiness,,,,0.0,0.0
SaleOfIntangibles,,,272000000.0,936000000.0,936000000.0
SaleOfInvestment,,,,22000000.0,22000000.0
StockBasedCompensation,898000000.0,1734000000.0,2121000000.0,1560000000.0,1560000000.0
