,TXN,TXN,TXN,TXN,TXN
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationCashFlow,342000000.0,259000000.0,199000000.0,54000000.0,54000000.0
AmortizationOfIntangibles,342000000.0,259000000.0,199000000.0,54000000.0,54000000.0
BeginningCashPosition,2438000000.0,2437000000.0,3107000000.0,4631000000.0,4631000000.0
CapitalExpenditure,-847000000.0,-649000000.0,-2462000000.0,-2797000000.0,-2797000000.0
CapitalExpenditureReported,-847000000.0,-649000000.0,-2462000000.0,-2797000000.0,-2797000000.0
CashDividendsPaid,-3008000000.0,-3426000000.0,-3886000000.0,-4297000000.0,-4297000000.0
CashFlowFromContinuingFinancingActivities,-4730000000.0,-4547000000.0,-3137000000.0,-6718000000.0,-6718000000.0
CashFlowFromContinuingInvestingActivities,-1920000000.0,-922000000.0,-4095000000.0,-3583000000.0,-3583000000.0
CashFlowFromContinuingOperatingActivities,6649000000.0,6139000000.0,8756000000.0,8720000000.0,8720000000.0
ChangeInAccountPayable,-93000000.0,63000000.0,33000000.0,106000000.0,106000000.0
ChangeInCashSupplementalAsReported,-1000000.0,670000000.0,1524000000.0,-1581000000.0,-1581000000.0
ChangeInIncomeTaxPayable,-193000000.0,-181000000.0,-20000000.0,94000000.0,94000000.0
ChangeInInventory,216000000.0,46000000.0,45000000.0,-847000000.0,-847000000.0
ChangeInOtherWorkingCapital,-15000000.0,63000000.0,7000000.0,22000000.0,22000000.0
ChangeInPayable,-286000000.0,-118000000.0,13000000.0,200000000.0,200000000.0
ChangeInPayablesAndAccruedExpense,-286000000.0,-118000000.0,13000000.0,200000000.0,200000000.0
ChangeInPrepaidAssets,265000000.0,-79000000.0,57000000.0,6000000.0,6000000.0
ChangeInReceivables,133000000.0,-340000000.0,-287000000.0,-194000000.0,-194000000.0
ChangeInTaxPayable,-193000000.0,-181000000.0,-20000000.0,94000000.0,94000000.0
ChangeInWorkingCapital,313000000.0,-428000000.0,-165000000.0,-813000000.0,-813000000.0
ChangesInAccountReceivables,133000000.0,-340000000.0,-287000000.0,-194000000.0,-194000000.0
ChangesInCash,-1000000.0,670000000.0,1524000000.0,-1581000000.0,-1581000000.0
CommonStockDividendPaid,-3008000000.0,-3426000000.0,-3886000000.0,-4297000000.0,-4297000000.0
CommonStockIssuance,539000000.0,470000000.0,377000000.0,241000000.0,241000000.0
CommonStockPayments,-2960000000.0,-2553000000.0,-527000000.0,-3615000000.0,-3615000000.0
DeferredIncomeTax,81000000.0,-137000000.0,15000000.0,-191000000.0,-191000000.0
DeferredTax,81000000.0,-137000000.0,15000000.0,-191000000.0,-191000000.0
Depreciation,708000000.0,733000000.0,755000000.0,925000000.0,925000000.0
DepreciationAmortizationDepletion,1050000000.0,992000000.0,954000000.0,979000000.0,979000000.0
DepreciationAndAmortization,1050000000.0,992000000.0,954000000.0,979000000.0,979000000.0
EndCashPosition,2437000000.0,3107000000.0,4631000000.0,3050000000.0,3050000000.0
FinancingCashFlow,-4730000000.0,-4547000000.0,-3137000000.0,-6718000000.0,-6718000000.0
FreeCashFlow,5802000000.0,5490000000.0,6294000000.0,5923000000.0,5923000000.0
InvestingCashFlow,-1920000000.0,-922000000.0,-4095000000.0,-3583000000.0,-3583000000.0
IssuanceOfCapitalStock,539000000.0,470000000.0,377000000.0,241000000.0,241000000.0
IssuanceOfDebt,1491000000.0,1498000000.0,1495000000.0,1494000000.0,1494000000.0
LongTermDebtIssuance,1491000000.0,1498000000.0,1495000000.0,1494000000.0,1494000000.0
LongTermDebtPayments,-750000000.0,-500000000.0,-550000000.0,-500000000.0,-500000000.0
NetCommonStockIssuance,-2421000000.0,-2083000000.0,-150000000.0,-3374000000.0,-3374000000.0
NetIncome,5017000000.0,5595000000.0,7769000000.0,8749000000.0,8749000000.0
NetIncomeFromContinuingOperations,5017000000.0,5595000000.0,7769000000.0,8749000000.0,8749000000.0
NetInvestmentPurchaseAndSale,-1135000000.0,-241000000.0,-1646000000.0,-826000000.0,-826000000.0
NetIssuancePaymentsOfDebt,741000000.0,998000000.0,945000000.0,994000000.0,994000000.0
NetLongTermDebtIssuance,1491000000.0,1498000000.0,945000000.0,994000000.0,994000000.0
NetOtherFinancingCharges,-42000000.0,-36000000.0,-46000000.0,-41000000.0,-41000000.0
NetOtherInvestingChanges,62000000.0,-32000000.0,13000000.0,40000000.0,40000000.0
NetShortTermDebtIssuance,-750000000.0,-500000000.0,,,
OperatingCashFlow,6649000000.0,6139000000.0,8756000000.0,8720000000.0,8720000000.0
OperatingGainsLosses,-23000000.0,-4000000.0,-57000000.0,-3000000.0,-3000000.0
OtherNonCashItems,-6000000.0,-103000000.0,10000000.0,-290000000.0,-290000000.0
PurchaseOfInvestment,-3444000000.0,-5786000000.0,-10124000000.0,-14483000000.0,-14483000000.0
RepaymentOfDebt,-750000000.0,-500000000.0,-550000000.0,-500000000.0,-500000000.0
RepurchaseOfCapitalStock,-2960000000.0,-2553000000.0,-527000000.0,-3615000000.0,-3615000000.0
SaleOfInvestment,2309000000.0,5545000000.0,8478000000.0,13657000000.0,13657000000.0
ShortTermDebtPayments,-750000000.0,-500000000.0,,,
StockBasedCompensation,217000000.0,224000000.0,230000000.0,289000000.0,289000000.0
