,Z,Z,Z,Z,Z
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationOfSecurities,-6344000.0,2141000.0,,,
AssetImpairmentCharge,2772000.0,79450000.0,56828000.0,0.0,0.0
BeginningCashPosition,663443000.0,1230909000.0,1778935000.0,2838000000.0,2838000000.0
CapitalExpenditure,-86635000.0,-108517000.0,-104399000.0,-140000000.0,-140000000.0
CashFlowFromContinuingFinancingActivities,1635694000.0,1162318000.0,3147630000.0,-4341000000.0,-4341000000.0
CashFlowFromContinuingInvestingActivities,-456054000.0,-1038489000.0,1088279000.0,-1533000000.0,-1533000000.0
CashFlowFromContinuingOperatingActivities,-612174000.0,424197000.0,-3176694000.0,4504000000.0,4504000000.0
ChangeInAccountPayable,-496000.0,12972000.0,4699000.0,3000000.0,3000000.0
ChangeInAccruedExpense,19573000.0,15321000.0,61462000.0,-71000000.0,-71000000.0
ChangeInCashSupplementalAsReported,567466000.0,548026000.0,1059215000.0,-1370000000.0,-1370000000.0
ChangeInInventory,-673798000.0,345277000.0,-3826713000.0,3904000000.0,3904000000.0
ChangeInOtherCurrentAssets,-1098000.0,-294251000.0,223990000.0,66000000.0,66000000.0
ChangeInOtherCurrentLiabilities,-19968000.0,8026000.0,-40654000.0,-14000000.0,-14000000.0
ChangeInOtherWorkingCapital,-22629000.0,-22895000.0,-12331000.0,-85000000.0,-85000000.0
ChangeInPayable,-496000.0,12972000.0,4699000.0,3000000.0,3000000.0
ChangeInPayablesAndAccruedExpense,19077000.0,28293000.0,66161000.0,-68000000.0,-68000000.0
ChangeInPrepaidAssets,-978000.0,-15957000.0,-81614000.0,6000000.0,6000000.0
ChangeInReceivables,-3694000.0,-5585000.0,-82312000.0,82000000.0,82000000.0
ChangeInWorkingCapital,-703088000.0,42908000.0,-3753473000.0,3891000000.0,3891000000.0
ChangesInAccountReceivables,-3694000.0,-5585000.0,-82312000.0,82000000.0,82000000.0
ChangesInCash,567466000.0,548026000.0,1059215000.0,-1370000000.0,-1370000000.0
CommonStockIssuance,,411522000.0,544557000.0,0.0,0.0
CommonStockPayments,,,-302297000.0,-947000000.0,-947000000.0
DeferredIncomeTax,-4258000.0,-7523000.0,-2746000.0,,
DeferredTax,-4258000.0,-7523000.0,-2746000.0,,
Depreciation,110609000.0,134369000.0,152485000.0,180000000.0,180000000.0
DepreciationAmortizationDepletion,110609000.0,134369000.0,152485000.0,180000000.0,180000000.0
DepreciationAndAmortization,110609000.0,134369000.0,152485000.0,180000000.0,180000000.0
EndCashPosition,1230909000.0,1778935000.0,2838150000.0,1468000000.0,1468000000.0
FinancingCashFlow,1635694000.0,1162318000.0,3147630000.0,-4341000000.0,-4341000000.0
FreeCashFlow,-698809000.0,315680000.0,-3281093000.0,4364000000.0,4364000000.0
GainLossOnInvestmentSecurities,,372000.0,,,
GainLossOnSaleOfPPE,7174000.0,-402000.0,,,
IncomeTaxPaidSupplementalData,,,,6000000.0,6000000.0
InterestPaidSupplementalData,42156000.0,50755000.0,108928000.0,50000000.0,50000000.0
InvestingCashFlow,-456054000.0,-1038489000.0,1088279000.0,-1533000000.0,-1533000000.0
IssuanceOfCapitalStock,,411522000.0,544557000.0,0.0,0.0
IssuanceOfDebt,1846164000.0,1180582000.0,4756526000.0,0.0,0.0
LongTermDebtIssuance,1157675000.0,553282000.0,1138227000.0,0.0,0.0
LongTermDebtPayments,,-194768000.0,-1297000.0,-1158000000.0,-1158000000.0
NetBusinessPurchaseAndSale,,,-497320000.0,-4000000.0,-4000000.0
NetCommonStockIssuance,,411522000.0,242260000.0,-947000000.0,-947000000.0
NetIncome,-305361000.0,-162115000.0,-527777000.0,-101000000.0,-101000000.0
NetIncomeFromContinuingOperations,-305361000.0,-162115000.0,-527777000.0,-101000000.0,-101000000.0
NetIntangiblesPurchaseAndSale,-19591000.0,-23577000.0,-31094000.0,-25000000.0,-25000000.0
NetInvestmentPurchaseAndSale,-369419000.0,-929972000.0,1689998000.0,-1389000000.0,-1389000000.0
NetIssuancePaymentsOfDebt,1729909000.0,306772000.0,2778277000.0,-3440000000.0,-3440000000.0
NetLongTermDebtIssuance,1157675000.0,358514000.0,1136930000.0,-1158000000.0,-1158000000.0
NetOtherFinancingCharges,-159680000.0,-4000.0,-129000.0,,
NetPPEPurchaseAndSale,-67044000.0,-84940000.0,-73305000.0,-115000000.0,-115000000.0
NetShortTermDebtIssuance,572234000.0,-51742000.0,1641347000.0,-2282000000.0,-2282000000.0
OperatingCashFlow,-612174000.0,424197000.0,-3176694000.0,4504000000.0,4504000000.0
OperatingGainsLosses,7174000.0,-1478000.0,17119000.0,21000000.0,21000000.0
OtherNonCashItems,87420000.0,138895000.0,569184000.0,62000000.0,62000000.0
ProceedsFromStockOptionExercised,65465000.0,444028000.0,127222000.0,46000000.0,46000000.0
PurchaseOfBusiness,,,-497320000.0,-4000000.0,-4000000.0
PurchaseOfIntangibles,-19591000.0,-23577000.0,-31094000.0,-25000000.0,-25000000.0
PurchaseOfInvestment,-1495477000.0,-3287071000.0,-516346000.0,-2191000000.0,-2191000000.0
PurchaseOfPPE,-67044000.0,-84940000.0,-73305000.0,-115000000.0,-115000000.0
RepaymentOfDebt,-116255000.0,-873810000.0,-1978249000.0,-3440000000.0,-3440000000.0
RepurchaseOfCapitalStock,,,-302297000.0,-947000000.0,-947000000.0
SaleOfInvestment,1126058000.0,2357099000.0,2206344000.0,802000000.0,802000000.0
ShortTermDebtIssuance,688489000.0,627300000.0,3618299000.0,0.0,0.0
ShortTermDebtPayments,-116255000.0,-679042000.0,-1976952000.0,-2282000000.0,-2282000000.0
StockBasedCompensation,198902000.0,197550000.0,311686000.0,451000000.0,451000000.0
