,A,A,A,A,A
asOfDate,2019-10-31 00:00:00,2020-10-31 00:00:00,2021-10-31 00:00:00,2022-10-31 00:00:00,2023-01-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,314000000.0,309000000.0,304000000.0,,
BasicEPS,3.41,2.33,3.98,,
CostOfRevenue,2358000000.0,2502000000.0,2912000000.0,3126000000.0,3150000000.0
DilutedAverageShares,318000000.0,312000000.0,307000000.0,,
DilutedEPS,3.37,2.3,3.94,,
DilutedNIAvailtoComStockholders,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
EBIT,993000000.0,920000000.0,1441000000.0,1588000000.0,1683000000.0
EBITDA,,,,,1985000000.0
GrossProfit,2805000000.0,2837000000.0,3407000000.0,3722000000.0,3780000000.0
InterestExpense,74000000.0,78000000.0,81000000.0,84000000.0,88000000.0
InterestExpenseNonOperating,74000000.0,78000000.0,81000000.0,84000000.0,88000000.0
InterestIncome,36000000.0,8000000.0,2000000.0,9000000.0,17000000.0
InterestIncomeNonOperating,36000000.0,8000000.0,2000000.0,9000000.0,17000000.0
NetIncome,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
NetIncomeCommonStockholders,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
NetIncomeContinuousOperations,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
NetIncomeIncludingNoncontrollingInterests,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
NetInterestIncome,-38000000.0,-70000000.0,-79000000.0,-75000000.0,-71000000.0
NetNonOperatingInterestIncomeExpense,-38000000.0,-70000000.0,-79000000.0,-75000000.0,-71000000.0
NormalizedEBITDA,1231000000.0,1228000000.0,1762000000.0,1905000000.0,1985000000.0
NormalizedIncome,1071000000.0,719000000.0,1210000000.0,1254000000.0,1323000000.0
OperatingExpense,1864000000.0,1991000000.0,2060000000.0,2104000000.0,2112000000.0
OperatingIncome,941000000.0,846000000.0,1347000000.0,1618000000.0,1668000000.0
OperatingRevenue,5163000000.0,5339000000.0,6319000000.0,6848000000.0,6930000000.0
OtherIncomeExpense,16000000.0,66000000.0,92000000.0,-39000000.0,
OtherNonOperatingIncomeExpenses,16000000.0,66000000.0,92000000.0,-39000000.0,
PretaxIncome,919000000.0,842000000.0,1360000000.0,1504000000.0,1595000000.0
ReconciledCostOfRevenue,2358000000.0,2502000000.0,2912000000.0,3126000000.0,3150000000.0
ReconciledDepreciation,238000000.0,308000000.0,321000000.0,317000000.0,302000000.0
ResearchAndDevelopment,404000000.0,495000000.0,441000000.0,467000000.0,473000000.0
SellingGeneralAndAdministration,1460000000.0,1496000000.0,1619000000.0,1637000000.0,1639000000.0
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxProvision,-152000000.0,123000000.0,150000000.0,250000000.0,272000000.0
TaxRateForCalcs,0.27,0.146,0.11,0.166,0.170533
TotalExpenses,4222000000.0,4493000000.0,4972000000.0,5230000000.0,5262000000.0
TotalOperatingIncomeAsReported,941000000.0,846000000.0,1347000000.0,1618000000.0,1668000000.0
TotalRevenue,5163000000.0,5339000000.0,6319000000.0,6848000000.0,6930000000.0
