,A2A.MI,A2A.MI,A2A.MI,A2A.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-06-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
Amortization,123000000.0,142000000.0,201000000.0,215000000.0
BasicAverageShares,3109183856.0,3109183856.0,3073686277.0,
BasicEPS,0.1249,0.1171,0.1639,
CostOfRevenue,5156000000.0,4690000000.0,9088000000.0,14788000000.0
DepreciationAndAmortizationInIncomeStatement,502000000.0,555000000.0,666000000.0,697000000.0
DepreciationIncomeStatement,379000000.0,413000000.0,465000000.0,482000000.0
DilutedAverageShares,3109183856.0,3109183856.0,3073686277.0,
DilutedEPS,0.1249,0.1171,0.1639,
DilutedNIAvailtoComStockholders,389000000.0,364000000.0,504000000.0,492000000.0
EBIT,679000000.0,546000000.0,658000000.0,791000000.0
EBITDA,,,,1488000000.0
GrossProfit,1966000000.0,1978000000.0,2264000000.0,2307000000.0
ImpairmentOfCapitalAssets,9000000.0,5000000.0,13000000.0,
InterestExpense,98000000.0,77000000.0,68000000.0,68000000.0
InterestExpenseNonOperating,98000000.0,77000000.0,68000000.0,68000000.0
InterestIncome,5000000.0,5000000.0,6000000.0,10000000.0
InterestIncomeNonOperating,5000000.0,5000000.0,6000000.0,10000000.0
MinorityInterests,-4000000.0,-4000000.0,-46000000.0,-43000000.0
NetIncome,389000000.0,364000000.0,504000000.0,492000000.0
NetIncomeCommonStockholders,389000000.0,364000000.0,504000000.0,492000000.0
NetIncomeContinuousOperations,392000000.0,370000000.0,554000000.0,503000000.0
NetIncomeDiscontinuousOperations,1000000.0,-2000000.0,-4000000.0,32000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,389000000.0,364000000.0,504000000.0,492000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,388000000.0,366000000.0,508000000.0,460000000.0
NetIncomeIncludingNoncontrollingInterests,393000000.0,368000000.0,550000000.0,535000000.0
NetInterestIncome,-111000000.0,-74000000.0,-72000000.0,-75000000.0
NetNonOperatingInterestIncomeExpense,-111000000.0,-74000000.0,-72000000.0,-75000000.0
NormalizedEBITDA,1181000000.0,1102000000.0,1329000000.0,1335000000.0
NormalizedIncome,388000000.0,366788912.579957,512694915.254237,353556016.59751
OperatingExpense,1281000000.0,1437000000.0,1604000000.0,1668000000.0
OperatingIncome,685000000.0,541000000.0,660000000.0,639000000.0
OperatingRevenue,7122000000.0,6668000000.0,11352000000.0,17095000000.0
OtherNonOperatingIncomeExpenses,3000000.0,4000000.0,4000000.0,4000000.0
OtherOperatingExpenses,189000000.0,252000000.0,283000000.0,307000000.0
OtherSpecialCharges,-12000000.0,-10000000.0,-9000000.0,-167000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
PretaxIncome,581000000.0,469000000.0,590000000.0,723000000.0
ReconciledCostOfRevenue,5156000000.0,4690000000.0,9088000000.0,14788000000.0
ReconciledDepreciation,502000000.0,555000000.0,666000000.0,694000000.0
RentAndLandingFees,74000000.0,100000000.0,118000000.0,116000000.0
RentExpenseSupplemental,74000000.0,100000000.0,118000000.0,116000000.0
SpecialIncomeCharges,3000000.0,5000000.0,-4000000.0,154000000.0
TaxEffectOfUnusualItems,0.0,-211087.420043,-305084.745763,46556016.59751
TaxProvision,189000000.0,99000000.0,36000000.0,220000000.0
TaxRateForCalcs,0.325301,0.211087,0.061017,0.304288
TotalExpenses,6437000000.0,6127000000.0,10692000000.0,16456000000.0
TotalOperatingIncomeAsReported,687000000.0,550000000.0,660000000.0,639000000.0
TotalOtherFinanceCost,18000000.0,2000000.0,10000000.0,17000000.0
TotalRevenue,7122000000.0,6668000000.0,11352000000.0,17095000000.0
TotalUnusualItems,0.0,-1000000.0,-5000000.0,153000000.0
TotalUnusualItemsExcludingGoodwill,0.0,-1000000.0,-5000000.0,153000000.0
