,AA,AA,AA,AA,AA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,185489491.0,185875964.0,186377853.0,181000000.0,
BasicEPS,-6.07,-0.91,2.3,-0.68,
CostOfRevenue,8537000000.0,7969000000.0,9153000000.0,10212000000.0,10212000000.0
DepreciationAmortizationDepletionIncomeStatement,713000000.0,,,,
DilutedAverageShares,185489491.0,185875964.0,189907737.0,181000000.0,
DilutedEPS,-6.07,-0.91,2.26,-0.68,
DilutedNIAvailtoComStockholders,-1125000000.0,-170000000.0,429000000.0,-123000000.0,-123000000.0
EBIT,-317000000.0,319000000.0,1394000000.0,808000000.0,808000000.0
EBITDA,,,,,1425000000.0
EarningsFromEquityInterest,-49000000.0,-46000000.0,105000000.0,-27000000.0,-27000000.0
GainOnSaleOfBusiness,-446000000.0,0.0,0.0,-79000000.0,-79000000.0
GainOnSaleOfPPE,3000000.0,173000000.0,354000000.0,-10000000.0,-10000000.0
GainOnSaleOfSecurity,-15000000.0,-31000000.0,22000000.0,165000000.0,165000000.0
GrossProfit,1896000000.0,1317000000.0,2999000000.0,2239000000.0,2239000000.0
InterestExpense,121000000.0,146000000.0,195000000.0,106000000.0,106000000.0
InterestExpenseNonOperating,121000000.0,146000000.0,195000000.0,106000000.0,106000000.0
MinorityInterests,-272000000.0,-156000000.0,-141000000.0,-161000000.0,-161000000.0
NetIncome,-1125000000.0,-170000000.0,429000000.0,-123000000.0,-123000000.0
NetIncomeCommonStockholders,-1125000000.0,-170000000.0,429000000.0,-123000000.0,-123000000.0
NetIncomeContinuousOperations,-853000000.0,-14000000.0,570000000.0,38000000.0,38000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-1125000000.0,-170000000.0,429000000.0,-123000000.0,-123000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-1125000000.0,-170000000.0,429000000.0,-123000000.0,-123000000.0
NetIncomeIncludingNoncontrollingInterests,-853000000.0,-14000000.0,570000000.0,38000000.0,38000000.0
NetInterestIncome,-121000000.0,-146000000.0,-195000000.0,-106000000.0,-106000000.0
NetNonOperatingInterestIncomeExpense,-121000000.0,-146000000.0,-195000000.0,-106000000.0,-106000000.0
NormalizedEBITDA,1295000000.0,931000000.0,2772000000.0,1911000000.0,1911000000.0
NormalizedIncome,-468730000.0,-199930000.0,950220000.0,168600000.0,168600000.0
OperatingExpense,1164000000.0,889000000.0,960000000.0,908000000.0,908000000.0
OperatingIncome,732000000.0,428000000.0,2039000000.0,1331000000.0,1331000000.0
OperatingRevenue,10433000000.0,9286000000.0,12152000000.0,12451000000.0,12451000000.0
OtherIncomeExpense,-1049000000.0,-109000000.0,-645000000.0,-523000000.0,-523000000.0
OtherNonOperatingIncomeExpenses,-101000000.0,-104000000.0,-36000000.0,-10000000.0,-10000000.0
OtherOperatingExpenses,857000000.0,656000000.0,702000000.0,672000000.0,672000000.0
OtherSpecialCharges,52000000.0,36000000.0,82000000.0,-7000000.0,-7000000.0
PretaxIncome,-438000000.0,173000000.0,1199000000.0,702000000.0,702000000.0
ReconciledCostOfRevenue,8537000000.0,7969000000.0,9153000000.0,10212000000.0,10212000000.0
ReconciledDepreciation,713000000.0,653000000.0,664000000.0,617000000.0,617000000.0
ResearchAndDevelopment,27000000.0,27000000.0,31000000.0,32000000.0,32000000.0
RestructuringAndMergernAcquisition,164000000.0,63000000.0,933000000.0,511000000.0,511000000.0
SellingGeneralAndAdministration,280000000.0,206000000.0,227000000.0,204000000.0,204000000.0
SpecialIncomeCharges,-884000000.0,72000000.0,-736000000.0,-651000000.0,-651000000.0
TaxEffectOfUnusualItems,-242730000.0,11070000.0,-192780000.0,-194400000.0,-194400000.0
TaxProvision,415000000.0,187000000.0,629000000.0,664000000.0,664000000.0
TaxRateForCalcs,0.27,0.27,0.27,0.4,0.4
TotalExpenses,9701000000.0,8858000000.0,10113000000.0,11120000000.0,11120000000.0
TotalRevenue,10433000000.0,9286000000.0,12152000000.0,12451000000.0,12451000000.0
TotalUnusualItems,-899000000.0,41000000.0,-714000000.0,-486000000.0,-486000000.0
TotalUnusualItemsExcludingGoodwill,-899000000.0,41000000.0,-714000000.0,-486000000.0,-486000000.0
WriteOff,225000000.0,2000000.0,75000000.0,58000000.0,58000000.0
