,AAC,AAC
asOfDate,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,TTM
currencyCode,USD,USD
BasicAverageShares,125000000.0,
BasicEPS,0.13,
DilutedAverageShares,125000000.0,
DilutedEPS,0.13,
DilutedNIAvailtoComStockholders,15849072.0,26882687.0
EBIT,-6461616.0,-4180748.0
EBITDA,,-4180748.0
GainOnSaleOfSecurity,23988206.0,31063435.0
GeneralAndAdministrativeExpense,6461616.0,4180748.0
NetIncome,15849072.0,26882687.0
NetIncomeCommonStockholders,15849072.0,26882687.0
NetIncomeContinuousOperations,15849072.0,26882687.0
NetIncomeFromContinuingAndDiscontinuedOperation,15849072.0,26882687.0
NetIncomeFromContinuingOperationNetMinorityInterest,15849072.0,26882687.0
NetIncomeIncludingNoncontrollingInterests,15849072.0,26882687.0
NetInterestIncome,-1677518.0,0.0
NetNonOperatingInterestIncomeExpense,-1677518.0,0.0
NormalizedEBITDA,-30449822.0,-35244183.0
NormalizedIncome,-1662318.38,8244626.0
OperatingExpense,6461616.0,4180748.0
OperatingIncome,-6461616.0,-4180748.0
OperatingRevenue,0.0,0.0
OtherGandA,6461616.0,4180748.0
OtherIncomeExpense,23988206.0,31063435.0
PretaxIncome,15849072.0,26882687.0
SellingGeneralAndAdministration,6461616.0,4180748.0
TaxEffectOfUnusualItems,6476815.62,12425374.0
TaxRateForCalcs,0.27,0.4
TotalExpenses,6461616.0,4180748.0
TotalOperatingIncomeAsReported,-6461616.0,-4180748.0
TotalOtherFinanceCost,1677518.0,
TotalRevenue,0.0,0.0
TotalUnusualItems,23988206.0,31063435.0
TotalUnusualItemsExcludingGoodwill,23988206.0,31063435.0
