,AACG,AACG,AACG,AACG
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,CNY,CNY,CNY,CNY
BasicAverageShares,24236984.0,29362431.0,29517187.0,
BasicEPS,-5.04,-3.14,-1.14,
CostOfRevenue,61914502.0,98521027.0,97413915.0,100415244.0
DilutedAverageShares,24236984.0,29362431.0,29517187.0,
DilutedEPS,-5.04,-3.14,-1.14,
DilutedNIAvailtoComStockholders,-122253989.0,-92198032.0,-33649593.0,-52460067.0
EBIT,-108839996.0,-104357949.0,-66389483.0,-58614615.0
EBITDA,,,,-58614615.0
EarningsFromEquityInterest,-7850.0,,,
GainOnSaleOfBusiness,,-1767800.0,33542154.0,682996.0
GainOnSaleOfSecurity,51476.0,-1052856.0,-213046.0,-75242.0
GeneralAndAdministrativeExpense,81923516.0,100097849.0,93256046.0,77077083.0
GrossProfit,35855665.0,63646520.0,104795550.0,100429812.0
ImpairmentOfCapitalAssets,8932439.0,3120425.0,0.0,
MinorityInterests,6964310.0,8386716.0,2760524.0,1298007.0
NetIncome,-122253989.0,-92198032.0,-33649593.0,-52460067.0
NetIncomeCommonStockholders,-122253989.0,-92198032.0,-33649593.0,-52460067.0
NetIncomeContinuousOperations,-134112496.0,-100584748.0,-36410117.0,-53758074.0
NetIncomeDiscontinuousOperations,4894197.0,0.0,0.0,
NetIncomeFromContinuingAndDiscontinuedOperation,-122253989.0,-92198032.0,-33649593.0,-52460067.0
NetIncomeFromContinuingOperationNetMinorityInterest,-127148186.0,-92198032.0,-33649593.0,-52460067.0
NetIncomeIncludingNoncontrollingInterests,-129218299.0,-100584748.0,-36410117.0,-53758074.0
NetInterestIncome,3281701.0,1171837.0,1110681.0,796972.0
NetNonOperatingInterestIncomeExpense,3281701.0,1171837.0,1110681.0,796972.0
NormalizedEBITDA,-55599466.0,-66776662.0,-70693111.0,-59222369.0
NormalizedIncome,-93259230.549554,-85240830.337336,-59869989.395967,-53031151.563821
OperatingExpense,144695661.0,168004469.0,171185033.0,159044427.0
OperatingIncome,-108839996.0,-104357949.0,-66389483.0,-58614615.0
OperatingRevenue,97770167.0,162167547.0,202209465.0,200845056.0
OtherGandA,81923516.0,100097849.0,93256046.0,77077083.0
OtherIncomeExpense,-35703320.0,-7667472.0,27329108.0,607754.0
OtherOperatingExpenses,-588147.0,-330224.0,-22018.0,-21286.0
PretaxIncome,-141261615.0,-110853584.0,-37949694.0,-57209889.0
ProvisionForDoubtfulAccounts,17430825.0,5904305.0,0.0,
ReconciledCostOfRevenue,61914502.0,98521027.0,97413915.0,100415244.0
ReconciledDepreciation,17545060.0,29913815.0,23025480.0,
ResearchAndDevelopment,11817255.0,8832488.0,11801545.0,7448322.0
SellingAndMarketingExpense,34112212.0,53500051.0,66149460.0,74540308.0
SellingGeneralAndAdministration,116035728.0,153597900.0,159405506.0,151617391.0
SpecialIncomeCharges,-35746946.0,-6614616.0,27542154.0,682996.0
TaxEffectOfUnusualItems,-1806514.549554,-710270.337336,1108711.604033,36669.436179
TaxProvision,-7149119.0,-10268836.0,-1539577.0,-3451815.0
TaxRateForCalcs,0.050609,0.092634,0.040569,0.060336
TotalExpenses,206610163.0,266525496.0,268598948.0,259459671.0
TotalOperatingIncomeAsReported,-117772435.0,-107478374.0,-66389483.0,-58614615.0
TotalOtherFinanceCost,-3281701.0,-1171837.0,-1110681.0,-796972.0
TotalRevenue,97770167.0,162167547.0,202209465.0,200845056.0
TotalUnusualItems,-35695470.0,-7667472.0,27329108.0,607754.0
TotalUnusualItemsExcludingGoodwill,-35695470.0,-7667472.0,27329108.0,607754.0
WriteOff,26814507.0,1726391.0,6000000.0,0.0
