,AACI,AACI
asOfDate,2022-09-30 00:00:00,2022-12-31 00:00:00
periodType,12M,TTM
currencyCode,USD,USD
BasicAverageShares,5709500.0,
BasicEPS,-0.63452,
DilutedAverageShares,20709500.0,
DilutedEPS,-0.63452,
DilutedNIAvailtoComStockholders,-3622794.0,-979653.0
EBIT,-4503115.0,-2886472.0
EBITDA,,-2886472.0
GeneralAndAdministrativeExpense,111852.0,111852.0
InterestIncome,1025942.0,2312771.0
InterestIncomeNonOperating,1025942.0,2312771.0
NetIncome,-3622794.0,-979653.0
NetIncomeCommonStockholders,-3622794.0,-979653.0
NetIncomeContinuousOperations,-3622794.0,-979653.0
NetIncomeFromContinuingAndDiscontinuedOperation,-3622794.0,-979653.0
NetIncomeFromContinuingOperationNetMinorityInterest,-3622794.0,-979653.0
NetIncomeIncludingNoncontrollingInterests,-3622794.0,-979653.0
NetInterestIncome,1025942.0,2312771.0
NetNonOperatingInterestIncomeExpense,1025942.0,2312771.0
NormalizedEBITDA,-4503115.0,-2886472.0
NormalizedIncome,-3622794.0,-979653.0
OperatingExpense,4503115.0,2886472.0
OperatingIncome,-4503115.0,-2886472.0
OperatingRevenue,0.0,0.0
OtherOperatingExpenses,4391263.0,2774620.0
PretaxIncome,-3477173.0,-573701.0
SalariesAndWages,111852.0,111852.0
SellingGeneralAndAdministration,111852.0,111852.0
TaxEffectOfUnusualItems,0.0,0.0
TaxProvision,145621.0,405952.0
TaxRateForCalcs,0.4,0.4
TotalExpenses,4503115.0,2886472.0
TotalOperatingIncomeAsReported,-4503115.0,-2886472.0
TotalRevenue,0.0,0.0
