,AADI,AADI,AADI
asOfDate,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,TTM
currencyCode,USD,USD,USD
BasicAverageShares,20838292.0,8923369.0,
BasicEPS,-0.214269,-12.41,
DilutedAverageShares,20838292.0,8923369.0,
DilutedEPS,-0.214269,-12.41,
DilutedNIAvailtoComStockholders,-4465000.0,-110737000.0,-63237000.0
EBIT,-2661000.0,-109423000.0,-62351000.0
EBITDA,,,-62166000.0
GeneralAndAdministrativeExpense,2121000.0,18511000.0,
ImpairmentOfCapitalAssets,0.0,74156000.0,3724000.0
InterestExpense,815000.0,665000.0,230000.0
InterestExpenseNonOperating,815000.0,665000.0,230000.0
InterestIncome,41000.0,13000.0,803000.0
InterestIncomeNonOperating,41000.0,13000.0,803000.0
NetIncome,-3478000.0,-110090000.0,-62590000.0
NetIncomeCommonStockholders,-4465000.0,-110737000.0,-63237000.0
NetIncomeContinuousOperations,-3478000.0,-110090000.0,-62590000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-3478000.0,-110090000.0,-62590000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-3478000.0,-110090000.0,-62590000.0
NetIncomeIncludingNoncontrollingInterests,-3478000.0,-110090000.0,-62590000.0
NetInterestIncome,-774000.0,-652000.0,573000.0
NetNonOperatingInterestIncomeExpense,-774000.0,-652000.0,573000.0
NormalizedEBITDA,-2652000.0,-35358000.0,-58442000.0
NormalizedIncome,-3478000.0,-56099200.0,-60355600.0
OperatingExpense,16549000.0,38061000.0,69306000.0
OperatingIncome,-2549000.0,-37061000.0,-59430000.0
OperatingRevenue,14000000.0,1000000.0,10989000.0
OtherGandA,2121000.0,18511000.0,
OtherIncomeExpense,-153000.0,-72375000.0,-3724000.0
OtherNonOperatingIncomeExpenses,-153000.0,1585000.0,
OtherOperatingExpenses,-580000.0,-120000.0,
OtherSpecialCharges,,-196000.0,
PreferredStockDividends,987000.0,647000.0,
PretaxIncome,-3476000.0,-110088000.0,-62581000.0
ReconciledDepreciation,9000.0,105000.0,185000.0
ResearchAndDevelopment,15008000.0,19670000.0,30519000.0
SellingGeneralAndAdministration,2121000.0,18511000.0,38787000.0
SpecialIncomeCharges,0.0,-73960000.0,-3724000.0
TaxEffectOfUnusualItems,0.0,-19969200.0,-1489600.0
TaxProvision,2000.0,2000.0,9000.0
TaxRateForCalcs,0.27,0.27,0.4
TotalExpenses,16549000.0,38061000.0,70419000.0
TotalOperatingIncomeAsReported,-2549000.0,-111217000.0,-63154000.0
TotalRevenue,14000000.0,1000000.0,10989000.0
TotalUnusualItems,0.0,-73960000.0,-3724000.0
TotalUnusualItemsExcludingGoodwill,0.0,-73960000.0,-3724000.0
