,AAIC,AAIC,AAIC,AAIC
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD
BasicAverageShares,35709000.0,35343000.0,32312000.0,
BasicEPS,0.31,-2.0,-0.38,
DilutedAverageShares,35833000.0,35343000.0,32312000.0,
DilutedEPS,0.31,-2.0,-0.38,
DilutedNIAvailtoComStockholders,11142000.0,-70707000.0,-12431000.0,2008000.0
GainOnSaleOfSecurity,-125832000.0,-93775000.0,-24453000.0,-50080000.0
GeneralAndAdministrativeExpense,15015000.0,12615000.0,11704000.0,13428000.0
InterestExpense,97250000.0,22916000.0,11135000.0,16474000.0
InterestIncome,123478000.0,46014000.0,25530000.0,34437000.0
NetIncome,13742000.0,-67716000.0,-9515000.0,4871000.0
NetIncomeCommonStockholders,11142000.0,-70707000.0,-12431000.0,2008000.0
NetIncomeContinuousOperations,13742000.0,-67716000.0,-9515000.0,4871000.0
NetIncomeFromContinuingAndDiscontinuedOperation,13742000.0,-67716000.0,-9515000.0,4871000.0
NetIncomeFromContinuingOperationNetMinorityInterest,13742000.0,-67716000.0,-9515000.0,4871000.0
NetIncomeIncludingNoncontrollingInterests,13742000.0,-67716000.0,-9515000.0,4871000.0
NetInterestIncome,26228000.0,23098000.0,14395000.0,17963000.0
NormalizedIncome,13742000.0,-67716000.0,-9515000.0,-3791800.0
OperatingRevenue,28757000.0,-55101000.0,4384000.0,29181000.0
OtherGandA,4821000.0,5374000.0,4725000.0,4928000.0
OtherNonOperatingIncomeExpenses,,,-629000.0,-5911000.0
PreferredStockDividends,2600000.0,2991000.0,2916000.0,2863000.0
PretaxIncome,13742000.0,-67716000.0,-7949000.0,9842000.0
SalariesAndWages,10194000.0,7241000.0,6979000.0,8500000.0
SellingGeneralAndAdministration,15015000.0,12615000.0,11704000.0,13428000.0
TaxEffectOfUnusualItems,0.0,0.0,0.0,5775200.0
TaxProvision,0.0,,1566000.0,4971000.0
TaxRateForCalcs,0.0,0.0,0.27,0.4
TotalRevenue,28757000.0,-55101000.0,4384000.0,29181000.0
TotalUnusualItems,,,,14438000.0
TotalUnusualItemsExcludingGoodwill,,,,14438000.0
