,AAL,AAL,AAL,AAL,AAL
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,443363000.0,483888000.0,644015000.0,,
BasicEPS,3.8,-18.36,-3.09,,
CostOfRevenue,35379000000.0,24933000000.0,29855000000.0,39934000000.0,39934000000.0
DilutedAverageShares,444269000.0,483888000.0,644015000.0,,
DilutedEPS,3.79,-18.36,-3.09,,
DilutedNIAvailtoComStockholders,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
EBIT,3351000000.0,-10226000000.0,-748000000.0,2148000000.0,2148000000.0
EBITDA,,,,,4446000000.0
GrossProfit,10389000000.0,-7596000000.0,27000000.0,9037000000.0,9037000000.0
ImpairmentOfCapitalAssets,213000000.0,1484000000.0,,149000000.0,149000000.0
InterestExpense,1095000000.0,1227000000.0,1800000000.0,1962000000.0,1962000000.0
InterestExpenseNonOperating,1095000000.0,1227000000.0,1800000000.0,1962000000.0,1962000000.0
InterestIncome,127000000.0,41000000.0,18000000.0,216000000.0,216000000.0
InterestIncomeNonOperating,127000000.0,41000000.0,18000000.0,216000000.0,216000000.0
NetIncome,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetIncomeCommonStockholders,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetIncomeContinuousOperations,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetIncomeIncludingNoncontrollingInterests,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetInterestIncome,-968000000.0,-1186000000.0,-1782000000.0,-1746000000.0,-1746000000.0
NetNonOperatingInterestIncomeExpense,-968000000.0,-1186000000.0,-1782000000.0,-1746000000.0,-1746000000.0
NormalizedEBITDA,6291000000.0,-8513000000.0,-2400000000.0,4602000000.0,4602000000.0
NormalizedIncome,2152500000.0,-9397460000.0,-5111560047.095761,233516129.032258,233516129.032258
OperatingExpense,6702000000.0,3482000000.0,5073000000.0,7274000000.0,7274000000.0
OperatingIncome,3687000000.0,-11078000000.0,-5046000000.0,1763000000.0,1763000000.0
OperatingRevenue,42873000000.0,15287000000.0,27377000000.0,45801000000.0,45801000000.0
OtherIncomeExpense,-463000000.0,811000000.0,4280000000.0,169000000.0,169000000.0
OtherNonOperatingIncomeExpenses,159000000.0,154000000.0,293000000.0,325000000.0,325000000.0
OtherOperatingExpenses,5100000000.0,2969000000.0,3975000000.0,5459000000.0,5459000000.0
OtherSpecialCharges,-64000000.0,-3549000000.0,-4155000000.0,7000000.0,7000000.0
OtherTaxes,0.0,,,,
PretaxIncome,2256000000.0,-11453000000.0,-2548000000.0,186000000.0,186000000.0
ReconciledCostOfRevenue,35379000000.0,24933000000.0,29855000000.0,39934000000.0,39934000000.0
ReconciledDepreciation,2318000000.0,2370000000.0,2335000000.0,2298000000.0,2298000000.0
RentExpenseSupplemental,4061000000.0,3358000000.0,4044000000.0,4125000000.0,4125000000.0
RestructuringAndMergernAcquisition,473000000.0,1408000000.0,168000000.0,0.0,0.0
SellingAndMarketingExpense,1602000000.0,513000000.0,1098000000.0,1815000000.0,1815000000.0
SellingGeneralAndAdministration,1602000000.0,513000000.0,1098000000.0,1815000000.0,1815000000.0
SpecialIncomeCharges,-622000000.0,657000000.0,3987000000.0,-156000000.0,-156000000.0
TaxEffectOfUnusualItems,-155500000.0,144540000.0,868439952.904239,-49483870.967742,-49483870.967742
TaxProvision,570000000.0,-2568000000.0,-555000000.0,59000000.0,59000000.0
TaxRateForCalcs,0.25,0.22,0.217818,0.317204,0.317204
TotalExpenses,42081000000.0,28415000000.0,34928000000.0,47208000000.0,47208000000.0
TotalOperatingIncomeAsReported,3065000000.0,-10421000000.0,-1059000000.0,1607000000.0,1607000000.0
TotalRevenue,45768000000.0,17337000000.0,29882000000.0,48971000000.0,48971000000.0
TotalUnusualItems,-622000000.0,657000000.0,3987000000.0,-156000000.0,-156000000.0
TotalUnusualItemsExcludingGoodwill,-622000000.0,657000000.0,3987000000.0,-156000000.0,-156000000.0
