,AAMC,AAMC,AAMC,AAMC
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD
BasicAverageShares,1589952.0,1631326.0,2002111.0,
BasicEPS,-1.77,24.38,-2.998835,
CostOfRevenue,17029000.0,11977000.0,5635000.0,
DilutedAverageShares,1589952.0,1631326.0,2162378.0,
DilutedEPS,-1.77,24.38,-2.998835,
DilutedNIAvailtoComStockholders,-2819000.0,39779000.0,81957000.0,-15107000.0
EBIT,-9025000.0,-20510000.0,-8884000.0,
EarningsFromEquityInterestNetOfTax,,,87961000.0,5099000.0
GainOnSaleOfSecurity,6595000.0,6514000.0,11554000.0,3061000.0
GeneralAndAdministrativeExpense,7758000.0,8533000.0,11049000.0,11460000.0
GrossProfit,-1267000.0,-11977000.0,-5635000.0,
InterestExpense,,,60000.0,435000.0
InterestExpenseNonOperating,,,60000.0,
InterestIncome,,,60000.0,2323000.0
NetIncome,-2613000.0,39821000.0,81957000.0,-15107000.0
NetIncomeCommonStockholders,-2819000.0,39779000.0,81957000.0,-15107000.0
NetIncomeContinuousOperations,-2613000.0,-14720000.0,75744000.0,-15107000.0
NetIncomeDiscontinuousOperations,,54541000.0,6213000.0,0.0
NetIncomeFromContinuingAndDiscontinuedOperation,-2613000.0,39821000.0,81957000.0,-15107000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-2613000.0,-14720000.0,75744000.0,-15107000.0
NetIncomeIncludingNoncontrollingInterests,-2613000.0,39821000.0,81957000.0,-15107000.0
NetInterestIncome,,,-60000.0,1828000.0
NetNonOperatingInterestIncomeExpense,,,-60000.0,
NormalizedEBITDA,-14883000.0,-26594000.0,-16082000.0,
NormalizedIncome,-2613000.0,-14720000.0,78596840.0,-13266200.0
OperatingExpense,7758000.0,8533000.0,11049000.0,
OperatingIncome,-9025000.0,-20510000.0,-16684000.0,
OperatingRevenue,15762000.0,0.0,0.0,-11978000.0
OtherGandA,7758000.0,8533000.0,11049000.0,11496000.0
OtherIncomeExpense,6750000.0,6559000.0,7800000.0,
OtherNonOperatingIncomeExpenses,155000.0,45000.0,154000.0,
OtherunderPreferredStockDividend,206000.0,42000.0,0.0,
PretaxIncome,-2275000.0,-13951000.0,-8944000.0,-17950000.0
ReconciledCostOfRevenue,17029000.0,11977000.0,5635000.0,
ReconciledDepreciation,737000.0,430000.0,448000.0,452000.0
RestructuringAndMergernAcquisition,,,3908000.0,3068000.0
SellingGeneralAndAdministration,7758000.0,8533000.0,11049000.0,11460000.0
SpecialIncomeCharges,,,-3908000.0,-3068000.0
TaxEffectOfUnusualItems,0.0,0.0,-1055160.0,-1227200.0
TaxProvision,338000.0,769000.0,3273000.0,2256000.0
TaxRateForCalcs,0.27,0.27,0.27,0.4
TotalExpenses,24787000.0,20510000.0,16684000.0,
TotalRevenue,15762000.0,0.0,0.0,-11978000.0
TotalUnusualItems,6595000.0,6514000.0,-3908000.0,-3068000.0
TotalUnusualItemsExcludingGoodwill,6595000.0,6514000.0,-3908000.0,-3068000.0
