,AAN,AAN,AAN,AAN,AAN
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,TTM,12M
currencyCode,USD,USD,USD,USD,USD
Amortization,,,5528000.0,7642000.0,9330000.0
AmortizationOfIntangiblesIncomeStatement,,,5528000.0,7642000.0,9330000.0
BasicAverageShares,33778509.0,33877000.0,32992000.0,,
BasicEPS,0.832,-7.85,3.33,,
CostOfRevenue,672461000.0,651377000.0,686015000.0,951712000.0,1087661000.0
DepreciationAmortizationDepletionIncomeStatement,,,5528000.0,7642000.0,9330000.0
DepreciationAndAmortizationInIncomeStatement,,,5528000.0,7642000.0,9330000.0
DilutedAverageShares,33778509.0,33877000.0,33722000.0,,
DilutedEPS,0.832,-7.85,3.26,,
DilutedNIAvailtoComStockholders,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
EBIT,51237000.0,-387808000.0,147330000.0,21254000.0,-4868000.0
EBITDA,,,,613145000.0,
GainOnSaleOfBusiness,,-8184000.0,,,
GainOnSaleOfPPE,,,3862000.0,11693000.0,11665000.0
GeneralAndAdministrativeExpense,499993000.0,476575000.0,684603000.0,733789000.0,747677000.0
GrossProfit,1112016000.0,1083542000.0,1159489000.0,1152940000.0,1161773000.0
ImpairmentOfCapitalAssets,,446893000.0,0.0,12933000.0,12933000.0
InterestExpense,16967000.0,10006000.0,1460000.0,6307000.0,9875000.0
InterestExpenseNonOperating,16967000.0,10006000.0,1460000.0,6307000.0,9875000.0
NetIncome,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetIncomeCommonStockholders,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetIncomeContinuousOperations,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetIncomeFromContinuingAndDiscontinuedOperation,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetIncomeFromContinuingOperationNetMinorityInterest,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetIncomeIncludingNoncontrollingInterests,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetInterestIncome,-16967000.0,-10006000.0,-22571000.0,-33607000.0,-40956000.0
NetNonOperatingInterestIncomeExpense,-16967000.0,-10006000.0,-22571000.0,-33607000.0,-40956000.0
NormalizedEBITDA,791094000.0,761428000.0,821148000.0,748808000.0,734550000.0
NormalizedIncome,141171260.0,120175968.0,170235904.0,98259800.0,83141400.0
OperatingExpense,926767000.0,895683000.0,912653000.0,966419000.0,985871000.0
OperatingIncome,185249000.0,187859000.0,246836000.0,186521000.0,175902000.0
OperatingRevenue,1784477000.0,1734919000.0,1845504000.0,2104652000.0,2249434000.0
OtherGandA,,,15684000.0,17978000.0,17102000.0
OtherIncomeExpense,-134012000.0,-575667000.0,-78395000.0,-137967000.0,-149689000.0
OtherNonOperatingIncomeExpenses,3881000.0,2309000.0,1581000.0,-2304000.0,-2320000.0
OtherOperatingExpenses,426774000.0,419108000.0,168871000.0,187762000.0,189743000.0
OtherSpecialCharges,,16713000.0,,,
PretaxIncome,34270000.0,-397814000.0,145870000.0,14947000.0,-14743000.0
ReconciledCostOfRevenue,672461000.0,651377000.0,97701000.0,367463000.0,504942000.0
ReconciledDepreciation,601964000.0,571260000.0,593842000.0,591891000.0,592049000.0
RentAndLandingFees,,,173508000.0,204222000.0,215431000.0
RentExpenseSupplemental,,,173508000.0,204222000.0,215431000.0
RestructuringAndMergernAcquisition,39990000.0,50728000.0,15950000.0,39776000.0,48537000.0
SalariesAndWages,499993000.0,476575000.0,495411000.0,511589000.0,515144000.0
SellingAndMarketingExpense,,,53651000.0,37226000.0,39121000.0
SellingGeneralAndAdministration,499993000.0,476575000.0,738254000.0,771015000.0,786798000.0
SpecialIncomeCharges,-137893000.0,-577976000.0,-79976000.0,-135663000.0,-147369000.0
TaxEffectOfUnusualItems,-24820740.0,-191888032.0,-19674096.0,-54265200.0,-58947600.0
TaxProvision,6171000.0,-131902000.0,35936000.0,-1915000.0,-9463000.0
TaxRateForCalcs,0.18,0.332,0.246,0.4,0.4
TotalExpenses,1599228000.0,1547060000.0,1598668000.0,1918131000.0,2073532000.0
TotalOperatingIncomeAsReported,47356000.0,-386038000.0,145749000.0,23558000.0,-2548000.0
TotalOtherFinanceCost,,,21111000.0,27300000.0,31081000.0
TotalRevenue,1784477000.0,1734919000.0,1845504000.0,2104652000.0,2249434000.0
TotalUnusualItems,-137893000.0,-577976000.0,-79976000.0,-135663000.0,-147369000.0
TotalUnusualItemsExcludingGoodwill,-137893000.0,-577976000.0,-79976000.0,-135663000.0,-147369000.0
WriteOff,97903000.0,63642000.0,67888000.0,94647000.0,97564000.0
