,AAOI,AAOI,AAOI,AAOI,AAOI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,19982000.0,21866630.0,26912000.0,,
BasicEPS,-3.31,-2.67,-2.01,,
CostOfRevenue,144671000.0,184082000.0,173850000.0,189191000.0,189191000.0
DilutedAverageShares,19982000.0,21866630.0,26912000.0,,
DilutedEPS,-3.31,-2.67,-2.01,,
DilutedNIAvailtoComStockholders,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
EBIT,-45982000.0,-45589000.0,-48540000.0,-60077000.0,-60077000.0
EBITDA,,,,,-36875000.0
GainOnSaleOfPPE,-13000.0,-15000.0,-1000.0,47000.0,47000.0
GainOnSaleOfSecurity,20000.0,1000.0,454000.0,-1488000.0,-1488000.0
GeneralAndAdministrativeExpense,41489000.0,41903000.0,42362000.0,46658000.0,46658000.0
GrossProfit,46201000.0,50541000.0,37715000.0,33627000.0,33627000.0
InterestExpense,5405000.0,5635000.0,5620000.0,6319000.0,6319000.0
InterestExpenseNonOperating,5405000.0,5635000.0,5620000.0,6319000.0,6319000.0
InterestIncome,925000.0,255000.0,70000.0,126000.0,126000.0
InterestIncomeNonOperating,925000.0,255000.0,70000.0,126000.0,126000.0
NetIncome,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetIncomeCommonStockholders,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetIncomeContinuousOperations,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetIncomeIncludingNoncontrollingInterests,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetInterestIncome,-4480000.0,-5380000.0,-5550000.0,-6193000.0,-6193000.0
NetNonOperatingInterestIncomeExpense,-4480000.0,-5380000.0,-5550000.0,-6193000.0,-6193000.0
NormalizedEBITDA,-21975000.0,-20842000.0,-29851000.0,-35434000.0,-35434000.0
NormalizedIncome,-66054005.0,-58441780.0,-60844000.0,-64956000.0,-64956000.0
OperatingExpense,93334000.0,96675000.0,93136000.0,92465000.0,92465000.0
OperatingIncome,-47133000.0,-46134000.0,-55421000.0,-58838000.0,-58838000.0
OperatingRevenue,190872000.0,234623000.0,211565000.0,222818000.0,222818000.0
OtherGandA,41489000.0,41903000.0,42362000.0,46658000.0,46658000.0
OtherIncomeExpense,226000.0,290000.0,6811000.0,-1365000.0,-1365000.0
OtherNonOperatingIncomeExpenses,219000.0,304000.0,129000.0,76000.0,76000.0
OtherOperatingExpenses,-1614000.0,-2708000.0,-1345000.0,-160000.0,-160000.0
OtherSpecialCharges,,,-6229000.0,,
PretaxIncome,-51387000.0,-51224000.0,-54160000.0,-66396000.0,-66396000.0
ReconciledCostOfRevenue,144671000.0,184082000.0,173850000.0,189191000.0,189191000.0
ReconciledDepreciation,24014000.0,24733000.0,25371000.0,23202000.0,23202000.0
ResearchAndDevelopment,43399000.0,43393000.0,41220000.0,36244000.0,36244000.0
SellingAndMarketingExpense,10060000.0,14087000.0,10899000.0,9723000.0,9723000.0
SellingGeneralAndAdministration,51549000.0,55990000.0,53261000.0,56381000.0,56381000.0
SpecialIncomeCharges,-13000.0,-15000.0,6228000.0,47000.0,47000.0
TaxEffectOfUnusualItems,1995.0,-3780.0,0.0,0.0,0.0
TaxProvision,14662000.0,7228000.0,2000.0,1000.0,1000.0
TaxRateForCalcs,0.285,0.27,0.0,0.0,0.0
TotalExpenses,238005000.0,280757000.0,266986000.0,281656000.0,281656000.0
TotalOperatingIncomeAsReported,-48747000.0,-48842000.0,-56766000.0,-58998000.0,-58998000.0
TotalRevenue,190872000.0,234623000.0,211565000.0,222818000.0,222818000.0
TotalUnusualItems,7000.0,-14000.0,6682000.0,-1441000.0,-1441000.0
TotalUnusualItemsExcludingGoodwill,7000.0,-14000.0,6682000.0,-1441000.0,-1441000.0
