,AAON,AAON,AAON,AAON,AAON,AAON
asOfDate,2019-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,TTM,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD,USD
BasicAverageShares,52079865.0,,52168679.0,52404199.0,53054986.0,
BasicEPS,1.03,,1.51,1.12,1.89,
CostOfRevenue,349908000.0,,358702000.0,396687000.0,651216000.0,651216000.0
DepreciationAmortizationDepletionIncomeStatement,1524000.0,,1999000.0,2924000.0,8050000.0,8050000.0
DepreciationAndAmortizationInIncomeStatement,1524000.0,,1999000.0,2924000.0,8050000.0,8050000.0
DepreciationIncomeStatement,1524000.0,,1999000.0,2924000.0,,
DilutedAverageShares,52635415.0,,53061169.0,53728989.0,54097072.0,
DilutedEPS,1.02,,1.49,1.09,1.86,
DilutedNIAvailtoComStockholders,53711000.0,,79009000.0,58758000.0,100376000.0,100376000.0
EBIT,68576000.0,,97626000.0,69314000.0,127883000.0,127883000.0
EBITDA,,,,,,163313000.0
GainOnSaleOfPPE,-337000.0,,6478000.0,21000.0,12000.0,12000.0
GeneralAndAdministrativeExpense,48507000.0,,55401000.0,63320000.0,99286000.0,99286000.0
GrossProfit,119425000.0,,155849000.0,137830000.0,237572000.0,237572000.0
InsuranceAndClaims,805000.0,,1066000.0,3010000.0,3755000.0,3755000.0
InterestExpense,,,,132000.0,2627000.0,
InterestExpenseNonOperating,,,,132000.0,2627000.0,
InterestIncome,66000.0,,88000.0,,,
InterestIncomeNonOperating,66000.0,,88000.0,,,
NetIncome,53711000.0,,79009000.0,58758000.0,100376000.0,100376000.0
NetIncomeCommonStockholders,53711000.0,,79009000.0,58758000.0,100376000.0,100376000.0
NetIncomeContinuousOperations,53711000.0,,79009000.0,58758000.0,100376000.0,100376000.0
NetIncomeFromContinuingAndDiscontinuedOperation,53711000.0,,79009000.0,58758000.0,100376000.0,100376000.0
NetIncomeFromContinuingOperationNetMinorityInterest,53711000.0,,79009000.0,58758000.0,100376000.0,100376000.0
NetIncomeIncludingNoncontrollingInterests,53711000.0,,79009000.0,58758000.0,100376000.0,100376000.0
NetInterestIncome,66000.0,,88000.0,-132000.0,-2627000.0,-2627000.0
NetNonOperatingInterestIncomeExpense,66000.0,,88000.0,-132000.0,-2627000.0,-2627000.0
NormalizedEBITDA,92907000.0,,119050000.0,100447000.0,164435000.0,164435000.0
NormalizedIncome,54963000.0,,75746250.0,59366733.0,101280332.0,101280332.0
OperatingExpense,50849000.0,,58223000.0,67860000.0,109689000.0,109689000.0
OperatingIncome,68576000.0,,97626000.0,69970000.0,127883000.0,127883000.0
OperatingRevenue,452588000.0,,500482000.0,534517000.0,863761000.0,863761000.0
OtherGandA,20170000.0,,17242000.0,22783000.0,33146000.0,33146000.0
OtherIncomeExpense,-1611000.0,,4261000.0,-656000.0,-723000.0,-723000.0
OtherNonOperatingIncomeExpenses,-46000.0,,51000.0,61000.0,399000.0,399000.0
OtherSpecialCharges,1137000.0,,2115000.0,738000.0,1134000.0,1134000.0
PretaxIncome,67031000.0,,101975000.0,69182000.0,124533000.0,124533000.0
ReconciledCostOfRevenue,328666000.0,,335067000.0,369195000.0,623836000.0,623836000.0
ReconciledDepreciation,22766000.0,,25634000.0,30416000.0,35430000.0,35430000.0
SalariesAndWages,27532000.0,,37093000.0,37527000.0,62385000.0,62385000.0
SellingAndMarketingExpense,818000.0,,823000.0,1616000.0,2353000.0,2353000.0
SellingGeneralAndAdministration,49325000.0,,56224000.0,64936000.0,101639000.0,101639000.0
SpecialIncomeCharges,-1565000.0,,4210000.0,-717000.0,-1122000.0,-1122000.0
TaxEffectOfUnusualItems,-313000.0,,947250.0,-108267.0,-217668.0,-217668.0
TaxProvision,13320000.0,,22966000.0,10424000.0,24157000.0,24157000.0
TaxRateForCalcs,0.2,,0.225,0.151,0.194,0.194
TotalExpenses,400757000.0,,416925000.0,464547000.0,760905000.0,760905000.0
TotalOperatingIncomeAsReported,67011000.0,,101836000.0,69253000.0,126761000.0,126761000.0
TotalOtherFinanceCost,-66000.0,-66000.0,,,2627000.0,2627000.0
TotalRevenue,469333000.0,,514551000.0,534517000.0,888788000.0,888788000.0
TotalUnusualItems,-1565000.0,,4210000.0,-717000.0,-1122000.0,-1122000.0
TotalUnusualItemsExcludingGoodwill,-1565000.0,,4210000.0,-717000.0,-1122000.0,-1122000.0
WriteOff,91000.0,,153000.0,,,
