,AAP,AAP,AAP,AAP,AAP
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,70869000.0,68748000.0,64028000.0,60351000.0,
BasicEPS,6.87,7.17,9.62,8.32,
CostOfRevenue,5454257000.0,5624707000.0,6069241000.0,6192622000.0,6192622000.0
DilutedAverageShares,71165000.0,69003000.0,64509000.0,60717000.0,
DilutedEPS,6.84,7.14,9.55,8.27,
DilutedNIAvailtoComStockholders,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
EBIT,677644000.0,697901000.0,843716000.0,699747000.0,699747000.0
EBITDA,,,,,983547000.0
GrossProfit,4254746000.0,4481614000.0,4928748000.0,4962100000.0,4962100000.0
InterestExpense,39898000.0,46886000.0,37791000.0,51060000.0,51060000.0
InterestExpenseNonOperating,39898000.0,46886000.0,37791000.0,51060000.0,51060000.0
NetIncome,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetIncomeCommonStockholders,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetIncomeContinuousOperations,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetIncomeFromContinuingAndDiscontinuedOperation,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetIncomeFromContinuingOperationNetMinorityInterest,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetIncomeIncludingNoncontrollingInterests,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetInterestIncome,-39898000.0,-46886000.0,-37791000.0,-51060000.0,-51060000.0
NetNonOperatingInterestIncomeExpense,-39898000.0,-46886000.0,-37791000.0,-51060000.0,-51060000.0
NormalizedEBITDA,916015000.0,996004000.0,1103649000.0,990955000.0,990955000.0
NormalizedIncome,486896000.0,529373654.0,616108000.0,507605792.0,507605792.0
OperatingExpense,3577566000.0,3731707000.0,4090031000.0,4247949000.0,4247949000.0
OperatingIncome,677180000.0,749907000.0,838717000.0,714151000.0,714151000.0
OperatingRevenue,9709003000.0,10106321000.0,10997989000.0,11154722000.0,11154722000.0
OtherIncomeExpense,464000.0,-52006000.0,4999000.0,-14404000.0,-14404000.0
OtherNonOperatingIncomeExpenses,464000.0,-3984000.0,4999000.0,-6996000.0,-6996000.0
OtherSpecialCharges,,48022000.0,,7408000.0,7408000.0
PretaxIncome,637746000.0,651015000.0,805925000.0,648687000.0,648687000.0
ReconciledCostOfRevenue,5454257000.0,5624707000.0,6069241000.0,6192622000.0,6192622000.0
ReconciledDepreciation,238371000.0,250081000.0,259933000.0,283800000.0,283800000.0
SellingGeneralAndAdministration,3577566000.0,3731707000.0,4090031000.0,4247949000.0,4247949000.0
SpecialIncomeCharges,,-48022000.0,0.0,-7408000.0,-7408000.0
TaxEffectOfUnusualItems,0.0,-11669346.0,0.0,-1674208.0,-1674208.0
TaxProvision,150850000.0,157994000.0,189817000.0,146815000.0,146815000.0
TaxRateForCalcs,0.237,0.243,0.236,0.226,0.226
TotalExpenses,9031823000.0,9356414000.0,10159272000.0,10440571000.0,10440571000.0
TotalOperatingIncomeAsReported,677180000.0,749907000.0,838717000.0,714151000.0,714151000.0
TotalRevenue,9709003000.0,10106321000.0,10997989000.0,11154722000.0,11154722000.0
TotalUnusualItems,,-48022000.0,0.0,-7408000.0,-7408000.0
TotalUnusualItemsExcludingGoodwill,,-48022000.0,0.0,-7408000.0,-7408000.0
