,AAPL,AAPL,AAPL,AAPL,AAPL
asOfDate,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,18471336000.0,17352119000.0,16701272000.0,16215963000.0,
BasicEPS,2.9925,3.31,5.67,6.15,
CostOfRevenue,161782000000.0,169559000000.0,212981000000.0,223546000000.0,220666000000.0
DilutedAverageShares,18595652000.0,17528214000.0,16864919000.0,16325819000.0,
DilutedEPS,2.9725,3.28,5.61,6.11,
DilutedNIAvailtoComStockholders,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
EBIT,69313000000.0,69964000000.0,111852000000.0,122034000000.0,116725000000.0
EBITDA,,,,,128048000000.0
GrossProfit,98392000000.0,104956000000.0,152836000000.0,170782000000.0,166871000000.0
InterestExpense,3576000000.0,2873000000.0,2645000000.0,2931000000.0,3240000000.0
InterestExpenseNonOperating,3576000000.0,2873000000.0,2645000000.0,2931000000.0,3240000000.0
InterestIncome,4961000000.0,3763000000.0,2843000000.0,2825000000.0,3043000000.0
InterestIncomeNonOperating,4961000000.0,3763000000.0,2843000000.0,2825000000.0,3043000000.0
NetIncome,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
NetIncomeCommonStockholders,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
NetIncomeContinuousOperations,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
NetIncomeIncludingNoncontrollingInterests,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
NetInterestIncome,1385000000.0,890000000.0,198000000.0,-106000000.0,-197000000.0
NetNonOperatingInterestIncomeExpense,1385000000.0,890000000.0,198000000.0,-106000000.0,-197000000.0
NormalizedEBITDA,81860000000.0,81020000000.0,123136000000.0,133138000000.0,128048000000.0
NormalizedIncome,55256000000.0,57411000000.0,94680000000.0,99803000000.0,95171000000.0
OperatingExpense,34462000000.0,38668000000.0,43887000000.0,51345000000.0,52906000000.0
OperatingIncome,63930000000.0,66288000000.0,108949000000.0,119437000000.0,113965000000.0
OperatingRevenue,260174000000.0,274515000000.0,365817000000.0,394328000000.0,387537000000.0
OtherIncomeExpense,422000000.0,-87000000.0,60000000.0,-228000000.0,-283000000.0
OtherNonOperatingIncomeExpenses,422000000.0,-87000000.0,60000000.0,-228000000.0,-283000000.0
PretaxIncome,65737000000.0,67091000000.0,109207000000.0,119103000000.0,113485000000.0
ReconciledCostOfRevenue,161782000000.0,169559000000.0,212981000000.0,223546000000.0,220666000000.0
ReconciledDepreciation,12547000000.0,11056000000.0,11284000000.0,11104000000.0,11323000000.0
ResearchAndDevelopment,16217000000.0,18752000000.0,21914000000.0,26251000000.0,27654000000.0
SellingGeneralAndAdministration,18245000000.0,19916000000.0,21973000000.0,25094000000.0,25252000000.0
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxProvision,10481000000.0,9680000000.0,14527000000.0,19300000000.0,18314000000.0
TaxRateForCalcs,0.159,0.144,0.133,0.162,0.161378
TotalExpenses,196244000000.0,208227000000.0,256868000000.0,274891000000.0,273572000000.0
TotalOperatingIncomeAsReported,63930000000.0,66288000000.0,108949000000.0,119437000000.0,113965000000.0
TotalRevenue,260174000000.0,274515000000.0,365817000000.0,394328000000.0,387537000000.0
