,ABB,ABB,ABB,ABB,ABB
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,2133000000.0,2111000000.0,2001000000.0,1899000000.0,
BasicEPS,0.67,2.44,2.27,1.3,
CostOfRevenue,19072000000.0,18256000000.0,19478000000.0,19736000000.0,19736000000.0
DilutedAverageShares,2135000000.0,2119000000.0,2019000000.0,1910000000.0,
DilutedEPS,0.67,2.43,2.25,1.3,
DilutedNIAvailtoComStockholders,1439000000.0,5146000000.0,4546000000.0,2475000000.0,2475000000.0
EBIT,2077000000.0,1081000000.0,5935000000.0,3524000000.0,3524000000.0
EBITDA,,,,,3524000000.0
EarningsFromEquityInterest,30000000.0,-66000000.0,-100000000.0,-102000000.0,-102000000.0
GainOnSaleOfBusiness,55000000.0,-2000000.0,2193000000.0,36000000.0,36000000.0
GainOnSaleOfPPE,51000000.0,37000000.0,38000000.0,84000000.0,84000000.0
GainOnSaleOfSecurity,,71000000.0,105000000.0,52000000.0,52000000.0
GeneralAndAdministrativeExpense,2064000000.0,1808000000.0,1881000000.0,1884000000.0,1884000000.0
GrossProfit,8906000000.0,7878000000.0,9467000000.0,9710000000.0,9710000000.0
ImpairmentOfCapitalAssets,61000000.0,346000000.0,0.0,55000000.0,55000000.0
InterestExpense,215000000.0,240000000.0,148000000.0,130000000.0,130000000.0
InterestExpenseNonOperating,215000000.0,240000000.0,148000000.0,130000000.0,130000000.0
InterestIncome,67000000.0,51000000.0,51000000.0,72000000.0,72000000.0
InterestIncomeNonOperating,67000000.0,51000000.0,51000000.0,72000000.0,72000000.0
MinorityInterests,-89000000.0,-59000000.0,-104000000.0,-119000000.0,-119000000.0
NetIncome,1439000000.0,5146000000.0,4546000000.0,2475000000.0,2475000000.0
NetIncomeCommonStockholders,1439000000.0,5146000000.0,4546000000.0,2475000000.0,2475000000.0
NetIncomeContinuousOperations,1090000000.0,345000000.0,4730000000.0,2637000000.0,2637000000.0
NetIncomeDiscontinuousOperations,438000000.0,4860000000.0,-80000000.0,-43000000.0,-43000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,1439000000.0,5146000000.0,4546000000.0,2475000000.0,2475000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1001000000.0,286000000.0,4626000000.0,2518000000.0,2518000000.0
NetIncomeIncludingNoncontrollingInterests,1528000000.0,5205000000.0,4650000000.0,2594000000.0,2594000000.0
NetInterestIncome,-148000000.0,-189000000.0,-97000000.0,-58000000.0,-58000000.0
NetNonOperatingInterestIncomeExpense,-148000000.0,-189000000.0,-97000000.0,-58000000.0,-58000000.0
NormalizedEBITDA,2970000000.0,2449000000.0,4534000000.0,3932000000.0,3932000000.0
NormalizedIncome,945240000.0,671774800.0,2751802000.0,2835016000.0,2835016000.0
OperatingExpense,6645000000.0,5871000000.0,6119000000.0,6020000000.0,6020000000.0
OperatingIncome,2261000000.0,2007000000.0,3348000000.0,3690000000.0,3690000000.0
OperatingRevenue,27978000000.0,26134000000.0,28945000000.0,29446000000.0,29446000000.0
OtherGandA,2064000000.0,1808000000.0,1881000000.0,1884000000.0,1884000000.0
OtherIncomeExpense,-251000000.0,-977000000.0,2536000000.0,-238000000.0,-238000000.0
OtherNonOperatingIncomeExpenses,-349000000.0,-458000000.0,342000000.0,272000000.0,272000000.0
OtherOperatingExpenses,323000000.0,-151000000.0,-262000000.0,-278000000.0,-278000000.0
OtherSpecialCharges,329000000.0,162000000.0,,313000000.0,313000000.0
PretaxIncome,1862000000.0,841000000.0,5787000000.0,3394000000.0,3394000000.0
ReconciledCostOfRevenue,19072000000.0,18256000000.0,19478000000.0,19736000000.0,19736000000.0
ReconciledDepreciation,961000000.0,915000000.0,893000000.0,814000000.0,814000000.0
ResearchAndDevelopment,1198000000.0,1127000000.0,1219000000.0,1166000000.0,1166000000.0
RestructuringAndMergernAcquisition,-23000000.0,51000000.0,42000000.0,212000000.0,212000000.0
SellingAndMarketingExpense,3383000000.0,3087000000.0,3281000000.0,3248000000.0,3248000000.0
SellingGeneralAndAdministration,5447000000.0,4895000000.0,5162000000.0,5132000000.0,5132000000.0
SpecialIncomeCharges,68000000.0,-524000000.0,2189000000.0,-460000000.0,-460000000.0
TaxEffectOfUnusualItems,12240000.0,-67225200.0,419802000.0,-90984000.0,-90984000.0
TaxProvision,772000000.0,496000000.0,1057000000.0,757000000.0,757000000.0
TaxRateForCalcs,0.18,0.1484,0.183,0.223,0.223
TotalExpenses,25717000000.0,24127000000.0,25597000000.0,25756000000.0,25756000000.0
TotalOperatingIncomeAsReported,1938000000.0,1593000000.0,5718000000.0,3337000000.0,3337000000.0
TotalRevenue,27978000000.0,26134000000.0,28945000000.0,29446000000.0,29446000000.0
TotalUnusualItems,68000000.0,-453000000.0,2294000000.0,-408000000.0,-408000000.0
TotalUnusualItemsExcludingGoodwill,68000000.0,-453000000.0,2294000000.0,-408000000.0,-408000000.0
WriteOff,61000000.0,,,,
