,ABBV,ABBV,ABBV,ABBV,ABBV
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,1478911462.0,1765132819.0,1768337696.0,1769181294.0,
BasicEPS,5.329596,2.615101,6.527034,6.6901,
CostOfRevenue,7439000000.0,15387000000.0,17446000000.0,17414000000.0,17414000000.0
DilutedAverageShares,1484000000.0,1765132819.0,1777000000.0,1778000000.0,
DilutedEPS,5.28,2.615101,6.45,6.63,
DilutedNIAvailtoComStockholders,7842000000.0,4556000000.0,11468000000.0,11782000000.0,11782000000.0
EBIT,10210000000.0,5852000000.0,15412000000.0,15707000000.0,15707000000.0
EBITDA,,,,,24174000000.0
GainOnSaleOfSecurity,-42000000.0,-71000000.0,-51000000.0,-148000000.0,-148000000.0
GrossProfit,25827000000.0,30417000000.0,38751000000.0,40640000000.0,40640000000.0
InterestExpense,1784000000.0,2454000000.0,2423000000.0,2230000000.0,2230000000.0
InterestExpenseNonOperating,1784000000.0,2454000000.0,2423000000.0,2230000000.0,2230000000.0
InterestIncome,275000000.0,174000000.0,39000000.0,186000000.0,186000000.0
InterestIncomeNonOperating,275000000.0,174000000.0,39000000.0,186000000.0,186000000.0
MinorityInterests,,-6000000.0,-7000000.0,-9000000.0,-9000000.0
NetIncome,7882000000.0,4616000000.0,11542000000.0,11836000000.0,11836000000.0
NetIncomeCommonStockholders,7842000000.0,4556000000.0,11468000000.0,11782000000.0,11782000000.0
NetIncomeContinuousOperations,7882000000.0,4622000000.0,11549000000.0,11845000000.0,11845000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7882000000.0,4616000000.0,11542000000.0,11836000000.0,11836000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,7882000000.0,4616000000.0,11542000000.0,11836000000.0,11836000000.0
NetIncomeIncludingNoncontrollingInterests,7882000000.0,4622000000.0,11549000000.0,11845000000.0,11845000000.0
NetInterestIncome,-1509000000.0,-2280000000.0,-2384000000.0,-2044000000.0,-2044000000.0
NetNonOperatingInterestIncomeExpense,-1509000000.0,-2280000000.0,-2384000000.0,-2044000000.0,-2044000000.0
NormalizedEBITDA,12654000000.0,13592000000.0,24946000000.0,25019000000.0,25019000000.0
NormalizedIncome,8281245000.0,5542370000.0,12442557000.0,12578755000.0,12578755000.0
OperatingExpense,12459000000.0,17856000000.0,19865000000.0,21826000000.0,21826000000.0
OperatingIncome,13368000000.0,12561000000.0,18886000000.0,18814000000.0,18814000000.0
OperatingRevenue,33266000000.0,45804000000.0,56197000000.0,58054000000.0,58054000000.0
OtherIncomeExpense,-3433000000.0,-6883000000.0,-3513000000.0,-3293000000.0,-3293000000.0
OtherNonOperatingIncomeExpenses,-3006000000.0,-5614000000.0,-2500000000.0,-2448000000.0,-2448000000.0
OtherOperatingExpenses,-890000000.0,,432000000.0,56000000.0,56000000.0
OtherSpecialCharges,385000000.0,1198000000.0,962000000.0,697000000.0,697000000.0
OtherunderPreferredStockDividend,40000000.0,60000000.0,74000000.0,54000000.0,54000000.0
PretaxIncome,8426000000.0,3398000000.0,12989000000.0,13477000000.0,13477000000.0
ReconciledCostOfRevenue,7439000000.0,15387000000.0,17446000000.0,17414000000.0,17414000000.0
ReconciledDepreciation,2017000000.0,6471000000.0,8521000000.0,8467000000.0,8467000000.0
ResearchAndDevelopment,6407000000.0,6557000000.0,7084000000.0,6510000000.0,6510000000.0
SellingGeneralAndAdministration,6942000000.0,11299000000.0,12349000000.0,15260000000.0,15260000000.0
SpecialIncomeCharges,-385000000.0,-1198000000.0,-962000000.0,-697000000.0,-697000000.0
TaxEffectOfUnusualItems,-27755000.0,-342630000.0,-112443000.0,-102245000.0,-102245000.0
TaxProvision,544000000.0,-1224000000.0,1440000000.0,1632000000.0,1632000000.0
TaxRateForCalcs,0.065,0.27,0.111,0.121,0.121
TotalExpenses,19898000000.0,33243000000.0,37311000000.0,39240000000.0,39240000000.0
TotalOperatingIncomeAsReported,12983000000.0,11363000000.0,17924000000.0,18117000000.0,18117000000.0
TotalOtherFinanceCost,1509000000.0,2280000000.0,,2044000000.0,2044000000.0
TotalRevenue,33266000000.0,45804000000.0,56197000000.0,58054000000.0,58054000000.0
TotalUnusualItems,-427000000.0,-1269000000.0,-1013000000.0,-845000000.0,-845000000.0
TotalUnusualItemsExcludingGoodwill,-427000000.0,-1269000000.0,-1013000000.0,-845000000.0,-845000000.0
