,AMP.MI,AMP.MI,AMP.MI,AMP.MI,AMP.MI
asOfDate,2019-12-31 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,TTM,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR,EUR
Amortization,60534000.0,,61485000.0,74706000.0,80888000.0
BasicAverageShares,221863663.0,,223797671.0,224823927.0,
BasicEPS,0.48979,,0.45132,0.70182,
CostOfRevenue,801007000.0,,692385000.0,839531000.0,957718000.0
DepreciationAndAmortizationInIncomeStatement,190529000.0,,198976000.0,219499000.0,238186000.0
DepreciationIncomeStatement,129995000.0,,137491000.0,144793000.0,157298000.0
DilutedAverageShares,225752767.0,,226690896.0,227326771.0,
DilutedEPS,0.48135,,0.44556,0.69409,
DilutedNIAvailtoComStockholders,108666000.0,,101004000.0,157785000.0,172526000.0
EBIT,176084000.0,,168366000.0,251037000.0,273619000.0
EBITDA,,,,,518221000.0
GrossProfit,931056000.0,,863158000.0,1108544000.0,1150180000.0
ImpairmentOfCapitalAssets,2970000.0,,3491000.0,,
InterestExpense,25945000.0,,29041000.0,27677000.0,29106000.0
InterestExpenseNonOperating,25945000.0,,29041000.0,27677000.0,29106000.0
InterestIncome,201000.0,,182000.0,198000.0,
InterestIncomeNonOperating,201000.0,,182000.0,198000.0,
MinorityInterests,142000.0,,-58000.0,-58000.0,-252000.0
NetIncome,108666000.0,,101004000.0,157785000.0,172526000.0
NetIncomeCommonStockholders,108666000.0,,101004000.0,157785000.0,172526000.0
NetIncomeContinuousOperations,108524000.0,,101062000.0,163598000.0,179406000.0
NetIncomeDiscontinuousOperations,,,,-5755000.0,-6628000.0
NetIncomeFromContinuingAndDiscontinuedOperation,108666000.0,,101004000.0,157785000.0,172526000.0
NetIncomeFromContinuingOperationNetMinorityInterest,108666000.0,,101004000.0,163540000.0,179154000.0
NetIncomeIncludingNoncontrollingInterests,108524000.0,,101062000.0,157843000.0,172778000.0
NetInterestIncome,-26325000.0,,-29486000.0,-25329000.0,-27511000.0
NetNonOperatingInterestIncomeExpense,-26325000.0,,-29486000.0,-25329000.0,-27511000.0
NormalizedEBITDA,371552000.0,,374431000.0,481397000.0,522153000.0
NormalizedIncome,110089587.0,,103611825.0,165699400.0,182039017.941786
OperatingExpense,752369000.0,,691167000.0,859717000.0,877153000.0
OperatingIncome,178687000.0,,171991000.0,248827000.0,273027000.0
OperatingRevenue,1732063000.0,,1555543000.0,1948075000.0,2107898000.0
OtherNonOperatingIncomeExpenses,3000.0,,2000.0,1574000.0,
OtherOperatingExpenses,329507000.0,,301079000.0,403708000.0,
OtherunderPreferredStockDividend,0.0,,0.0,0.0,0.0
PretaxIncome,150139000.0,,139325000.0,223360000.0,244513000.0
ReconciledCostOfRevenue,801007000.0,,692385000.0,839531000.0,957718000.0
ReconciledDepreciation,193499000.0,,202468000.0,227410000.0,244602000.0
RentAndLandingFees,3526000.0,,1959000.0,790000.0,
RentExpenseSupplemental,9503000.0,,8688000.0,9810000.0,
RestructuringAndMergernAcquisition,-1374000.0,,,,
SpecialIncomeCharges,-1596000.0,,-3491000.0,-2827000.0,-1134000.0
TaxEffectOfUnusualItems,-545413.0,,-989175.0,-790600.0,-1046982.058214
TaxProvision,41615000.0,,38263000.0,59762000.0,65107000.0
TaxRateForCalcs,0.277,,0.275,0.268,0.266272
TotalExpenses,1553376000.0,,1383552000.0,1699248000.0,1834871000.0
TotalOperatingIncomeAsReported,177091000.0,,168500000.0,246000000.0,271893000.0
TotalOtherFinanceCost,581000.0,,627000.0,-2150000.0,-1397000.0
TotalRevenue,1732063000.0,,1555543000.0,1948075000.0,2107898000.0
TotalUnusualItems,-1969000.0,,-3597000.0,-2950000.0,-3932000.0
TotalUnusualItemsExcludingGoodwill,-1969000.0,,-3597000.0,-2950000.0,-3932000.0
WriteOff,2970000.0,2631000.0,3491000.0,2827000.0,1348000.0
