,ELN.MI,ELN.MI,ELN.MI,ELN.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
Amortization,671569.0,698695.0,979916.0,
BasicAverageShares,77364680.0,78336048.0,79484074.0,
BasicEPS,0.3375,0.2575,0.57,
CostOfRevenue,248213413.0,272180247.0,365315902.0,423318902.0
DepreciationAndAmortizationInIncomeStatement,6886065.0,7899158.0,8709926.0,7263926.0
DepreciationIncomeStatement,6214496.0,7200463.0,7730010.0,6284010.0
DilutedAverageShares,80672087.0,80218400.0,79484074.0,
DilutedEPS,0.3225,0.2525,0.57,
DilutedNIAvailtoComStockholders,26016748.0,20255146.0,45436387.0,57794387.0
EBIT,38944254.0,28247935.0,66683668.0,80030668.0
EBITDA,,,,87294594.0
GeneralAndAdministrativeExpense,5075172.0,4545582.0,5769221.0,
GrossProfit,152547276.0,135903045.0,206086252.0,227131252.0
ImpairmentOfCapitalAssets,27007.0,,,
InterestExpense,300547.0,323539.0,259647.0,
InterestExpenseNonOperating,300547.0,323539.0,259647.0,
InterestIncome,549260.0,587478.0,651214.0,
InterestIncomeNonOperating,549260.0,587478.0,651214.0,
MinorityInterests,-2758544.0,-2287209.0,-3687998.0,
NetIncome,26016748.0,20255146.0,45436387.0,57794387.0
NetIncomeCommonStockholders,26016748.0,20255146.0,45436387.0,57794387.0
NetIncomeContinuousOperations,28775292.0,22542355.0,49124385.0,61482385.0
NetIncomeFromContinuingAndDiscontinuedOperation,26016748.0,20255146.0,45436387.0,57794387.0
NetIncomeFromContinuingOperationNetMinorityInterest,26016748.0,20255146.0,45436387.0,57794387.0
NetIncomeIncludingNoncontrollingInterests,28775292.0,22542355.0,49124385.0,61482385.0
NetInterestIncome,-322739.0,-171519.0,-439335.0,-1602335.0
NetNonOperatingInterestIncomeExpense,-322739.0,-171519.0,-439335.0,-1602335.0
NormalizedEBITDA,45447492.0,35745806.0,75003780.0,86904780.0
NormalizedIncome,25731541.885,19931307.391,45147924.64,57560498.6
OperatingExpense,117449417.0,111202348.0,146793229.0,154491229.0
OperatingIncome,35097859.0,24700697.0,59293023.0,72640023.0
OperatingRevenue,400760689.0,408083292.0,571402154.0,650450154.0
OtherNonOperatingIncomeExpenses,3243039.0,5377427.0,5651428.0,
OtherOperatingExpenses,23741971.0,20893427.0,34015244.0,
OtherSpecialCharges,-230597.0,-356907.0,-335345.0,
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
PretaxIncome,38643707.0,27924396.0,66424021.0,78782021.0
ReconciledCostOfRevenue,248213413.0,272180247.0,365315902.0,423318902.0
ReconciledDepreciation,6886064.0,7899157.0,8709925.0,7263926.0
RentAndLandingFees,1641631.0,1384845.0,1916763.0,
RentExpenseSupplemental,1641631.0,1384845.0,1916763.0,
SellingAndMarketingExpense,10464777.0,6062030.0,6732932.0,
SellingGeneralAndAdministration,15539949.0,10607612.0,12502153.0,
SpecialIncomeCharges,203590.0,356907.0,335345.0,
TaxEffectOfUnusualItems,97620.885,77448.391,101351.64,155925.6
TaxProvision,9868415.0,5382041.0,17299636.0,
TaxRateForCalcs,0.255,0.193,0.26,0.4
TotalExpenses,365662830.0,383382595.0,512109131.0,577810131.0
TotalOperatingIncomeAsReported,38198188.0,30111334.0,64857700.0,78204700.0
TotalOtherFinanceCost,571452.0,435458.0,830902.0,
TotalRevenue,400760689.0,408083292.0,571402154.0,650450154.0
TotalUnusualItems,382827.0,401287.0,389814.0,389814.0
TotalUnusualItemsExcludingGoodwill,382827.0,401287.0,389814.0,389814.0
