,F,F,F,F,F
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,3972000000.0,3973000000.0,3991000000.0,,
BasicEPS,0.01,-0.32,4.49,,
CostOfRevenue,134693000000.0,112752000000.0,114651000000.0,134397000000.0,134397000000.0
DilutedAverageShares,4004000000.0,3973000000.0,4034000000.0,,
DilutedEPS,0.01,-0.32,4.45,,
DilutedNIAvailtoComStockholders,47000000.0,-1279000000.0,17937000000.0,-1981000000.0,-1981000000.0
EBIT,9881000000.0,9142000000.0,24835000000.0,4762000000.0,4762000000.0
EBITDA,,,,,11255000000.0
EarningsFromEquityInterest,52000000.0,3488000000.0,695000000.0,-3030000000.0,-3030000000.0
GainOnSaleOfSecurity,144000000.0,325000000.0,9159000000.0,-7518000000.0,-7518000000.0
GrossProfit,21207000000.0,14392000000.0,21690000000.0,23660000000.0,23660000000.0
InterestExpense,10521000000.0,10258000000.0,7055000000.0,7778000000.0,7778000000.0
InterestExpenseNonOperating,10521000000.0,10258000000.0,7055000000.0,7778000000.0,7778000000.0
InterestIncome,809000000.0,452000000.0,261000000.0,639000000.0,639000000.0
InterestIncomeNonOperating,809000000.0,452000000.0,261000000.0,639000000.0,639000000.0
MinorityInterests,-37000000.0,-3000000.0,27000000.0,171000000.0,171000000.0
NetIncome,47000000.0,-1279000000.0,17937000000.0,-1981000000.0,-1981000000.0
NetIncomeCommonStockholders,47000000.0,-1279000000.0,17937000000.0,-1981000000.0,-1981000000.0
NetIncomeContinuousOperations,84000000.0,-1276000000.0,17910000000.0,-2152000000.0,-2152000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,47000000.0,-1279000000.0,17937000000.0,-1981000000.0,-1981000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,47000000.0,-1279000000.0,17937000000.0,-1981000000.0,-1981000000.0
NetIncomeIncludingNoncontrollingInterests,84000000.0,-1276000000.0,17910000000.0,-2152000000.0,-2152000000.0
NetInterestIncome,-9712000000.0,-9806000000.0,-6794000000.0,-7139000000.0,-7139000000.0
NetNonOperatingInterestIncomeExpense,-9712000000.0,-9806000000.0,-6794000000.0,-7139000000.0,-7139000000.0
NormalizedEBITDA,18282000000.0,16275000000.0,23338000000.0,18894000000.0,18894000000.0
NormalizedIncome,-17970000.0,-1515520000.0,12493390000.0,3473246000.0,3473246000.0
OperatingExpense,11161000000.0,10193000000.0,11915000000.0,10888000000.0,10888000000.0
OperatingIncome,10046000000.0,4199000000.0,9775000000.0,12772000000.0,12772000000.0
OperatingRevenue,155900000000.0,127144000000.0,136341000000.0,158057000000.0,158057000000.0
OtherIncomeExpense,-974000000.0,4491000000.0,14799000000.0,-8649000000.0,-8649000000.0
OtherNonOperatingIncomeExpenses,-1115000000.0,679000000.0,6647000000.0,2020000000.0,2020000000.0
OtherOperatingExpenses,9472000000.0,8607000000.0,,,
OtherSpecialCharges,55000000.0,1000000.0,1702000000.0,121000000.0,121000000.0
PretaxIncome,-640000000.0,-1116000000.0,17780000000.0,-3016000000.0,-3016000000.0
ReconciledCostOfRevenue,134693000000.0,112752000000.0,114651000000.0,134397000000.0,134397000000.0
ReconciledDepreciation,8490000000.0,7457000000.0,5960000000.0,6493000000.0,6493000000.0
SellingGeneralAndAdministration,11161000000.0,10193000000.0,11915000000.0,10888000000.0,10888000000.0
SpecialIncomeCharges,-55000000.0,-1000000.0,-1702000000.0,-121000000.0,-121000000.0
TaxEffectOfUnusualItems,24030000.0,87480000.0,2013390000.0,-2184754000.0,-2184754000.0
TaxProvision,-724000000.0,160000000.0,-130000000.0,-864000000.0,-864000000.0
TaxRateForCalcs,0.27,0.27,0.27,0.286,0.286
TotalExpenses,145854000000.0,122945000000.0,126566000000.0,145285000000.0,145285000000.0
TotalOperatingIncomeAsReported,574000000.0,-4408000000.0,4523000000.0,6276000000.0,6276000000.0
TotalRevenue,155900000000.0,127144000000.0,136341000000.0,158057000000.0,158057000000.0
TotalUnusualItems,89000000.0,324000000.0,7457000000.0,-7639000000.0,-7639000000.0
TotalUnusualItemsExcludingGoodwill,89000000.0,324000000.0,7457000000.0,-7639000000.0,-7639000000.0
