,HER.MI,HER.MI,HER.MI,HER.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
Amortization,246600000.0,,,
BasicAverageShares,1472516974.0,1467973723.0,1461238457.0,
BasicEPS,0.262,0.206,0.228,
CostOfRevenue,5736900000.0,5792400000.0,9072300000.0,17220400000.0
DepreciationAndAmortizationInIncomeStatement,428700000.0,455500000.0,463300000.0,488600000.0
DepreciationIncomeStatement,182100000.0,455500000.0,463300000.0,488600000.0
DilutedAverageShares,1472516974.0,1467973723.0,1461238457.0,
DilutedEPS,0.262,0.206,0.228,
DilutedNIAvailtoComStockholders,385700000.0,302700000.0,333500000.0,130500000.0
EBIT,648600000.0,590400000.0,518600000.0,322800000.0
EBITDA,,,,811400000.0
GrossProfit,1174000000.0,1286600000.0,1483000000.0,1230700000.0
ImpairmentOfCapitalAssets,5000000.0,1600000.0,6600000.0,
InterestExpense,120500000.0,155800000.0,111700000.0,77400000.0
InterestExpenseNonOperating,120500000.0,155800000.0,111700000.0,77400000.0
InterestIncome,38400000.0,28300000.0,28100000.0,
InterestIncomeNonOperating,38400000.0,28300000.0,28100000.0,
MinorityInterests,-16300000.0,-20100000.0,-39200000.0,-41300000.0
NetIncome,385700000.0,302700000.0,333500000.0,130500000.0
NetIncomeCommonStockholders,385700000.0,302700000.0,333500000.0,130500000.0
NetIncomeContinuousOperations,402000000.0,322800000.0,372700000.0,171800000.0
NetIncomeFromContinuingAndDiscontinuedOperation,385700000.0,302700000.0,333500000.0,130500000.0
NetIncomeFromContinuingOperationNetMinorityInterest,385700000.0,302700000.0,333500000.0,130500000.0
NetIncomeIncludingNoncontrollingInterests,402000000.0,322800000.0,372700000.0,171800000.0
NetInterestIncome,-94100000.0,-111600000.0,-187400000.0,-161600000.0
NetNonOperatingInterestIncomeExpense,-94100000.0,-111600000.0,-187400000.0,-161600000.0
NormalizedEBITDA,1023000000.0,1068400000.0,1033700000.0,856600000.0
NormalizedIncome,340572700.0,318228700.0,374903200.0,162143683.781581
OperatingExpense,624500000.0,727900000.0,856700000.0,790300000.0
OperatingIncome,549500000.0,558700000.0,626300000.0,440400000.0
OperatingRevenue,6910900000.0,7079000000.0,10555300000.0,18451100000.0
OtherOperatingExpenses,142100000.0,167500000.0,186400000.0,188600000.0
OtherSpecialCharges,-28600000.0,6000000.0,8000000.0,
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
PretaxIncome,528100000.0,434600000.0,406900000.0,245400000.0
ReconciledCostOfRevenue,5736900000.0,5792400000.0,9072300000.0,17220400000.0
ReconciledDepreciation,433700000.0,457100000.0,469900000.0,484400000.0
RentAndLandingFees,13000000.0,,13100000.0,
RentExpenseSupplemental,26900000.0,,13100000.0,
SpecialIncomeCharges,-2900000.0,-9400000.0,-14600000.0,
TaxEffectOfUnusualItems,14172700.0,-5371300.0,-3796800.0,-13556316.218419
TaxProvision,126100000.0,111800000.0,34200000.0,73600000.0
TaxRateForCalcs,0.239,0.257,0.084,0.299919
TotalExpenses,6361400000.0,6520300000.0,9929000000.0,18010700000.0
TotalOperatingIncomeAsReported,542500000.0,551300000.0,611700000.0,425800000.0
TotalOtherFinanceCost,-26400000.0,-15900000.0,75700000.0,
TotalRevenue,6910900000.0,7079000000.0,10555300000.0,18451100000.0
TotalUnusualItems,59300000.0,-20900000.0,-45200000.0,-45200000.0
TotalUnusualItemsExcludingGoodwill,59300000.0,-20900000.0,-45200000.0,-45200000.0
WriteOff,26500000.0,1800000.0,6600000.0,
