,HMC,HMC,HMC,HMC,HMC
asOfDate,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,JPY,JPY,JPY,JPY,JPY
BasicAverageShares,1759561385.0,1752006211.0,1726638088.0,1719961835.0,
BasicEPS,345.99,260.13,380.75,411.09,
CostOfRevenue,12580949000000.0,11851659000000.0,10439689000000.0,11567923000000.0,13126667000000.0
DilutedAverageShares,1759561385.0,1752006211.0,1726638088.0,1719961835.0,
DilutedEPS,345.99,260.13,380.75,411.09,
DilutedNIAvailtoComStockholders,610316000000.0,455746000000.0,657425000000.0,707067000000.0,708067000000.0
EBIT,992592000000.0,814607000000.0,927930000000.0,1087057000000.0,1116741000000.0
EBITDA,,,,,1806705000000.0
EarningsFromEquityInterest,228827000000.0,164203000000.0,272734000000.0,202512000000.0,194365000000.0
GainOnSaleOfSecurity,-18554000000.0,-39018000000.0,-7689000000.0,-4979000000.0,
GrossProfit,3307668000000.0,3079350000000.0,2730830000000.0,2984773000000.0,3272506000000.0
InterestExpense,13217000000.0,24689000000.0,13877000000.0,16867000000.0,32412000000.0
InterestExpenseNonOperating,13217000000.0,24689000000.0,13877000000.0,16867000000.0,32412000000.0
InterestIncome,48618000000.0,49412000000.0,19805000000.0,25627000000.0,54913000000.0
InterestIncomeNonOperating,48618000000.0,49412000000.0,19805000000.0,25627000000.0,54913000000.0
MinorityInterests,-65970000000.0,-54186000000.0,-38019000000.0,-53634000000.0,-70305000000.0
NetIncome,610316000000.0,455746000000.0,657425000000.0,707067000000.0,708067000000.0
NetIncomeCommonStockholders,610316000000.0,455746000000.0,657425000000.0,707067000000.0,708067000000.0
NetIncomeContinuousOperations,676286000000.0,509932000000.0,695444000000.0,760701000000.0,778372000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,610316000000.0,455746000000.0,657425000000.0,707067000000.0,708067000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,610316000000.0,455746000000.0,657425000000.0,707067000000.0,708067000000.0
NetIncomeIncludingNoncontrollingInterests,676286000000.0,509932000000.0,695444000000.0,760701000000.0,778372000000.0
NetInterestIncome,42732000000.0,31096000000.0,-11200000000.0,1425000000.0,-38587000000.0
NetNonOperatingInterestIncomeExpense,42732000000.0,31096000000.0,-11200000000.0,1425000000.0,-38587000000.0
NormalizedEBITDA,1732841000000.0,1553502000000.0,1559858000000.0,1703099000000.0,1811684000000.0
NormalizedIncome,623136814000.0,480951628000.0,663276329000.0,710607069000.0,711641112827.3799
OperatingExpense,2581298000000.0,2445713000000.0,2070622000000.0,2113541000000.0,2338976000000.0
OperatingIncome,726370000000.0,633637000000.0,660208000000.0,871232000000.0,933530000000.0
OperatingRevenue,15888617000000.0,14931009000000.0,13170519000000.0,14552696000000.0,16399173000000.0
OtherIncomeExpense,210273000000.0,125185000000.0,265045000000.0,197533000000.0,189386000000.0
OtherNonOperatingIncomeExpenses,7331000000.0,6373000000.0,-24817000000.0,-7335000000.0,
PretaxIncome,979375000000.0,789918000000.0,914053000000.0,1070190000000.0,1084329000000.0
ReconciledCostOfRevenue,12580949000000.0,11851659000000.0,10439689000000.0,11567923000000.0,13126667000000.0
ReconciledDepreciation,721695000000.0,699877000000.0,624239000000.0,611063000000.0,689964000000.0
ResearchAndDevelopment,806905000000.0,804123000000.0,738894000000.0,787056000000.0,825598000000.0
SellingGeneralAndAdministration,1774393000000.0,1641590000000.0,1331728000000.0,1326485000000.0,1513378000000.0
TaxEffectOfUnusualItems,-5733186000.0,-13812372000.0,-1837671000.0,-1438931000.0,-1404887172.620118
TaxProvision,303089000000.0,279986000000.0,218609000000.0,309489000000.0,305957000000.0
TaxRateForCalcs,0.309,0.354,0.239,0.289,0.282163
TotalExpenses,15162247000000.0,14297372000000.0,12510311000000.0,13681464000000.0,15465643000000.0
TotalOperatingIncomeAsReported,726370000000.0,633637000000.0,660208000000.0,871232000000.0,933530000000.0
TotalOtherFinanceCost,-7331000000.0,-6373000000.0,17128000000.0,7335000000.0,61088000000.0
TotalRevenue,15888617000000.0,14931009000000.0,13170519000000.0,14552696000000.0,16399173000000.0
TotalUnusualItems,-18554000000.0,-39018000000.0,-7689000000.0,-4979000000.0,-4979000000.0
TotalUnusualItemsExcludingGoodwill,-18554000000.0,-39018000000.0,-7689000000.0,-4979000000.0,-4979000000.0
