,INTC,INTC,INTC,INTC,INTC
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
Amortization,200000000.0,,,,
AmortizationOfIntangiblesIncomeStatement,200000000.0,,,,
BasicAverageShares,4417000000.0,4199000000.0,4059000000.0,,
BasicEPS,4.77,4.98,4.89,,
CostOfRevenue,29825000000.0,34255000000.0,35209000000.0,36188000000.0,36188000000.0
DepreciationAmortizationDepletionIncomeStatement,200000000.0,,,,
DepreciationAndAmortizationInIncomeStatement,200000000.0,,,,
DilutedAverageShares,4473000000.0,4232000000.0,4090000000.0,,
DilutedEPS,4.71,4.94,4.86,,
DilutedNIAvailtoComStockholders,21048000000.0,20899000000.0,19868000000.0,8014000000.0,8014000000.0
EBIT,24547000000.0,25707000000.0,22300000000.0,8264000000.0,8264000000.0
EBITDA,,,,,21299000000.0
EarningsFromEquityInterest,1091000000.0,1904000000.0,2729000000.0,,
GainOnSaleOfSecurity,1661000000.0,2207000000.0,2883000000.0,4458000000.0,4458000000.0
GrossProfit,42140000000.0,43612000000.0,43815000000.0,26866000000.0,26866000000.0
InterestExpense,489000000.0,629000000.0,597000000.0,496000000.0,496000000.0
InterestExpenseNonOperating,489000000.0,629000000.0,597000000.0,496000000.0,496000000.0
InterestIncome,483000000.0,272000000.0,144000000.0,589000000.0,589000000.0
InterestIncomeNonOperating,483000000.0,272000000.0,144000000.0,589000000.0,589000000.0
MinorityInterests,,,,-3000000.0,-3000000.0
NetIncome,21048000000.0,20899000000.0,19868000000.0,8014000000.0,8014000000.0
NetIncomeCommonStockholders,21048000000.0,20899000000.0,19868000000.0,8014000000.0,8014000000.0
NetIncomeContinuousOperations,21048000000.0,20899000000.0,19868000000.0,8017000000.0,8017000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,21048000000.0,20899000000.0,19868000000.0,8014000000.0,8014000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,21048000000.0,20899000000.0,19868000000.0,8014000000.0,8014000000.0
NetIncomeIncludingNoncontrollingInterests,21048000000.0,20899000000.0,19868000000.0,8017000000.0,8017000000.0
NetInterestIncome,484000000.0,-504000000.0,-482000000.0,1166000000.0,1166000000.0
NetNonOperatingInterestIncomeExpense,484000000.0,-504000000.0,-482000000.0,1166000000.0,1166000000.0
NormalizedEBITDA,34227000000.0,36240000000.0,33989000000.0,17033000000.0,17033000000.0
NormalizedIncome,20045250000.0,19477902000.0,19773755000.0,5454400000.0,5454400000.0
OperatingExpense,19712000000.0,19736000000.0,21733000000.0,24530000000.0,24530000000.0
OperatingIncome,22428000000.0,23876000000.0,22082000000.0,2336000000.0,2336000000.0
OperatingRevenue,71965000000.0,77867000000.0,79024000000.0,63054000000.0,63054000000.0
OtherIncomeExpense,1146000000.0,1706000000.0,103000000.0,4266000000.0,4266000000.0
OtherNonOperatingIncomeExpenses,490000000.0,-147000000.0,,,
OtherSpecialCharges,,,2291000000.0,-1187000000.0,-1187000000.0
PretaxIncome,24058000000.0,25078000000.0,21703000000.0,7768000000.0,7768000000.0
ReconciledCostOfRevenue,19199000000.0,34255000000.0,35209000000.0,36188000000.0,36188000000.0
ReconciledDepreciation,10826000000.0,12239000000.0,11792000000.0,13035000000.0,13035000000.0
ResearchAndDevelopment,13362000000.0,13556000000.0,15190000000.0,17528000000.0,17528000000.0
RestructuringAndMergernAcquisition,393000000.0,198000000.0,48000000.0,1038000000.0,1038000000.0
SellingGeneralAndAdministration,6150000000.0,6180000000.0,6543000000.0,7002000000.0,7002000000.0
SpecialIncomeCharges,-515000000.0,-501000000.0,-2780000000.0,-192000000.0,-192000000.0
TaxEffectOfUnusualItems,143250000.0,284902000.0,8755000.0,1706400000.0,1706400000.0
TaxProvision,3010000000.0,4179000000.0,1835000000.0,-249000000.0,-249000000.0
TaxRateForCalcs,0.125,0.167,0.085,0.4,0.4
TotalExpenses,49537000000.0,53991000000.0,56942000000.0,60718000000.0,60718000000.0
TotalOperatingIncomeAsReported,22035000000.0,23678000000.0,19456000000.0,2334000000.0,2334000000.0
TotalOtherFinanceCost,-490000000.0,147000000.0,29000000.0,-1073000000.0,-1073000000.0
TotalRevenue,71965000000.0,77867000000.0,79024000000.0,63054000000.0,63054000000.0
TotalUnusualItems,1146000000.0,1706000000.0,103000000.0,4266000000.0,4266000000.0
TotalUnusualItemsExcludingGoodwill,1146000000.0,1706000000.0,103000000.0,4266000000.0,4266000000.0
WriteOff,122000000.0,303000000.0,441000000.0,341000000.0,341000000.0
