,JNJ,JNJ,JNJ,JNJ,JNJ
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,2632507000.0,2632512000.0,2628965000.0,2625200000.0,
BasicEPS,5.743195,5.589273,7.930572,6.83,
CostOfRevenue,27556000000.0,28427000000.0,29855000000.0,31089000000.0,31089000000.0
DilutedAverageShares,2684300000.0,2670700000.0,2674000000.0,2663900000.0,
DilutedEPS,5.63,5.51,7.81,6.73,
DilutedNIAvailtoComStockholders,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
EBIT,17646000000.0,16698000000.0,22959000000.0,22001000000.0,22001000000.0
EBITDA,,,,,28971000000.0
GrossProfit,54503000000.0,54157000000.0,63920000000.0,63854000000.0,63854000000.0
InterestExpense,318000000.0,201000000.0,183000000.0,276000000.0,276000000.0
InterestExpenseNonOperating,318000000.0,201000000.0,183000000.0,276000000.0,276000000.0
InterestIncome,357000000.0,111000000.0,53000000.0,490000000.0,490000000.0
InterestIncomeNonOperating,357000000.0,111000000.0,53000000.0,490000000.0,490000000.0
NetIncome,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetIncomeCommonStockholders,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetIncomeContinuousOperations,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetIncomeIncludingNoncontrollingInterests,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetInterestIncome,39000000.0,-90000000.0,-130000000.0,214000000.0,214000000.0
NetNonOperatingInterestIncomeExpense,39000000.0,-90000000.0,-130000000.0,214000000.0,214000000.0
NormalizedEBITDA,25811000000.0,24357000000.0,31501000000.0,29292000000.0,29292000000.0
NormalizedIncome,16128188000.0,15095776000.0,21934384000.0,18206146000.0,18206146000.0
OperatingExpense,33533000000.0,34243000000.0,39373000000.0,40151000000.0,40151000000.0
OperatingIncome,20970000000.0,19914000000.0,24547000000.0,23703000000.0,23703000000.0
OperatingRevenue,82059000000.0,82584000000.0,93775000000.0,94943000000.0,94943000000.0
OtherIncomeExpense,-3681000000.0,-3327000000.0,-1641000000.0,-2192000000.0,-2192000000.0
OtherNonOperatingIncomeExpenses,-2525000000.0,-2899000000.0,-489000000.0,-1871000000.0,-1871000000.0
OtherSpecialCharges,890000000.0,181000000.0,900000000.0,,
PretaxIncome,17328000000.0,16497000000.0,22776000000.0,21725000000.0,21725000000.0
ReconciledCostOfRevenue,27556000000.0,28427000000.0,29855000000.0,31089000000.0,31089000000.0
ReconciledDepreciation,7009000000.0,7231000000.0,7390000000.0,6970000000.0,6970000000.0
ResearchAndDevelopment,11355000000.0,12159000000.0,14714000000.0,15386000000.0,15386000000.0
RestructuringAndMergernAcquisition,266000000.0,247000000.0,252000000.0,321000000.0,321000000.0
SellingGeneralAndAdministration,22178000000.0,22084000000.0,24659000000.0,24765000000.0,24765000000.0
SpecialIncomeCharges,-1156000000.0,-428000000.0,-1152000000.0,-321000000.0,-321000000.0
TaxEffectOfUnusualItems,-146812000.0,-46224000.0,-95616000.0,-55854000.0,-55854000.0
TaxProvision,2209000000.0,1783000000.0,1898000000.0,3784000000.0,3784000000.0
TaxRateForCalcs,0.127,0.108,0.083,0.174,0.174
TotalExpenses,61089000000.0,62670000000.0,69228000000.0,71240000000.0,71240000000.0
TotalOtherFinanceCost,-39000000.0,90000000.0,130000000.0,-214000000.0,-214000000.0
TotalRevenue,82059000000.0,82584000000.0,93775000000.0,94943000000.0,94943000000.0
TotalUnusualItems,-1156000000.0,-428000000.0,-1152000000.0,-321000000.0,-321000000.0
TotalUnusualItemsExcludingGoodwill,-1156000000.0,-428000000.0,-1152000000.0,-321000000.0,-321000000.0
