,LDO.MI,LDO.MI,LDO.MI,LDO.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
Amortization,155000000.0,147000000.0,150000000.0,151000000.0
BasicAverageShares,574914000.0,574914000.0,575229000.0,
BasicEPS,1.428,0.419,1.019,
CostOfRevenue,12136000000.0,11984000000.0,12770000000.0,13156000000.0
DepreciationAndAmortizationInIncomeStatement,537000000.0,513000000.0,485000000.0,561000000.0
DepreciationIncomeStatement,382000000.0,366000000.0,335000000.0,410000000.0
DilutedAverageShares,574914000.0,574914000.0,575229000.0,
DilutedEPS,1.428,0.419,1.019,
DilutedNIAvailtoComStockholders,821000000.0,241000000.0,586000000.0,1020000000.0
EBIT,1062000000.0,423000000.0,890000000.0,1013000000.0
EBITDA,,,,1574000000.0
GrossProfit,1648000000.0,1426000000.0,1365000000.0,1332000000.0
InterestExpense,193000000.0,170000000.0,137000000.0,117000000.0
InterestExpenseNonOperating,193000000.0,170000000.0,137000000.0,117000000.0
InterestIncome,4000000.0,3000000.0,1000000.0,
InterestIncomeNonOperating,4000000.0,3000000.0,1000000.0,
MinorityInterests,-1000000.0,-2000000.0,-1000000.0,0.0
NetIncome,821000000.0,241000000.0,586000000.0,1020000000.0
NetIncomeCommonStockholders,821000000.0,241000000.0,586000000.0,1020000000.0
NetIncomeContinuousOperations,721000000.0,239000000.0,587000000.0,745000000.0
NetIncomeDiscontinuousOperations,100000000.0,2000000.0,0.0,275000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,821000000.0,241000000.0,586000000.0,1020000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,721000000.0,239000000.0,586000000.0,745000000.0
NetIncomeIncludingNoncontrollingInterests,822000000.0,243000000.0,587000000.0,1020000000.0
NetInterestIncome,-265000000.0,-226000000.0,-171000000.0,-148000000.0
NetNonOperatingInterestIncomeExpense,-265000000.0,-226000000.0,-171000000.0,-148000000.0
NormalizedEBITDA,1828000000.0,1547000000.0,1463000000.0,1517000000.0
NormalizedIncome,838747000.0,519966000.0,622288000.0,697606026.785714
OperatingExpense,552000000.0,620000000.0,524000000.0,475000000.0
OperatingIncome,1096000000.0,806000000.0,841000000.0,857000000.0
OperatingRevenue,13784000000.0,13410000000.0,14135000000.0,14488000000.0
OtherOperatingExpenses,170000000.0,315000000.0,141000000.0,16000000.0
OtherSpecialCharges,-1000000.0,-2000000.0,1000000.0,1000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
PretaxIncome,869000000.0,253000000.0,753000000.0,896000000.0
ReconciledCostOfRevenue,12136000000.0,11984000000.0,12770000000.0,13156000000.0
ReconciledDepreciation,619000000.0,795000000.0,525000000.0,561000000.0
RentExpenseSupplemental,69000000.0,59000000.0,62000000.0,
RestructuringAndMergernAcquisition,18000000.0,13000000.0,1000000.0,-95000000.0
SpecialIncomeCharges,-99000000.0,-293000000.0,-42000000.0,54000000.0
TaxEffectOfUnusualItems,-29253000.0,-48034000.0,-11712000.0,9606026.785714
TaxProvision,147000000.0,12000000.0,166000000.0,151000000.0
TaxRateForCalcs,0.199,0.146,0.244,0.168527
TotalExpenses,12688000000.0,12604000000.0,13294000000.0,13631000000.0
TotalOtherFinanceCost,76000000.0,59000000.0,35000000.0,32000000.0
TotalRevenue,13784000000.0,13410000000.0,14135000000.0,14488000000.0
TotalUnusualItems,-147000000.0,-329000000.0,-48000000.0,57000000.0
TotalUnusualItemsExcludingGoodwill,-147000000.0,-329000000.0,-48000000.0,57000000.0
WriteOff,82000000.0,282000000.0,40000000.0,
