,LLY,LLY,LLY,LLY,LLY
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,957526000.0,956590000.0,953653000.0,950182000.0,
BasicEPS,8.687388,6.47477,5.852967,6.572215,
CostOfRevenue,4721200000.0,5483300000.0,7312800000.0,6629800000.0,6629800000.0
DilutedAverageShares,957526000.0,956590000.0,953653000.0,950182000.0,
DilutedEPS,8.687388,6.47477,5.852967,6.572215,
DilutedNIAvailtoComStockholders,8318400000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
EBIT,5666500000.0,7589500000.0,6495300000.0,7138000000.0,7138000000.0
EBITDA,,,,,8660500000.0
GainOnSaleOfBusiness,309800000.0,0.0,0.0,,
GainOnSaleOfSecurity,,,176900000.0,-410700000.0,-410700000.0
GeneralAndAdministrativeExpense,6213800000.0,6121200000.0,6431600000.0,,
GrossProfit,17598300000.0,19056500000.0,21005600000.0,21911600000.0,21911600000.0
ImpairmentOfCapitalAssets,575600000.0,131200000.0,316100000.0,244600000.0,244600000.0
InterestExpense,400600000.0,359600000.0,339800000.0,331600000.0,331600000.0
InterestExpenseNonOperating,400600000.0,359600000.0,339800000.0,331600000.0,331600000.0
InterestIncome,80400000.0,33000000.0,25400000.0,62800000.0,62800000.0
InterestIncomeNonOperating,80400000.0,33000000.0,25400000.0,62800000.0,62800000.0
NetIncome,8318400000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetIncomeCommonStockholders,8318400000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetIncomeContinuousOperations,4637900000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetIncomeDiscontinuousOperations,3680500000.0,0.0,0.0,,
NetIncomeFromContinuingAndDiscontinuedOperation,8318400000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetIncomeFromContinuingOperationNetMinorityInterest,4637900000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetIncomeIncludingNoncontrollingInterests,8318400000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetInterestIncome,-320200000.0,-326600000.0,-314400000.0,-268800000.0,-268800000.0
NetNonOperatingInterestIncomeExpense,-320200000.0,-326600000.0,-314400000.0,-268800000.0,-268800000.0
NormalizedEBITDA,7657000000.0,9705000000.0,9462200000.0,10224300000.0,10224300000.0
NormalizedIncome,5305609900.0,6872101200.0,6869005100.0,7678804600.0,7678804600.0
OperatingExpense,11808800000.0,12206900000.0,13457500000.0,13631200000.0,13631200000.0
OperatingIncome,5789500000.0,6849600000.0,7548100000.0,8280400000.0,8280400000.0
OperatingRevenue,22319500000.0,24539800000.0,28318400000.0,28541400000.0,28541400000.0
OtherGandA,6213800000.0,6121200000.0,6431600000.0,,
OtherIncomeExpense,-203400000.0,706900000.0,-1078200000.0,-1205200000.0,-1205200000.0
OtherNonOperatingIncomeExpenses,554500000.0,1498500000.0,341100000.0,358600000.0,358600000.0
OtherSpecialCharges,492100000.0,660400000.0,1280100000.0,908500000.0,908500000.0
PretaxIncome,5265900000.0,7229900000.0,6155500000.0,6806400000.0,6806400000.0
ReconciledCostOfRevenue,4721200000.0,5483300000.0,7312800000.0,6629800000.0,6629800000.0
ReconciledDepreciation,1232600000.0,1323900000.0,1547600000.0,1522500000.0,1522500000.0
ResearchAndDevelopment,5595000000.0,6085700000.0,7025900000.0,7190800000.0,7190800000.0
RestructuringAndMergernAcquisition,77800000.0,,13000000.0,23000000.0,23000000.0
SalariesAndWages,209900000.0,,,,
SellingAndMarketingExpense,6213800000.0,,,,
SellingGeneralAndAdministration,6213800000.0,6121200000.0,6431600000.0,6440400000.0,6440400000.0
SpecialIncomeCharges,-757900000.0,-791600000.0,-1596200000.0,-1153100000.0,-1153100000.0
TaxEffectOfUnusualItems,-90190100.0,-113198800.0,-131994900.0,-129795400.0,-129795400.0
TaxProvision,628000000.0,1036200000.0,573800000.0,561600000.0,561600000.0
TaxRateForCalcs,0.119,0.143,0.093,0.083,0.083
TotalExpenses,16530000000.0,17690200000.0,20770300000.0,20261000000.0,20261000000.0
TotalOperatingIncomeAsReported,4974300000.0,6058000000.0,6357100000.0,7127300000.0,7127300000.0
TotalOtherFinanceCost,320200000.0,326600000.0,314400000.0,268800000.0,268800000.0
TotalRevenue,22319500000.0,24539800000.0,28318400000.0,28541400000.0,28541400000.0
TotalUnusualItems,-757900000.0,-791600000.0,-1419300000.0,-1563800000.0,-1563800000.0
TotalUnusualItemsExcludingGoodwill,-757900000.0,-791600000.0,-1419300000.0,-1563800000.0,-1563800000.0
WriteOff,497800000.0,131200000.0,303100000.0,221600000.0,221600000.0
