,MSFT,MSFT,MSFT,MSFT,MSFT
asOfDate,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,7673000000.0,7610000000.0,7547000000.0,7496000000.0,
BasicEPS,5.11,5.82,8.12,9.7,
CostOfRevenue,42910000000.0,46078000000.0,52232000000.0,62650000000.0,64984000000.0
DilutedAverageShares,7753000000.0,7683000000.0,7608000000.0,7540000000.0,
DilutedEPS,5.06,5.76,8.05,9.65,
DilutedNIAvailtoComStockholders,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
EBIT,46374000000.0,55627000000.0,73448000000.0,85779000000.0,84577000000.0
EBITDA,,,,,98767000000.0
GainOnSaleOfSecurity,710000000.0,28000000.0,1303000000.0,435000000.0,-446000000.0
GeneralAndAdministrativeExpense,4885000000.0,5111000000.0,5107000000.0,5900000000.0,6964000000.0
GrossProfit,82933000000.0,96937000000.0,115856000000.0,135620000000.0,139110000000.0
InterestExpense,2686000000.0,2591000000.0,2346000000.0,2063000000.0,1989000000.0
InterestExpenseNonOperating,2686000000.0,2591000000.0,2346000000.0,2063000000.0,1989000000.0
InterestIncome,2762000000.0,2680000000.0,2131000000.0,2094000000.0,2412000000.0
InterestIncomeNonOperating,2762000000.0,2680000000.0,2131000000.0,2094000000.0,2412000000.0
NetIncome,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetIncomeCommonStockholders,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetIncomeContinuousOperations,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetIncomeIncludingNoncontrollingInterests,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetInterestIncome,76000000.0,89000000.0,-215000000.0,31000000.0,423000000.0
NetNonOperatingInterestIncomeExpense,76000000.0,89000000.0,-215000000.0,31000000.0,423000000.0
NormalizedEBITDA,57346000000.0,68395000000.0,83831000000.0,99905000000.0,99314000000.0
NormalizedIncome,38602420000.0,44257620000.0,60150420000.0,72447420000.0,67895730796.241585
OperatingExpense,39974000000.0,43978000000.0,45940000000.0,52237000000.0,56295000000.0
OperatingIncome,42959000000.0,52959000000.0,69916000000.0,83383000000.0,82815000000.0
OperatingRevenue,125843000000.0,143015000000.0,168088000000.0,198270000000.0,204094000000.0
OtherGandA,4885000000.0,5111000000.0,5107000000.0,5900000000.0,6964000000.0
OtherIncomeExpense,653000000.0,-12000000.0,1401000000.0,302000000.0,-650000000.0
OtherNonOperatingIncomeExpenses,-57000000.0,-40000000.0,98000000.0,-32000000.0,-103000000.0
PretaxIncome,43688000000.0,53036000000.0,71102000000.0,83716000000.0,82588000000.0
ReconciledCostOfRevenue,42910000000.0,46078000000.0,52232000000.0,62650000000.0,64984000000.0
ReconciledDepreciation,11682000000.0,12796000000.0,11686000000.0,14460000000.0,14190000000.0
ResearchAndDevelopment,16876000000.0,19269000000.0,20716000000.0,24512000000.0,26627000000.0
RestructuringAndMergernAcquisition,0.0,,,,
SellingAndMarketingExpense,18213000000.0,19598000000.0,20117000000.0,21825000000.0,22704000000.0
SellingGeneralAndAdministration,23098000000.0,24709000000.0,25224000000.0,27725000000.0,29668000000.0
SpecialIncomeCharges,0.0,,,-101000000.0,
TaxEffectOfUnusualItems,72420000.0,4620000.0,182420000.0,43420000.0,-100269203.758415
TaxProvision,4448000000.0,8755000000.0,9831000000.0,10978000000.0,15139000000.0
TaxRateForCalcs,0.102,0.165,0.14,0.13,0.183308
TotalExpenses,82884000000.0,90056000000.0,98172000000.0,114887000000.0,121279000000.0
TotalOperatingIncomeAsReported,42959000000.0,52959000000.0,69916000000.0,83383000000.0,82815000000.0
TotalRevenue,125843000000.0,143015000000.0,168088000000.0,198270000000.0,204094000000.0
TotalUnusualItems,710000000.0,28000000.0,1303000000.0,334000000.0,-547000000.0
TotalUnusualItemsExcludingGoodwill,710000000.0,28000000.0,1303000000.0,334000000.0,-547000000.0
WriteOff,,,,101000000.0,
