,NVDA,NVDA,NVDA,NVDA,NVDA
asOfDate,2020-01-31 00:00:00,2021-01-31 00:00:00,2022-01-31 00:00:00,2023-01-31 00:00:00,2023-01-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BasicAverageShares,2436000000.0,2468000000.0,2496000000.0,2487000000.0,
BasicEPS,1.1475,1.755,3.91,1.76,
CostOfRevenue,4150000000.0,6279000000.0,9439000000.0,11618000000.0,11618000000.0
DilutedAverageShares,2472000000.0,2512000000.0,2535000000.0,2507000000.0,
DilutedEPS,1.13,1.725,3.85,1.74,
DilutedNIAvailtoComStockholders,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
EBIT,3022000000.0,4593000000.0,10177000000.0,4443000000.0,4443000000.0
EBITDA,,,,,5987000000.0
GrossProfit,6768000000.0,10396000000.0,17475000000.0,15356000000.0,15356000000.0
InterestExpense,52000000.0,184000000.0,236000000.0,262000000.0,262000000.0
InterestExpenseNonOperating,52000000.0,184000000.0,236000000.0,262000000.0,262000000.0
InterestIncome,178000000.0,57000000.0,29000000.0,267000000.0,267000000.0
InterestIncomeNonOperating,178000000.0,57000000.0,29000000.0,267000000.0,267000000.0
NetIncome,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetIncomeCommonStockholders,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetIncomeContinuousOperations,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetIncomeIncludingNoncontrollingInterests,2796000000.0,4332000000.0,9752000000.0,4368000000.0,4368000000.0
NetInterestIncome,126000000.0,-127000000.0,-207000000.0,5000000.0,5000000.0
NetNonOperatingInterestIncomeExpense,126000000.0,-127000000.0,-207000000.0,5000000.0,5000000.0
NormalizedEBITDA,3403000000.0,5691000000.0,11351000000.0,7340000000.0,7340000000.0
NormalizedIncome,2796000000.0,4332000000.0,9752000000.0,5179800000.0,5179800000.0
OperatingExpense,3922000000.0,5864000000.0,7434000000.0,9779000000.0,9779000000.0
OperatingIncome,2846000000.0,4532000000.0,10041000000.0,5577000000.0,5577000000.0
OperatingRevenue,10918000000.0,16675000000.0,26914000000.0,26974000000.0,26974000000.0
OtherIncomeExpense,-2000000.0,4000000.0,107000000.0,-1401000000.0,-1401000000.0
OtherNonOperatingIncomeExpenses,-2000000.0,4000000.0,107000000.0,-48000000.0,-48000000.0
PretaxIncome,2970000000.0,4409000000.0,9941000000.0,4181000000.0,4181000000.0
ReconciledCostOfRevenue,4150000000.0,6279000000.0,9439000000.0,11618000000.0,11618000000.0
ReconciledDepreciation,381000000.0,1098000000.0,1174000000.0,1544000000.0,1544000000.0
ResearchAndDevelopment,2829000000.0,3924000000.0,5268000000.0,7339000000.0,7339000000.0
RestructuringAndMergernAcquisition,,,,1353000000.0,1353000000.0
SellingGeneralAndAdministration,1093000000.0,1940000000.0,2166000000.0,2440000000.0,2440000000.0
SpecialIncomeCharges,,,,-1353000000.0,-1353000000.0
TaxEffectOfUnusualItems,0.0,0.0,0.0,-541200000.0,-541200000.0
TaxProvision,174000000.0,77000000.0,189000000.0,-187000000.0,-187000000.0
TaxRateForCalcs,0.059,0.017,0.019,0.4,0.4
TotalExpenses,8072000000.0,12143000000.0,16873000000.0,21397000000.0,21397000000.0
TotalOperatingIncomeAsReported,2846000000.0,4532000000.0,10041000000.0,4224000000.0,4224000000.0
TotalRevenue,10918000000.0,16675000000.0,26914000000.0,26974000000.0,26974000000.0
TotalUnusualItems,,,,-1353000000.0,-1353000000.0
TotalUnusualItemsExcludingGoodwill,,,,-1353000000.0,-1353000000.0
