,ORCL,ORCL,ORCL,ORCL,ORCL
asOfDate,2019-05-31 00:00:00,2020-05-31 00:00:00,2021-05-31 00:00:00,2022-05-31 00:00:00,2022-11-30 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
Amortization,1689000000.0,1586000000.0,1379000000.0,1150000000.0,2373000000.0
AmortizationOfIntangiblesIncomeStatement,1689000000.0,1586000000.0,1379000000.0,1150000000.0,2373000000.0
BasicAverageShares,3634000000.0,3211000000.0,2945000000.0,2700000000.0,
BasicEPS,3.05,3.16,4.67,2.49,
CostOfRevenue,7995000000.0,7938000000.0,7855000000.0,8877000000.0,11011000000.0
DepreciationAmortizationDepletionIncomeStatement,1689000000.0,1586000000.0,1379000000.0,1150000000.0,2373000000.0
DepreciationAndAmortizationInIncomeStatement,1689000000.0,1586000000.0,1379000000.0,1150000000.0,2373000000.0
DilutedAverageShares,3732000000.0,3294000000.0,3022000000.0,2786000000.0,
DilutedEPS,2.97,3.08,4.55,2.41,
DilutedNIAvailtoComStockholders,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
EBIT,14350000000.0,14058000000.0,15495000000.0,10404000000.0,13279000000.0
EBITDA,,,,,17849000000.0
EarningsFromEquityInterest,-152000000.0,-164000000.0,-180000000.0,-184000000.0,-174000000.0
GainOnSaleOfSecurity,-111000000.0,-185000000.0,-112000000.0,-346000000.0,-575000000.0
GeneralAndAdministrativeExpense,1265000000.0,1181000000.0,1254000000.0,1317000000.0,1476000000.0
GrossProfit,31511000000.0,31130000000.0,32624000000.0,33563000000.0,35062000000.0
InterestExpense,2082000000.0,1995000000.0,2496000000.0,2755000000.0,3014000000.0
InterestExpenseNonOperating,2082000000.0,1995000000.0,2496000000.0,2755000000.0,3014000000.0
InterestIncome,1092000000.0,527000000.0,101000000.0,94000000.0,144000000.0
InterestIncomeNonOperating,1092000000.0,527000000.0,101000000.0,94000000.0,144000000.0
NetIncome,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetIncomeCommonStockholders,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetIncomeContinuousOperations,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetIncomeIncludingNoncontrollingInterests,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetInterestIncome,-990000000.0,-1468000000.0,-2395000000.0,-2661000000.0,-2870000000.0
NetNonOperatingInterestIncomeExpense,-990000000.0,-1468000000.0,-2395000000.0,-2661000000.0,-2870000000.0
NormalizedEBITDA,17867000000.0,17517000000.0,18963000000.0,14082000000.0,18883000000.0
NormalizedIncome,11622994000.0,10547440000.0,14148960000.0,7205168000.0,9683127423.283
OperatingExpense,17489000000.0,16928000000.0,16971000000.0,22427000000.0,20585000000.0
OperatingIncome,14022000000.0,14202000000.0,15653000000.0,11136000000.0,14477000000.0
OperatingRevenue,39506000000.0,39068000000.0,40479000000.0,42440000000.0,46073000000.0
OtherGandA,1265000000.0,1181000000.0,1254000000.0,1317000000.0,1476000000.0
OtherIncomeExpense,-764000000.0,-671000000.0,-259000000.0,-826000000.0,-1342000000.0
OtherNonOperatingIncomeExpenses,-14000000.0,-16000000.0,473000000.0,-86000000.0,-134000000.0
OtherOperatingExpenses,,,129000000.0,4694000000.0,72000000.0
PretaxIncome,12268000000.0,12063000000.0,12999000000.0,7649000000.0,10265000000.0
ReconciledCostOfRevenue,6765000000.0,6556000000.0,6318000000.0,6905000000.0,8814000000.0
ReconciledDepreciation,2919000000.0,2968000000.0,2916000000.0,3122000000.0,4570000000.0
ResearchAndDevelopment,6026000000.0,6067000000.0,6527000000.0,7219000000.0,8032000000.0
RestructuringAndMergernAcquisition,487000000.0,306000000.0,440000000.0,210000000.0,459000000.0
SalariesAndWages,,119000000.0,136000000.0,,
SellingAndMarketingExpense,8509000000.0,8094000000.0,7682000000.0,8047000000.0,8632000000.0
SellingGeneralAndAdministration,9774000000.0,9275000000.0,8936000000.0,9364000000.0,10108000000.0
SpecialIncomeCharges,-487000000.0,-306000000.0,-440000000.0,-210000000.0,-459000000.0
TaxEffectOfUnusualItems,-58006000.0,-78560000.0,-149040000.0,-67832000.0,-147872576.717
TaxProvision,1185000000.0,1928000000.0,-747000000.0,932000000.0,1468000000.0
TaxRateForCalcs,0.097,0.16,0.27,0.122,0.14301
TotalExpenses,25484000000.0,24866000000.0,24826000000.0,31304000000.0,31596000000.0
TotalOperatingIncomeAsReported,13535000000.0,13896000000.0,15213000000.0,10926000000.0,14018000000.0
TotalRevenue,39506000000.0,39068000000.0,40479000000.0,42440000000.0,46073000000.0
TotalUnusualItems,-598000000.0,-491000000.0,-552000000.0,-556000000.0,-1034000000.0
TotalUnusualItemsExcludingGoodwill,-598000000.0,-491000000.0,-552000000.0,-556000000.0,-1034000000.0
