,PFE,PFE,PFE,PFE,PFE
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
Amortization,4610000000.0,3436000000.0,3700000000.0,3609000000.0,3609000000.0
AmortizationOfIntangiblesIncomeStatement,4610000000.0,3436000000.0,3700000000.0,3609000000.0,3609000000.0
AverageDilutionEarnings,1000000.0,,,,
BasicAverageShares,5569000000.0,5555000000.0,5601000000.0,,
BasicEPS,2.92,1.73,3.92,,
CostOfRevenue,10219000000.0,8692000000.0,30821000000.0,34344000000.0,34344000000.0
DepreciationAmortizationDepletionIncomeStatement,4610000000.0,3436000000.0,3700000000.0,3609000000.0,3609000000.0
DepreciationAndAmortizationInIncomeStatement,4610000000.0,3436000000.0,3700000000.0,3609000000.0,3609000000.0
DilutedAverageShares,5675000000.0,5632000000.0,5708000000.0,,
DilutedEPS,2.87,1.71,3.85,,
DilutedNIAvailtoComStockholders,16273000000.0,9616000000.0,21979000000.0,31372000000.0,31372000000.0
EBIT,19256000000.0,8946000000.0,25602000000.0,35967000000.0,35967000000.0
EBITDA,,,,,41031000000.0
EarningsFromEquityInterest,17000000.0,298000000.0,471000000.0,436000000.0,436000000.0
GainOnSaleOfPPE,31000000.0,-237000000.0,99000000.0,0.0,0.0
GainOnSaleOfSecurity,454000000.0,540000000.0,1344000000.0,-1273000000.0,-1273000000.0
GrossProfit,41531000000.0,33216000000.0,50467000000.0,65986000000.0,65986000000.0
ImpairmentOfCapitalAssets,2843000000.0,1691000000.0,86000000.0,421000000.0,421000000.0
InterestExpense,1574000000.0,1449000000.0,1291000000.0,1238000000.0,1238000000.0
InterestExpenseNonOperating,1574000000.0,1449000000.0,1291000000.0,1238000000.0,1238000000.0
InterestIncome,226000000.0,73000000.0,36000000.0,251000000.0,251000000.0
InterestIncomeNonOperating,226000000.0,73000000.0,36000000.0,251000000.0,251000000.0
MinorityInterests,-29000000.0,-36000000.0,-45000000.0,-35000000.0,-35000000.0
NetIncome,16273000000.0,9616000000.0,21979000000.0,31372000000.0,31372000000.0
NetIncomeCommonStockholders,16272000000.0,9616000000.0,21979000000.0,31372000000.0,31372000000.0
NetIncomeContinuousOperations,16298000000.0,7021000000.0,22459000000.0,31401000000.0,31401000000.0
NetIncomeDiscontinuousOperations,4000000.0,2631000000.0,-434000000.0,6000000.0,6000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,16273000000.0,9616000000.0,21979000000.0,31372000000.0,31372000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,16269000000.0,6985000000.0,22413000000.0,31366000000.0,31366000000.0
NetIncomeIncludingNoncontrollingInterests,16302000000.0,9652000000.0,22025000000.0,31407000000.0,31407000000.0
NetInterestIncome,-1348000000.0,-1376000000.0,-1255000000.0,-987000000.0,-987000000.0
NetNonOperatingInterestIncomeExpense,-1348000000.0,-1376000000.0,-1255000000.0,-987000000.0,-987000000.0
NormalizedEBITDA,21147000000.0,15407000000.0,30024000000.0,45095000000.0,45095000000.0
NormalizedIncome,12472401085.850018,8561224000.0,21702444000.0,35039856000.0,35039856000.0
OperatingExpense,27610000000.0,24456000000.0,30232000000.0,28714000000.0,28714000000.0
OperatingIncome,13921000000.0,8760000000.0,20235000000.0,37272000000.0,37272000000.0
OperatingRevenue,51750000000.0,41908000000.0,81288000000.0,100330000000.0,100330000000.0
OtherIncomeExpense,5108000000.0,113000000.0,5331000000.0,-1556000000.0,-1556000000.0
OtherNonOperatingIncomeExpenses,972000000.0,1499000000.0,4091000000.0,2072000000.0,2072000000.0
OtherSpecialCharges,524000000.0,-298000000.0,-214000000.0,995000000.0,995000000.0
PreferredStockDividends,1000000.0,,,,
PretaxIncome,17682000000.0,7497000000.0,24311000000.0,34729000000.0,34729000000.0
ReconciledCostOfRevenue,8819000000.0,7351000000.0,29330000000.0,32889000000.0,32889000000.0
ReconciledDepreciation,6010000000.0,4777000000.0,5191000000.0,5064000000.0,5064000000.0
ResearchAndDevelopment,8650000000.0,9405000000.0,13829000000.0,11428000000.0,11428000000.0
RestructuringAndMergernAcquisition,-7001000000.0,594000000.0,802000000.0,1375000000.0,1375000000.0
SellingGeneralAndAdministration,14350000000.0,11615000000.0,12703000000.0,13677000000.0,13677000000.0
SpecialIncomeCharges,3665000000.0,-2224000000.0,-575000000.0,-2791000000.0,-2791000000.0
TaxEffectOfUnusualItems,322401085.850017,-107776000.0,58444000.0,-390144000.0,-390144000.0
TaxProvision,1384000000.0,477000000.0,1852000000.0,3328000000.0,3328000000.0
TaxRateForCalcs,0.078272,0.064,0.076,0.096,0.096
TotalExpenses,37829000000.0,33148000000.0,61053000000.0,63058000000.0,63058000000.0
TotalRevenue,51750000000.0,41908000000.0,81288000000.0,100330000000.0,100330000000.0
TotalUnusualItems,4119000000.0,-1684000000.0,769000000.0,-4064000000.0,-4064000000.0
TotalUnusualItemsExcludingGoodwill,4119000000.0,-1684000000.0,769000000.0,-4064000000.0,-4064000000.0
WriteOff,2843000000.0,1691000000.0,86000000.0,,
