,PM,PM,PM,PM,PM
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
Amortization,66000000.0,73000000.0,96000000.0,,
AmortizationOfIntangiblesIncomeStatement,66000000.0,73000000.0,96000000.0,,
BasicAverageShares,1555000000.0,1557000000.0,1558000000.0,,
BasicEPS,4.61,5.16,5.83,,
CostOfRevenue,10513000000.0,9569000000.0,10030000000.0,11402000000.0,11402000000.0
DepreciationAmortizationDepletionIncomeStatement,66000000.0,73000000.0,96000000.0,,
DepreciationAndAmortizationInIncomeStatement,66000000.0,73000000.0,96000000.0,,
DilutedAverageShares,1556000000.0,1558000000.0,1559000000.0,,
DilutedEPS,4.61,5.16,5.83,,
DilutedNIAvailtoComStockholders,7168000000.0,8036000000.0,9083000000.0,9024000000.0,9024000000.0
EBIT,10668000000.0,11681000000.0,12969000000.0,12402000000.0,12402000000.0
EBITDA,,,,,13591000000.0
EarningsFromEquityInterestNetOfTax,149000000.0,16000000.0,149000000.0,137000000.0,137000000.0
ExciseTaxes,48116000000.0,47353000000.0,50818000000.0,48907000000.0,48907000000.0
GeneralAndAdministrativeExpense,8784000000.0,7481000000.0,8419000000.0,8138000000.0,8138000000.0
GrossProfit,19292000000.0,19125000000.0,21375000000.0,20360000000.0,20360000000.0
InterestExpense,796000000.0,728000000.0,737000000.0,768000000.0,768000000.0
InterestExpenseNonOperating,796000000.0,728000000.0,737000000.0,768000000.0,768000000.0
InterestIncome,226000000.0,110000000.0,109000000.0,180000000.0,180000000.0
InterestIncomeNonOperating,226000000.0,110000000.0,109000000.0,180000000.0,180000000.0
MinorityInterests,-543000000.0,-536000000.0,-601000000.0,-479000000.0,-479000000.0
NetIncome,7185000000.0,8056000000.0,9109000000.0,9048000000.0,9048000000.0
NetIncomeCommonStockholders,7168000000.0,8036000000.0,9083000000.0,9024000000.0,9024000000.0
NetIncomeContinuousOperations,7728000000.0,8592000000.0,9710000000.0,9527000000.0,9527000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7185000000.0,8056000000.0,9109000000.0,9048000000.0,9048000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,7185000000.0,8056000000.0,9109000000.0,9048000000.0,9048000000.0
NetIncomeIncludingNoncontrollingInterests,7728000000.0,8592000000.0,9710000000.0,9527000000.0,9527000000.0
NetInterestIncome,-570000000.0,-618000000.0,-628000000.0,-588000000.0,-588000000.0
NetNonOperatingInterestIncomeExpense,-570000000.0,-618000000.0,-628000000.0,-588000000.0,-588000000.0
NormalizedEBITDA,11632000000.0,12662000000.0,13967000000.0,13591000000.0,13591000000.0
NormalizedIncome,7185000000.0,8056000000.0,9109000000.0,9048000000.0,9048000000.0
OperatingExpense,8850000000.0,7554000000.0,8515000000.0,8138000000.0,8138000000.0
OperatingIncome,10442000000.0,11571000000.0,12860000000.0,12222000000.0,12222000000.0
OperatingRevenue,77921000000.0,76047000000.0,82223000000.0,80669000000.0,80669000000.0
OtherGandA,8695000000.0,7384000000.0,8304000000.0,8114000000.0,8114000000.0
OtherunderPreferredStockDividend,17000000.0,20000000.0,26000000.0,24000000.0,24000000.0
PretaxIncome,9872000000.0,10953000000.0,12232000000.0,11634000000.0,11634000000.0
ReconciledCostOfRevenue,9615000000.0,8661000000.0,9128000000.0,11402000000.0,11402000000.0
ReconciledDepreciation,964000000.0,981000000.0,998000000.0,1189000000.0,1189000000.0
SalariesAndWages,89000000.0,97000000.0,115000000.0,24000000.0,24000000.0
SellingAndMarketingExpense,8695000000.0,7384000000.0,8304000000.0,,
SellingGeneralAndAdministration,8784000000.0,7481000000.0,8419000000.0,8138000000.0,8138000000.0
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxProvision,2293000000.0,2377000000.0,2671000000.0,2244000000.0,2244000000.0
TaxRateForCalcs,0.232,0.217,0.218,0.192883,0.192883
TotalExpenses,19363000000.0,17123000000.0,18545000000.0,19540000000.0,19540000000.0
TotalOperatingIncomeAsReported,10531000000.0,11668000000.0,12975000000.0,12246000000.0,12246000000.0
TotalOtherFinanceCost,570000000.0,,,,
TotalRevenue,29805000000.0,28694000000.0,31405000000.0,31762000000.0,31762000000.0
