,RACE,RACE,RACE,RACE,RACE,RACE
asOfDate,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,TTM,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR,EUR,EUR
BasicAverageShares,186767000.0,,184806000.0,184446000.0,,
BasicEPS,3.73,,3.29,4.5,,
CostOfRevenue,1805310000.0,,1686324000.0,2080613000.0,2648953000.0,2648953000.0
DilutedAverageShares,187535000.0,,185379000.0,184722000.0,,
DilutedEPS,3.71,,3.28,4.5,,
DilutedNIAvailtoComStockholders,695818000.0,,607817000.0,830767000.0,932614000.0,932614000.0
EBIT,918915000.0,,717254000.0,1080628000.0,1231962000.0,1231962000.0
EBITDA,,,,,,1778187000.0
EarningsFromEquityInterest,3522000.0,,4647000.0,6896000.0,6175000.0,6175000.0
GainOnSaleOfSecurity,3522000.0,3830000.0,,,,
GeneralAndAdministrativeExpense,,,,179558000.0,200986000.0,200986000.0
GrossProfit,1961305000.0,,1773466000.0,2190281000.0,2446301000.0,2446301000.0
InterestExpense,,,50219000.0,38397000.0,54196000.0,54196000.0
InterestExpenseNonOperating,,,50219000.0,38397000.0,54196000.0,54196000.0
InterestIncome,5806000.0,,1127000.0,5140000.0,4580000.0,4580000.0
InterestIncomeNonOperating,5806000.0,,1127000.0,5140000.0,4580000.0,4580000.0
MinorityInterests,-2890000.0,,-1063000.0,-2369000.0,-6680000.0,-6680000.0
NetIncome,695818000.0,,607817000.0,830767000.0,932614000.0,932614000.0
NetIncomeCommonStockholders,695818000.0,,607817000.0,830767000.0,932614000.0,932614000.0
NetIncomeContinuousOperations,698708000.0,,608880000.0,833136000.0,939294000.0,939294000.0
NetIncomeFromContinuingAndDiscontinuedOperation,695818000.0,,607817000.0,830767000.0,932614000.0,932614000.0
NetIncomeFromContinuingOperationNetMinorityInterest,695818000.0,,607817000.0,830767000.0,932614000.0,932614000.0
NetIncomeIncludingNoncontrollingInterests,698708000.0,,608880000.0,833136000.0,939294000.0,939294000.0
NetInterestIncome,-42082000.0,,-49092000.0,-33257000.0,-49616000.0,-49616000.0
NetNonOperatingInterestIncomeExpense,-42082000.0,,-49092000.0,-33257000.0,-49616000.0,-49616000.0
NormalizedEBITDA,1270861000.0,,1143891000.0,1536617000.0,1778187000.0,1778187000.0
NormalizedIncome,695818000.0,,607817000.0,830767000.0,932614000.0,932614000.0
OperatingExpense,1042390000.0,,1043511000.0,1116128000.0,1203546000.0,1203546000.0
OperatingIncome,918915000.0,,729955000.0,1074153000.0,1242755000.0,1242755000.0
OperatingRevenue,3662267000.0,,3375827000.0,4193130000.0,4975323000.0,4975323000.0
OtherGandA,,,,179558000.0,200986000.0,200986000.0
OtherIncomeExpense,-1469000.0,,-13828000.0,1335000.0,-15373000.0,-15373000.0
OtherNonOperatingIncomeExpenses,-4991000.0,,-18475000.0,-5561000.0,-21548000.0,-21548000.0
PretaxIncome,875364000.0,,667035000.0,1042231000.0,1177766000.0,1177766000.0
ReconciledCostOfRevenue,1805310000.0,,1686324000.0,2080613000.0,2648953000.0,2648953000.0
ReconciledDepreciation,351946000.0,,426637000.0,455989000.0,546225000.0,546225000.0
ResearchAndDevelopment,699211000.0,,707385000.0,768104000.0,775572000.0,775572000.0
SellingAndMarketingExpense,,,,168466000.0,226988000.0,226988000.0
SellingGeneralAndAdministration,343179000.0,,336126000.0,348024000.0,427974000.0,427974000.0
TaxEffectOfUnusualItems,0.0,,0.0,0.0,0.0,0.0
TaxProvision,176656000.0,,58155000.0,209095000.0,238472000.0,238472000.0
TaxRateForCalcs,0.202,,0.087,0.201,0.202,0.202
TotalExpenses,2847700000.0,,2729835000.0,3196741000.0,3852499000.0,3852499000.0
TotalOtherFinanceCost,47888000.0,,,,,
TotalRevenue,3766615000.0,,3459790000.0,4270894000.0,5095254000.0,5095254000.0
TotalUnusualItems,3522000.0,3830000.0,,,,
TotalUnusualItemsExcludingGoodwill,3522000.0,3830000.0,,,,
