,STLA,STLA,STLA,STLA,STLA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR,EUR
BasicAverageShares,1564114000.0,1572020000.0,3059284000.0,3140089000.0,
BasicEPS,4.23,0.02,4.64,5.35,
CostOfRevenue,93164000000.0,75962000000.0,119943000000.0,144327000000.0,144327000000.0
DilutedAverageShares,1570850000.0,1577313000.0,3151432000.0,3163959000.0,
DilutedEPS,4.22,0.02,4.51,5.31,
DilutedNIAvailtoComStockholders,6622000000.0,29000000.0,14200000000.0,16799000000.0,16799000000.0
EBIT,4958000000.0,2198000000.0,14876000000.0,20429000000.0,20429000000.0
EBITDA,,,,,27226000000.0
EarningsFromEquityInterest,208000000.0,184000000.0,0.0,,
EarningsFromEquityInterestNetOfTax,,,737000000.0,264000000.0,264000000.0
GainOnSaleOfSecurity,-59000000.0,-188000000.0,-177000000.0,-563000000.0,-563000000.0
GrossProfit,15023000000.0,10714000000.0,29476000000.0,35265000000.0,35265000000.0
InterestExpense,937000000.0,842000000.0,484000000.0,1185000000.0,1185000000.0
InterestExpenseNonOperating,937000000.0,842000000.0,484000000.0,1185000000.0,1185000000.0
InterestIncome,261000000.0,117000000.0,188000000.0,1066000000.0,1066000000.0
InterestIncomeNonOperating,261000000.0,117000000.0,188000000.0,1066000000.0,1066000000.0
MinorityInterests,-8000000.0,5000000.0,-8000000.0,20000000.0,20000000.0
NetIncome,6622000000.0,29000000.0,14200000000.0,16799000000.0,16799000000.0
NetIncomeCommonStockholders,6622000000.0,29000000.0,14200000000.0,16799000000.0,16799000000.0
NetIncomeContinuousOperations,2700000000.0,24000000.0,13218000000.0,16779000000.0,16779000000.0
NetIncomeDiscontinuousOperations,3930000000.0,0.0,990000000.0,0.0,0.0
NetIncomeFromContinuingAndDiscontinuedOperation,6622000000.0,29000000.0,14200000000.0,16799000000.0,16799000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2692000000.0,29000000.0,13210000000.0,16799000000.0,16799000000.0
NetIncomeIncludingNoncontrollingInterests,6630000000.0,24000000.0,14208000000.0,16779000000.0,16779000000.0
NetInterestIncome,-909000000.0,-791000000.0,-582000000.0,-119000000.0,-119000000.0
NetNonOperatingInterestIncomeExpense,-909000000.0,-791000000.0,-582000000.0,-119000000.0,-119000000.0
NormalizedEBITDA,10637000000.0,7612000000.0,21632000000.0,28947000000.0,28947000000.0
NormalizedIncome,2849482000.0,232250000.0,13977295000.0,18275618000.0,18275618000.0
OperatingExpense,10067000000.0,8480000000.0,13617000000.0,14181000000.0,14181000000.0
OperatingIncome,4956000000.0,2234000000.0,15859000000.0,21084000000.0,21084000000.0
OperatingRevenue,108187000000.0,86676000000.0,149419000000.0,179592000000.0,179592000000.0
OtherIncomeExpense,-26000000.0,-87000000.0,-885000000.0,-1721000000.0,-1721000000.0
OtherTaxes,0.0,,,,
PretaxIncome,4021000000.0,1356000000.0,14392000000.0,19244000000.0,19244000000.0
ReconciledCostOfRevenue,93164000000.0,75962000000.0,119943000000.0,144327000000.0,144327000000.0
ReconciledDepreciation,5445000000.0,5143000000.0,5871000000.0,6797000000.0,6797000000.0
ResearchAndDevelopment,3612000000.0,2979000000.0,4487000000.0,5200000000.0,5200000000.0
RestructuringAndMergernAcquisition,154000000.0,73000000.0,698000000.0,1144000000.0,1144000000.0
SellingGeneralAndAdministration,6455000000.0,5501000000.0,9130000000.0,8981000000.0,8981000000.0
SpecialIncomeCharges,-175000000.0,-83000000.0,-708000000.0,-1158000000.0,-1158000000.0
TaxEffectOfUnusualItems,-76518000.0,-67750000.0,-117705000.0,-244382000.0,-244382000.0
TaxProvision,1321000000.0,1332000000.0,1911000000.0,2729000000.0,2729000000.0
TaxRateForCalcs,0.327,0.25,0.133,0.142,0.142
TotalExpenses,103231000000.0,84442000000.0,133560000000.0,158508000000.0,158508000000.0
TotalOperatingIncomeAsReported,,,15126000000.0,20012000000.0,20012000000.0
TotalOtherFinanceCost,233000000.0,66000000.0,286000000.0,,
TotalRevenue,108187000000.0,86676000000.0,149419000000.0,179592000000.0,179592000000.0
TotalUnusualItems,-234000000.0,-271000000.0,-885000000.0,-1721000000.0,-1721000000.0
TotalUnusualItemsExcludingGoodwill,-234000000.0,-271000000.0,-885000000.0,-1721000000.0,-1721000000.0
WriteOff,21000000.0,10000000.0,10000000.0,14000000.0,14000000.0
