,T,T,T,T,T
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AverageDilutionEarnings,21000000.0,23000000.0,22000000.0,,
BasicAverageShares,7319000000.0,7157000000.0,7168000000.0,7166000000.0,
BasicEPS,1.9,-0.75,2.77,-1.13,
CostOfRevenue,84141000000.0,79920000000.0,79807000000.0,50848000000.0,50848000000.0
DepreciationAmortizationDepletionIncomeStatement,28217000000.0,28516000000.0,22862000000.0,18021000000.0,18021000000.0
DepreciationAndAmortizationInIncomeStatement,28217000000.0,28516000000.0,22862000000.0,18021000000.0,18021000000.0
DilutedAverageShares,7348000000.0,7183000000.0,7199000000.0,7587000000.0,
DilutedEPS,1.89,-0.75,2.76,-1.13,
DilutedNIAvailtoComStockholders,13921000000.0,-5346000000.0,19896000000.0,-8727000000.0,-8727000000.0
EBIT,26890000000.0,5069000000.0,33831000000.0,3014000000.0,3014000000.0
EBITDA,,,,,21035000000.0
EarningsFromEquityInterest,6000000.0,95000000.0,631000000.0,1791000000.0,1791000000.0
GainOnSaleOfPPE,-1458000000.0,,,-27498000000.0,-27498000000.0
GrossProfit,97052000000.0,91840000000.0,89057000000.0,69893000000.0,69893000000.0
ImpairmentOfCapitalAssets,1458000000.0,18880000000.0,4904000000.0,27498000000.0,27498000000.0
InterestExpense,8422000000.0,7925000000.0,6884000000.0,6108000000.0,6108000000.0
InterestExpenseNonOperating,8422000000.0,7925000000.0,6884000000.0,6108000000.0,6108000000.0
MinorityInterests,-1072000000.0,-1355000000.0,-1398000000.0,-1469000000.0,-1469000000.0
NetIncome,13903000000.0,-5176000000.0,20081000000.0,-8524000000.0,-8524000000.0
NetIncomeCommonStockholders,13900000000.0,-5369000000.0,19874000000.0,-8727000000.0,-8727000000.0
NetIncomeContinuousOperations,14975000000.0,-3821000000.0,21479000000.0,-6874000000.0,-6874000000.0
NetIncomeDiscontinuousOperations,,,,-181000000.0,-181000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,13903000000.0,-5176000000.0,20081000000.0,-8524000000.0,-8524000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,13903000000.0,-5176000000.0,20081000000.0,-8343000000.0,-8343000000.0
NetIncomeIncludingNoncontrollingInterests,14975000000.0,-3821000000.0,21479000000.0,-7055000000.0,-7055000000.0
NetInterestIncome,-8422000000.0,-7925000000.0,-6884000000.0,-6108000000.0,-6108000000.0
NetNonOperatingInterestIncomeExpense,-8422000000.0,-7925000000.0,-6884000000.0,-6108000000.0,-6108000000.0
NormalizedEBITDA,56565000000.0,52465000000.0,61597000000.0,48533000000.0,48533000000.0
NormalizedIncome,15085438000.0,8606400000.0,23989488000.0,8155800000.0,8155800000.0
OperatingExpense,67639000000.0,66555000000.0,60806000000.0,46982000000.0,46982000000.0
OperatingIncome,29413000000.0,25285000000.0,28251000000.0,22911000000.0,22911000000.0
OperatingRevenue,181193000000.0,171760000000.0,168864000000.0,120741000000.0,120741000000.0
OtherIncomeExpense,-2523000000.0,-20216000000.0,5580000000.0,-19897000000.0,-19897000000.0
OtherNonOperatingIncomeExpenses,-1071000000.0,-1431000000.0,9853000000.0,5810000000.0,5810000000.0
PreferredStockDividends,3000000.0,193000000.0,207000000.0,203000000.0,203000000.0
PretaxIncome,18468000000.0,-2856000000.0,26947000000.0,-3094000000.0,-3094000000.0
ReconciledCostOfRevenue,84141000000.0,79920000000.0,79807000000.0,50848000000.0,50848000000.0
ReconciledDepreciation,28217000000.0,28516000000.0,22862000000.0,18021000000.0,18021000000.0
SellingGeneralAndAdministration,39422000000.0,38039000000.0,37944000000.0,28961000000.0,28961000000.0
SpecialIncomeCharges,-1458000000.0,-18880000000.0,-4904000000.0,-27498000000.0,-27498000000.0
TaxEffectOfUnusualItems,-275562000.0,-5097600000.0,-995512000.0,-10999200000.0,-10999200000.0
TaxProvision,3493000000.0,965000000.0,5468000000.0,3780000000.0,3780000000.0
TaxRateForCalcs,0.189,0.27,0.203,0.4,0.4
TotalExpenses,151780000000.0,146475000000.0,140613000000.0,97830000000.0,97830000000.0
TotalOperatingIncomeAsReported,27955000000.0,6405000000.0,23347000000.0,-4587000000.0,-4587000000.0
TotalRevenue,181193000000.0,171760000000.0,168864000000.0,120741000000.0,120741000000.0
TotalUnusualItems,-1458000000.0,-18880000000.0,-4904000000.0,-27498000000.0,-27498000000.0
TotalUnusualItemsExcludingGoodwill,-1458000000.0,-18880000000.0,-4904000000.0,-27498000000.0,-27498000000.0
WriteOff,,18880000000.0,,,
