,TM,TM,TM,TM,TM
asOfDate,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,JPY,JPY,JPY,JPY,JPY
AverageDilutionEarnings,14788000000.0,17284000000.0,12569000000.0,23000000.0,0.0
BasicAverageShares,1435767000.0,1399459000.0,1397644000.0,1388734800.0,
BasicEPS,1301.1,1471.22,1606.46,2052.3,
CostOfRevenue,24781785000000.0,24522364000000.0,22382220000000.0,25407834000000.0,29471247000000.0
DilutedAverageShares,1459337000.0,1423009000.0,1420613500.0,1388765900.0,
DilutedEPS,1290.22,1459.0,1589.34,2052.3,
DilutedNIAvailtoComStockholders,1882873000000.0,2076183000000.0,2257830000000.0,2850132000000.0,2432914000000.0
EBIT,2313543000000.0,2586824000000.0,2974775000000.0,4022990000000.0,3737472000000.0
EBITDA,,,,,5751578000000.0
EarningsFromEquityInterest,,,351029000000.0,560346000000.0,619538000000.0
EarningsFromEquityInterestNetOfTax,360066000000.0,271152000000.0,,,
GainOnSaleOfSecurity,-328654000000.0,-103620000000.0,103979000000.0,311020000000.0,348199000000.0
GrossProfit,5443896000000.0,5407628000000.0,4832373000000.0,5971673000000.0,6105252000000.0
InterestExpense,28078000000.0,32217000000.0,42421000000.0,32458000000.0,115219000000.0
InterestExpenseNonOperating,28078000000.0,32217000000.0,42421000000.0,32458000000.0,115219000000.0
InterestIncome,225495000000.0,232870000000.0,105600000000.0,101512000000.0,156615000000.0
InterestIncomeNonOperating,225495000000.0,232870000000.0,105600000000.0,101512000000.0,156615000000.0
MinorityInterests,-102714000000.0,-66146000000.0,-37118000000.0,-24504000000.0,-21923000000.0
NetIncome,1882873000000.0,2076183000000.0,2245261000000.0,2850110000000.0,2432914000000.0
NetIncomeCommonStockholders,1868085000000.0,2058899000000.0,2245261000000.0,2850110000000.0,2432914000000.0
NetIncomeContinuousOperations,1985587000000.0,2142329000000.0,2282378000000.0,2874614000000.0,2454838000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,1882873000000.0,2076183000000.0,2245261000000.0,2850110000000.0,2432914000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1882873000000.0,2076183000000.0,2245261000000.0,2850110000000.0,2432914000000.0
NetIncomeIncludingNoncontrollingInterests,1985587000000.0,2142329000000.0,2282378000000.0,2874614000000.0,2454838000000.0
NetInterestIncome,197417000000.0,200653000000.0,298854000000.0,195931000000.0,168273000000.0
NetNonOperatingInterestIncomeExpense,197417000000.0,200653000000.0,298854000000.0,195931000000.0,168273000000.0
NormalizedEBITDA,4434572000000.0,4295827000000.0,4515086000000.0,5533850000000.0,5403379000000.0
NormalizedIncome,2116545994000.0,2152032840000.0,2164365338000.0,2626175600000.0,2196936159588.5212
OperatingExpense,2976351000000.0,2964759000000.0,2634625000000.0,2975977000000.0,3543296000000.0
OperatingIncome,2467545000000.0,2442869000000.0,2197748000000.0,2995696000000.0,2561956000000.0
OperatingRevenue,30225681000000.0,29929992000000.0,27214593000000.0,31379507000000.0,35576499000000.0
OtherIncomeExpense,-379497000000.0,-88915000000.0,435751000000.0,798905000000.0,892024000000.0
OtherNonOperatingIncomeExpenses,-50843000000.0,14705000000.0,-19257000000.0,-72461000000.0,-75713000000.0
OtherunderPreferredStockDividend,14788000000.0,17284000000.0,-12569000000.0,,
PretaxIncome,2285465000000.0,2554607000000.0,2932354000000.0,3990532000000.0,3622253000000.0
ReconciledCostOfRevenue,24781785000000.0,24522364000000.0,22382220000000.0,25407834000000.0,29471247000000.0
ReconciledDepreciation,1792375000000.0,1605383000000.0,1644290000000.0,1821880000000.0,2014106000000.0
SellingGeneralAndAdministration,2976351000000.0,2964759000000.0,2634625000000.0,2975977000000.0,3543296000000.0
TaxEffectOfUnusualItems,-94981006000.0,-27770160000.0,23083338000.0,87085600000.0,112221159588.52129
TaxProvision,659944000000.0,683430000000.0,649976000000.0,1115918000000.0,1167417000000.0
TaxRateForCalcs,0.289,0.268,0.222,0.28,0.32229
TotalExpenses,27758136000000.0,27487123000000.0,25016845000000.0,28383811000000.0,33014543000000.0
TotalOperatingIncomeAsReported,2467545000000.0,2442869000000.0,2197748000000.0,2995697000000.0,2561957000000.0
TotalOtherFinanceCost,,,-235675000000.0,-126877000000.0,-99219000000.0
TotalRevenue,30225681000000.0,29929992000000.0,27214593000000.0,31379507000000.0,35576499000000.0
TotalUnusualItems,-328654000000.0,-103620000000.0,103979000000.0,311020000000.0,348199000000.0
TotalUnusualItemsExcludingGoodwill,-328654000000.0,-103620000000.0,103979000000.0,311020000000.0,348199000000.0
