,TSLA,TSLA,TSLA,TSLA,TSLA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AverageDilutionEarnings,,,,1000000.0,1000000.0
BasicAverageShares,2655000000.0,2880000000.0,2958000000.0,,
BasicEPS,-0.328,0.246667,1.866667,,
CostOfRevenue,20509000000.0,24906000000.0,40217000000.0,60609000000.0,60609000000.0
DilutedAverageShares,2655000000.0,2880000000.0,3387000000.0,,
DilutedEPS,-0.328,0.213333,1.633333,,
DilutedNIAvailtoComStockholders,-862000000.0,690000000.0,5519000000.0,12584000000.0,12584000000.0
EBIT,20000000.0,1902000000.0,6714000000.0,13910000000.0,13910000000.0
EBITDA,,,,,17657000000.0
GrossProfit,4069000000.0,6630000000.0,13606000000.0,20853000000.0,20853000000.0
InterestExpense,685000000.0,748000000.0,371000000.0,191000000.0,191000000.0
InterestExpenseNonOperating,685000000.0,748000000.0,371000000.0,191000000.0,191000000.0
InterestIncome,44000000.0,30000000.0,56000000.0,297000000.0,297000000.0
InterestIncomeNonOperating,44000000.0,30000000.0,56000000.0,297000000.0,297000000.0
MinorityInterests,-87000000.0,-172000000.0,-125000000.0,-4000000.0,-4000000.0
NetIncome,-862000000.0,690000000.0,5519000000.0,12583000000.0,12583000000.0
NetIncomeCommonStockholders,-862000000.0,690000000.0,5519000000.0,12583000000.0,12583000000.0
NetIncomeContinuousOperations,-775000000.0,862000000.0,5644000000.0,12587000000.0,12587000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-862000000.0,690000000.0,5519000000.0,12583000000.0,12583000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-862000000.0,690000000.0,5519000000.0,12583000000.0,12583000000.0
NetIncomeIncludingNoncontrollingInterests,-775000000.0,862000000.0,5644000000.0,12587000000.0,12587000000.0
NetInterestIncome,-641000000.0,-718000000.0,-315000000.0,106000000.0,106000000.0
NetNonOperatingInterestIncomeExpense,-641000000.0,-718000000.0,-315000000.0,106000000.0,106000000.0
NormalizedEBITDA,2323000000.0,4224000000.0,9598000000.0,17833000000.0,17833000000.0
NormalizedIncome,-738330000.0,690000000.0,5494970000.0,12744920000.0,12744920000.0
OperatingExpense,3989000000.0,4636000000.0,7110000000.0,7021000000.0,7021000000.0
OperatingIncome,80000000.0,1994000000.0,6496000000.0,13832000000.0,13832000000.0
OperatingRevenue,24578000000.0,31536000000.0,53823000000.0,81462000000.0,81462000000.0
OtherIncomeExpense,-104000000.0,-122000000.0,162000000.0,-219000000.0,-219000000.0
OtherNonOperatingIncomeExpenses,45000000.0,-122000000.0,135000000.0,-43000000.0,-43000000.0
PretaxIncome,-665000000.0,1154000000.0,6343000000.0,13719000000.0,13719000000.0
ReconciledCostOfRevenue,20509000000.0,24906000000.0,40217000000.0,60609000000.0,60609000000.0
ReconciledDepreciation,2154000000.0,2322000000.0,2911000000.0,3747000000.0,3747000000.0
ResearchAndDevelopment,1343000000.0,1491000000.0,2593000000.0,3075000000.0,3075000000.0
RestructuringAndMergernAcquisition,149000000.0,0.0,-27000000.0,176000000.0,176000000.0
SellingGeneralAndAdministration,2646000000.0,3145000000.0,4517000000.0,3946000000.0,3946000000.0
SpecialIncomeCharges,-149000000.0,0.0,27000000.0,-176000000.0,-176000000.0
TaxEffectOfUnusualItems,-25330000.0,0.0,2970000.0,-14080000.0,-14080000.0
TaxProvision,110000000.0,292000000.0,699000000.0,1132000000.0,1132000000.0
TaxRateForCalcs,0.17,0.25,0.11,0.08,0.08
TotalExpenses,24498000000.0,29542000000.0,47327000000.0,67630000000.0,67630000000.0
TotalOperatingIncomeAsReported,-69000000.0,1994000000.0,-6523000000.0,13656000000.0,13656000000.0
TotalRevenue,24578000000.0,31536000000.0,53823000000.0,81462000000.0,81462000000.0
TotalUnusualItems,-149000000.0,0.0,27000000.0,-176000000.0,-176000000.0
TotalUnusualItemsExcludingGoodwill,-149000000.0,0.0,27000000.0,-176000000.0,-176000000.0
