,TXN,TXN,TXN,TXN,TXN
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AverageDilutionEarnings,-31000000.0,-27000000.0,0.0,1000000.0,1000000.0
BasicAverageShares,936000000.0,921000000.0,923000000.0,,
BasicEPS,5.360043,6.074919,8.417118,,
CostOfRevenue,5219000000.0,5192000000.0,5968000000.0,6257000000.0,6257000000.0
DilutedAverageShares,952000000.0,933000000.0,936000000.0,,
DilutedEPS,5.24,5.97,8.26,,
DilutedNIAvailtoComStockholders,4986000000.0,5568000000.0,7736000000.0,8710000000.0,8710000000.0
EBIT,5898000000.0,6207000000.0,9103000000.0,10246000000.0,10246000000.0
EBITDA,,,,,11225000000.0
GainOnSaleOfPPE,21000000.0,1000000.0,50000000.0,0.0,0.0
GrossProfit,9164000000.0,9269000000.0,12376000000.0,13771000000.0,13771000000.0
InterestExpense,170000000.0,190000000.0,184000000.0,214000000.0,214000000.0
InterestExpenseNonOperating,170000000.0,190000000.0,184000000.0,214000000.0,214000000.0
NetIncome,5017000000.0,5595000000.0,7769000000.0,8749000000.0,8749000000.0
NetIncomeCommonStockholders,5017000000.0,5595000000.0,7736000000.0,8709000000.0,8709000000.0
NetIncomeContinuousOperations,5017000000.0,5595000000.0,7769000000.0,8749000000.0,8749000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,5017000000.0,5595000000.0,7769000000.0,8749000000.0,8749000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,5017000000.0,5595000000.0,7769000000.0,8749000000.0,8749000000.0
NetIncomeIncludingNoncontrollingInterests,5017000000.0,5595000000.0,7769000000.0,8749000000.0,8749000000.0
NetInterestIncome,-170000000.0,-190000000.0,-184000000.0,-214000000.0,-214000000.0
NetNonOperatingInterestIncomeExpense,-170000000.0,-190000000.0,-184000000.0,-214000000.0,-214000000.0
NormalizedEBITDA,7200000000.0,7421000000.0,10253000000.0,11482000000.0,11482000000.0
NormalizedIncome,5237719972.067039,5801460000.0,7939520000.0,8973104000.0,8973104000.0
OperatingExpense,3189000000.0,3153000000.0,3220000000.0,3374000000.0,3374000000.0
OperatingIncome,5975000000.0,6116000000.0,9156000000.0,10397000000.0,10397000000.0
OperatingRevenue,14383000000.0,14461000000.0,18344000000.0,20028000000.0,20028000000.0
OtherIncomeExpense,-77000000.0,91000000.0,-53000000.0,-151000000.0,-151000000.0
OtherNonOperatingIncomeExpenses,175000000.0,313000000.0,143000000.0,106000000.0,106000000.0
OtherunderPreferredStockDividend,,,33000000.0,40000000.0,40000000.0
PretaxIncome,5728000000.0,6017000000.0,8919000000.0,10032000000.0,10032000000.0
ReconciledCostOfRevenue,5219000000.0,5192000000.0,5968000000.0,6257000000.0,6257000000.0
ReconciledDepreciation,1050000000.0,992000000.0,954000000.0,979000000.0,979000000.0
ResearchAndDevelopment,1544000000.0,1530000000.0,1554000000.0,1670000000.0,1670000000.0
RestructuringAndMergernAcquisition,273000000.0,223000000.0,246000000.0,257000000.0,257000000.0
SellingGeneralAndAdministration,1645000000.0,1623000000.0,1666000000.0,1704000000.0,1704000000.0
SpecialIncomeCharges,-252000000.0,-222000000.0,-196000000.0,-257000000.0,-257000000.0
TaxEffectOfUnusualItems,-31280027.932961,-15540000.0,-25480000.0,-32896000.0,-32896000.0
TaxProvision,711000000.0,422000000.0,1150000000.0,1283000000.0,1283000000.0
TaxRateForCalcs,0.124127,0.07,0.13,0.128,0.128
TotalExpenses,8408000000.0,8345000000.0,9188000000.0,9631000000.0,9631000000.0
TotalOperatingIncomeAsReported,5723000000.0,5894000000.0,8960000000.0,10140000000.0,10140000000.0
TotalRevenue,14383000000.0,14461000000.0,18344000000.0,20028000000.0,20028000000.0
TotalUnusualItems,-252000000.0,-222000000.0,-196000000.0,-257000000.0,-257000000.0
TotalUnusualItemsExcludingGoodwill,-252000000.0,-222000000.0,-196000000.0,-257000000.0,-257000000.0
