,Z,Z,Z,Z,Z,Z
asOfDate,2019-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,TTM,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD,USD
BasicAverageShares,206380000.0,,223848000.0,249937000.0,242163000.0,
BasicEPS,-1.48,,-0.72,-2.11,-0.42,
CostOfRevenue,1432021000.0,,1756395000.0,6394177000.0,367000000.0,367000000.0
DilutedAverageShares,206380000.0,,223848000.0,249937000.0,242163000.0,
DilutedEPS,-1.48,,-0.72,-2.11,-0.42,
DilutedNIAvailtoComStockholders,-305361000.0,,-162115000.0,-527777000.0,-101000000.0,-101000000.0
EBIT,-207827000.0,,-14411000.0,-334604000.0,-50000000.0,-50000000.0
EBITDA,,,,,,130000000.0
GainOnSaleOfBusiness,0.0,0.0,,,,
GeneralAndAdministrativeExpense,366176000.0,,357122000.0,448773000.0,498000000.0,498000000.0
GrossProfit,1310816000.0,,1583422000.0,1753199000.0,1591000000.0,1591000000.0
ImpairmentOfCapitalAssets,0.0,,71500000.0,,,
InterestExpense,101792000.0,,155227000.0,191910000.0,35000000.0,35000000.0
InterestExpenseNonOperating,101792000.0,,155227000.0,191910000.0,35000000.0,35000000.0
NetIncome,-305361000.0,,-162115000.0,-527777000.0,-101000000.0,-101000000.0
NetIncomeCommonStockholders,-305361000.0,,-162115000.0,-527777000.0,-101000000.0,-101000000.0
NetIncomeContinuousOperations,-305361000.0,,-162115000.0,-527777000.0,-88000000.0,-88000000.0
NetIncomeDiscontinuousOperations,,,,,-13000000.0,-13000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-305361000.0,,-162115000.0,-527777000.0,-101000000.0,-101000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-305361000.0,,-162115000.0,-527777000.0,-88000000.0,-88000000.0
NetIncomeIncludingNoncontrollingInterests,-305361000.0,,-162115000.0,-527777000.0,-101000000.0,-101000000.0
NetInterestIncome,-101792000.0,,-155227000.0,-191910000.0,-35000000.0,-35000000.0
NetNonOperatingInterestIncomeExpense,-101792000.0,,-155227000.0,-191910000.0,-35000000.0,-35000000.0
NormalizedEBITDA,-96568000.0,,195310000.0,-83532000.0,154000000.0,154000000.0
NormalizedIncome,-304720100.0,,-90078488.0,-429387174.0,-64624000.0,-64624000.0
OperatingExpense,1557651000.0,,1548010000.0,1999404000.0,1660000000.0,1660000000.0
OperatingIncome,-246835000.0,,35412000.0,-246205000.0,-69000000.0,-69000000.0
OperatingRevenue,2742837000.0,,3339817000.0,8147376000.0,1958000000.0,1958000000.0
OtherGandA,366176000.0,,357122000.0,448773000.0,498000000.0,498000000.0
OtherIncomeExpense,39008000.0,,-49823000.0,-88399000.0,19000000.0,19000000.0
OtherNonOperatingIncomeExpenses,39658000.0,,25529000.0,10188000.0,43000000.0,43000000.0
OtherSpecialCharges,,,-1448000.0,17119000.0,,
PretaxIncome,-309619000.0,,-169638000.0,-526514000.0,-85000000.0,-85000000.0
ReconciledCostOfRevenue,1432021000.0,,1756395000.0,6394177000.0,367000000.0,367000000.0
ReconciledDepreciation,110609000.0,,134369000.0,152485000.0,180000000.0,180000000.0
ResearchAndDevelopment,477347000.0,,518072000.0,474396000.0,498000000.0,498000000.0
RestructuringAndMergernAcquisition,650000.0,,0.0,81468000.0,0.0,0.0
SellingAndMarketingExpense,714128000.0,,672816000.0,1076235000.0,664000000.0,664000000.0
SellingGeneralAndAdministration,1080304000.0,,1029938000.0,1525008000.0,1162000000.0,1162000000.0
SpecialIncomeCharges,-650000.0,,-75352000.0,-98587000.0,-24000000.0,-24000000.0
TaxEffectOfUnusualItems,-9100.0,,-3315488.0,-197174.0,-624000.0,-624000.0
TaxProvision,-4258000.0,,-7523000.0,1263000.0,3000000.0,3000000.0
TaxRateForCalcs,0.014,,0.044,0.002,0.026,0.026
TotalExpenses,2989672000.0,,3304405000.0,8393581000.0,2027000000.0,2027000000.0
TotalOperatingIncomeAsReported,-247485000.0,,-41388000.0,-327673000.0,-93000000.0,-93000000.0
TotalRevenue,2742837000.0,,3339817000.0,8147376000.0,1958000000.0,1958000000.0
TotalUnusualItems,-650000.0,,-75352000.0,-98587000.0,-24000000.0,-24000000.0
TotalUnusualItemsExcludingGoodwill,-650000.0,,-75352000.0,-98587000.0,-24000000.0,-24000000.0
WriteOff,0.0,,5300000.0,72173000.0,24000000.0,24000000.0
